bowler,overs_bowled,def_over_economy,def_over_economy_no_wides,economy,def_over_better,def_over_no_wides_better
AS Roy,7,8.86,6.29,9.43,True,True
Mohammed Shami,6,9.83,7.17,9.25,False,True
Arshdeep Singh,5,13.6,9.8,10.23,False,True
E Malinga,5,11.8,9.0,9.22,False,True
SN Thakur,4,14.5,11.75,12.27,False,True
JR Hazlewood,3,20.0,17.67,9.77,False,False
RA Bawa,3,14.0,11.0,12.5,False,True
TA Boult,3,12.33,10.33,11.06,False,True
Mukesh Choudhary,3,12.0,8.33,9.21,False,True
Harsh Dubey,3,11.0,9.0,10.45,False,True
YS Chahal,3,10.0,7.0,9.49,False,True
Sakib Hussain,3,9.67,6.33,9.08,False,True
Rasikh Salam,3,9.0,7.0,9.94,True,True
Mukesh Kumar,3,8.33,6.33,11.16,True,True
Prince Yadav,3,6.0,3.67,8.94,True,True
Akash Singh,2,24.5,20.0,11.43,False,False
Arshad Khan,2,20.0,18.0,10.07,False,False
JC Archer,2,16.0,8.5,8.9,False,True
PP Hinge,2,16.0,14.0,11.55,False,False
Brijesh Sharma,2,15.5,13.5,9.43,False,False
SR Dubey,2,15.5,10.5,8.0,False,False
TU Deshpande,2,15.0,12.0,12.4,False,True
HH Pandya,2,13.0,10.5,11.35,False,True
Ramandeep Singh,2,13.0,11.0,10.33,False,False
MP Stoinis,2,12.5,10.5,12.25,False,True
T Natarajan,2,12.5,10.0,10.82,False,True
SS Mishra,2,12.0,9.0,11.75,False,True
JJ Bumrah,2,11.0,6.0,8.57,False,True
MA Starc,2,10.5,8.5,10.23,False,True
Shivang Kumar,2,10.5,8.5,9.65,False,True
VG Arora,2,10.5,8.0,10.42,False,True
DL Chahar,2,9.5,7.5,10.35,True,True
Mohammed Siraj,2,8.0,6.0,8.73,True,True
M Tiwari,2,7.5,5.5,9.1,True,True
Sandeep Sharma,2,7.0,5.0,11.25,True,True
DS Rathi,1,26.0,24.0,10.23,False,False
R Shepherd,1,26.0,24.0,11.84,False,False
C Green,1,22.0,18.0,10.95,False,False
JA Duffy,1,21.0,18.0,11.69,False,False
Ravi Bishnoi,1,19.0,16.0,9.96,False,False
CV Varun,1,17.0,15.0,8.85,False,False
BJ Dwarshuis,1,16.0,11.0,12.75,False,True
Shahbaz Ahmed,1,16.0,14.0,10.83,False,False
KH Pandya,1,15.0,13.0,9.02,False,False
Noor Ahmad,1,15.0,12.0,8.69,False,False
AK Markram,1,14.0,12.0,11.86,False,False
Abhinandan Singh,1,14.0,12.0,12.2,False,True
KK Ahmed,1,14.0,11.0,9.06,False,False
MP Yadav,1,14.0,11.0,11.44,False,True
A Nortje,1,13.0,11.0,9.75,False,False
Ashok Sharma,1,13.0,11.0,11.1,False,True
N Burger,1,11.0,9.0,10.81,False,True
Nithish Kumar Reddy,1,11.0,9.0,10.83,False,True
B Kumar,1,10.0,7.0,8.13,False,True
Gurjapneet Singh,1,10.0,7.0,9.23,False,True
Ashwani Kumar,1,8.0,6.0,10.2,True,True
D Madushanka,1,8.0,5.0,9.0,True,True
Vijaykumar Vyshak,1,8.0,6.0,10.74,True,True
M Pathirana,1,7.0,5.0,6.0,False,True
Avesh Khan,1,5.0,2.0,11.12,True,True
SH Johnson,1,5.0,2.0,10.36,True,True
Suyash Sharma,1,3.0,1.0,9.27,True,True
