team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,subbed_in,subbed_out,subbed_team,subbed_reason,fielders_name,target_overs,target_runs,current_team_total,source_file,noballs,is_fielder_sub,umpires_call,injury_subbed_in,injury_subbed_out,is_non_boundary
Sunrisers Hyderabad,0,1.0,0.1,5.6,mandatory,TM Head,JA Duffy,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,0,1527674.csv,,,,,,
Sunrisers Hyderabad,0,2.0,0.1,5.6,mandatory,TM Head,JA Duffy,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,1,1527674.csv,,,,,,
Sunrisers Hyderabad,0,3.0,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,Royal Challengers Bengaluru,J Madanagopal,Abhishek Sharma,struck down,wicket,,,,,,,,,,,,,1,1527674.csv,,,,,,
Sunrisers Hyderabad,0,4.0,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,6,0,6,,,,,,,,,,,,,,,,,,7,1527674.csv,,,,,,
Sunrisers Hyderabad,0,5.0,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,,,,,,,,,,,,,,,,,,7,1527674.csv,,,,,,
Sunrisers Hyderabad,0,6.0,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,,,,,,,,,,,,,,,,,,7,1527674.csv,,,,,,
Sunrisers Hyderabad,1,1.0,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,8,1527674.csv,,,,,,
Sunrisers Hyderabad,1,2.0,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,1,0,1,,,,,,,,,,,,,,,,,,9,1527674.csv,,,,,,
Sunrisers Hyderabad,1,3.0,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,10,1527674.csv,,,,,,
Sunrisers Hyderabad,1,4.0,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,1,1,,,,,,1.0,,,,,,,,,,,,11,1527674.csv,,,,,,
Sunrisers Hyderabad,1,5.0,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,0,0,,,,,,,,,,,,,,,,,,11,1527674.csv,,,,,,
