team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Kolkata Knight Riders,0,1,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,1.0,0,1,1,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,2,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,0,0,0,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,3,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,0,0,0,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,4,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,1.0,0,1,1,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,0,5,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,6,0,6,,,,,,,,,,,,,,,,,,8
Kolkata Knight Riders,0,6,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,0,0,0,,,,,,,,,,,,,,,,,,8
Kolkata Knight Riders,0,7,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,2,0,2,,,,,,,,,,,,,,,,,,10
Kolkata Knight Riders,0,8,0.1,5.6,mandatory,AM Rahane,TA Boult,FH Allen,,0,0,0,,,,,,,,,,,,,,,,,,10
Kolkata Knight Riders,1,1,0.1,5.6,mandatory,FH Allen,HH Pandya,AM Rahane,,0,0,0,,,,,,,,,,,,,,,,,,10
Kolkata Knight Riders,1,2,0.1,5.6,mandatory,FH Allen,HH Pandya,AM Rahane,,0,0,0,,,,,,,,,,,,,,,,,,10
