team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,JC Archer,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,JC Archer,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,,,1
Chennai Super Kings,0,3,0.1,5.6,mandatory,RD Gaikwad,JC Archer,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,2
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,JC Archer,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,,2
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,JC Archer,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,,6
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,JC Archer,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,,7
Chennai Super Kings,1,1,0.1,5.6,mandatory,SV Samson,N Burger,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,1,2,0.1,5.6,mandatory,RD Gaikwad,N Burger,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,N Burger,SV Samson,0,4,4,4.0,,,,,,,,,,,,,,,,,,12
Chennai Super Kings,1,4,0.1,5.6,mandatory,RD Gaikwad,N Burger,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,12
Chennai Super Kings,1,5,0.1,5.6,mandatory,RD Gaikwad,N Burger,SV Samson,0,1,1,,1.0,,,,,,,,,,,,,,,,,13
Chennai Super Kings,1,6,0.1,5.6,mandatory,RD Gaikwad,N Burger,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,1,7,0.1,5.6,mandatory,SV Samson,N Burger,RD Gaikwad,0,0,0,,,,,,,,,,SV Samson,bowled,,,,,,,,14
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,2,2,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,2,4,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,0,0,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,2,5,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,4,0,4,,,,,,,,,,,,,,,,,,,18
Chennai Super Kings,2,6,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,1,1,,1.0,,,,,,,,,,,,,,,,,19
Chennai Super Kings,2,7,0.1,5.6,mandatory,RD Gaikwad,JC Archer,A Mhatre,0,0,0,,,,,,,,,,RD Gaikwad,bowled,,,,,,,,19
Chennai Super Kings,3,1,0.1,5.6,mandatory,A Mhatre,N Burger,MW Short,0,0,0,,,Rajasthan Royals,M Krishnadas,A Mhatre,upheld,wicket,,,A Mhatre,caught,,,,,Dhruv Jurel,,,19
Chennai Super Kings,3,2,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,0,0,0,,,,,,,,,,,,SN Khan,A Mhatre,Chennai Super Kings,impact_player,,,,19
Chennai Super Kings,3,3,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,0,0,0,,,,,,,,,,,,,,,,,,,19
Chennai Super Kings,3,4,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,4,0,4,,,,,,,,,,,,,,,,,,,23
Chennai Super Kings,3,5,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,6,0,6,,,,,,,,,,,,,,,,,,,29
Chennai Super Kings,3,6,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,0,1,1,,1.0,,,,,,,,,,,,,,,,,30
Chennai Super Kings,3,7,0.1,5.6,mandatory,SN Khan,N Burger,MW Short,0,0,0,,,,,,,,,,,,,,,,,,,30
Chennai Super Kings,4,1,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,30
Chennai Super Kings,4,2,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,0,1,1,,1.0,,,,,,,,,,,,,,,,,31
Chennai Super Kings,4,3,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,31
Chennai Super Kings,4,4,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,31
Chennai Super Kings,4,5,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,0,0,0,,,,,,,,,,,,,,,,,,,31
Chennai Super Kings,4,6,0.1,5.6,mandatory,MW Short,Brijesh Sharma,SN Khan,1,0,1,,,,,,,,,,,,,,,,,,,32
