team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,noballs,review_by,review_umpire,review_batter,review_decision,review_type,byes,legbyes,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.7,mandatory,SV Samson,Arshdeep Singh,RD Gaikwad,1.0,0,1,1,,,,,,,,,,,,,,,,,,,1
Chennai Super Kings,0,2,0.1,5.7,mandatory,SV Samson,Arshdeep Singh,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,,,,1
Chennai Super Kings,0,3,0.1,5.7,mandatory,SV Samson,Arshdeep Singh,RD Gaikwad,,3,0,3,,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,4,0.1,5.7,mandatory,RD Gaikwad,Arshdeep Singh,SV Samson,,0,0,0,,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,5,0.1,5.7,mandatory,RD Gaikwad,Arshdeep Singh,SV Samson,,1,0,1,,,,,,,,,,,,,,,,,,,5
Chennai Super Kings,0,6,0.1,5.7,mandatory,SV Samson,Arshdeep Singh,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,,,,5
Chennai Super Kings,0,7,0.1,5.7,mandatory,SV Samson,Arshdeep Singh,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,,,,5
Chennai Super Kings,1,1,0.1,5.7,mandatory,RD Gaikwad,XC Bartlett,SV Samson,,4,0,4,,,,,,,,,,,,,,,,,,,9
Chennai Super Kings,1,2,0.1,5.7,mandatory,RD Gaikwad,XC Bartlett,SV Samson,,0,0,0,,,,,,,,,,,,,,,,,,,9
Chennai Super Kings,1,3,0.1,5.7,mandatory,RD Gaikwad,XC Bartlett,SV Samson,,1,0,1,,,,,,,,,,,,,,,,,,,10
Chennai Super Kings,1,4,0.1,5.7,mandatory,SV Samson,XC Bartlett,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,,,,10
Chennai Super Kings,1,5,0.1,5.7,mandatory,SV Samson,XC Bartlett,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,1,6,0.1,5.7,mandatory,SV Samson,XC Bartlett,RD Gaikwad,,0,0,0,,,,,,,,,,SV Samson,caught,,,,,P Simran Singh,,,14
Chennai Super Kings,2,1,0.1,5.7,mandatory,RD Gaikwad,M Jansen,A Mhatre,,4,0,4,,,,,,,,,,,,,,,,,,,18
Chennai Super Kings,2,2,0.1,5.7,mandatory,RD Gaikwad,M Jansen,A Mhatre,,1,0,1,,,,,,,,,,,,,,,,,,,19
