team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,2,0.1,5.6,mandatory,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,,5
Rajasthan Royals,0,3,0.1,5.6,mandatory,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,5
Rajasthan Royals,0,4,0.1,5.6,mandatory,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,,9
Rajasthan Royals,0,5,0.1,5.6,mandatory,V Suryavanshi,Mohammed Siraj,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,0,6,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,1,1,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,11
Rajasthan Royals,1,2,0.1,5.6,mandatory,YBK Jaiswal,K Rabada,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,12
Rajasthan Royals,1,3,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,12
Rajasthan Royals,1,4,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,1,1,1.0,,,,,,,,,,,,,,,,,,13
Rajasthan Royals,1,5,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,13
Rajasthan Royals,1,6,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,,17
Rajasthan Royals,1,7,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,17
Rajasthan Royals,2,1,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,,23
Rajasthan Royals,2,2,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,,27
Rajasthan Royals,2,3,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,1,1,1.0,,,,,,,,,,,,,,,,,,28
Rajasthan Royals,2,4,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,28
Rajasthan Royals,2,5,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,,32
Rajasthan Royals,2,6,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,32
Rajasthan Royals,2,7,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Siraj,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,1,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,2,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,0,1,1,1.0,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,3,3,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,4,0,4,,,,,,,,,,,,,,,,,,,37
Rajasthan Royals,3,4,0.1,5.6,mandatory,V Suryavanshi,K Rabada,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,38
