team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,TM Head,Mohammed Shami,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,TM Head,Mohammed Shami,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,TM Head,Mohammed Shami,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,TM Head,Mohammed Shami,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Abhishek Sharma,Mohammed Shami,TM Head,0,0,0,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Abhishek Sharma,Mohammed Shami,TM Head,0,0,0,,,,,,,,,Abhishek Sharma,caught,,,,,M Siddharth,,,1
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,TM Head,DS Rathi,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,5
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,TM Head,DS Rathi,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,Ishan Kishan,DS Rathi,TM Head,0,0,0,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,Ishan Kishan,DS Rathi,TM Head,0,0,0,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,Ishan Kishan,DS Rathi,TM Head,1,0,1,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,TM Head,DS Rathi,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,8
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,TM Head,Mohammed Shami,Ishan Kishan,0,0,0,,,,,,,,,TM Head,caught,,,,,AK Markram,,,8
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,8
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,2,7,0.1,5.6,mandatory,LS Livingstone,Mohammed Shami,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,LS Livingstone,Prince Yadav,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,LS Livingstone,Prince Yadav,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,11
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,Ishan Kishan,Prince Yadav,LS Livingstone,0,0,0,,,,,,,,,Ishan Kishan,bowled,,,,,,,,11
