team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,PD Salt,KK Ahmed,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,0
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,PD Salt,KK Ahmed,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,0
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,PD Salt,KK Ahmed,V Kohli,3,0,3,,,,,,,,,,,,,,,,,,,,3
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,3
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,2,0,2,,,,,,,,,,,,,,,,,,,,5
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,5
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,PD Salt,MJ Henry,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,6
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,V Kohli,MJ Henry,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,7
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,PD Salt,MJ Henry,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,8
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,MJ Henry,PD Salt,2,0,2,,,,,,,,,,,,,,,,,,,,10
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,MJ Henry,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,11
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,PD Salt,MJ Henry,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,11
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,12
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,PD Salt,KK Ahmed,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,13
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,2,0,2,,,,,,,,,,,,,,,,,,,,15
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,0,1,1,1.0,,,,,,,,,,,,,,,,,,,16
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,PD Salt,KK Ahmed,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,17
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,V Kohli,KK Ahmed,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,17
