team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,4
Rajasthan Royals,0,2,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,0,3,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,14
Rajasthan Royals,0,4,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,14
Rajasthan Royals,0,5,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,18
Rajasthan Royals,0,6,0.1,3.2,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,22
Rajasthan Royals,1,1,0.1,3.2,mandatory,V Suryavanshi,JJ Bumrah,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,,28
Rajasthan Royals,1,2,0.1,3.2,mandatory,V Suryavanshi,JJ Bumrah,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,29
Rajasthan Royals,1,3,0.1,3.2,mandatory,YBK Jaiswal,JJ Bumrah,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,30
Rajasthan Royals,1,4,0.1,3.2,mandatory,V Suryavanshi,JJ Bumrah,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,,36
Rajasthan Royals,1,5,0.1,3.2,mandatory,V Suryavanshi,JJ Bumrah,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,36
Rajasthan Royals,1,6,0.1,3.2,mandatory,V Suryavanshi,JJ Bumrah,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,36
Rajasthan Royals,2,1,0.1,3.2,mandatory,YBK Jaiswal,TA Boult,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,42
Rajasthan Royals,2,2,0.1,3.2,mandatory,YBK Jaiswal,TA Boult,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,48
Rajasthan Royals,2,3,0.1,3.2,mandatory,YBK Jaiswal,TA Boult,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,49
Rajasthan Royals,2,4,0.1,3.2,mandatory,V Suryavanshi,TA Boult,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,,55
Rajasthan Royals,2,5,0.1,3.2,mandatory,V Suryavanshi,TA Boult,YBK Jaiswal,0,1,1,1.0,,,,,,,,,,,,,,,,,56
