team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,0,1,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Kumar,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,4
Gujarat Titans,0,2,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,3,0.1,5.6,mandatory,Shubman Gill,Mukesh Kumar,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,,9
Gujarat Titans,0,4,0.1,5.6,mandatory,Shubman Gill,Mukesh Kumar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,,10
Gujarat Titans,0,5,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,11
Gujarat Titans,0,6,0.1,5.6,mandatory,Shubman Gill,Mukesh Kumar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,,11
Gujarat Titans,1,1,0.1,5.6,mandatory,B Sai Sudharsan,L Ngidi,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,15
Gujarat Titans,1,2,0.1,5.6,mandatory,B Sai Sudharsan,L Ngidi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,16
Gujarat Titans,1,3,0.1,5.6,mandatory,Shubman Gill,L Ngidi,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,,16
Gujarat Titans,1,4,0.1,5.6,mandatory,Shubman Gill,L Ngidi,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,,16
Gujarat Titans,1,5,0.1,5.6,mandatory,Shubman Gill,L Ngidi,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,,17
Gujarat Titans,1,6,0.1,5.6,mandatory,B Sai Sudharsan,L Ngidi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,18
Gujarat Titans,2,1,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Kumar,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,19
Gujarat Titans,2,2,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Kumar,Shubman Gill,0,0,0,,,,,,,,B Sai Sudharsan,bowled,,,,,,,,,,,,19
Gujarat Titans,2,3,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,19
Gujarat Titans,2,4,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,19
Gujarat Titans,2,5,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,19
Gujarat Titans,2,6,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,25
Gujarat Titans,2,7,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,26
Gujarat Titans,2,8,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,27
Gujarat Titans,3,1,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,31
Gujarat Titans,3,2,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,37
Gujarat Titans,3,3,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,37
Gujarat Titans,3,4,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,38
Gujarat Titans,3,5,0.1,5.6,mandatory,Shubman Gill,AR Patel,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,39
Gujarat Titans,3,6,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,40
Gujarat Titans,4,1,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,46
Gujarat Titans,4,2,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,52
Gujarat Titans,4,3,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,56
Gujarat Titans,4,4,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,56
Gujarat Titans,4,5,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,62
Gujarat Titans,4,6,0.1,5.6,mandatory,JC Buttler,Mukesh Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,63
Gujarat Titans,5,1,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,63
Gujarat Titans,5,2,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,63
Gujarat Titans,5,3,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,67
Gujarat Titans,5,4,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,67
Gujarat Titans,5,5,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,67
Gujarat Titans,5,6,0.1,5.6,mandatory,JC Buttler,L Ngidi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,68
Gujarat Titans,6,1,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,69
Gujarat Titans,6,2,0.1,5.6,mandatory,Shubman Gill,AR Patel,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,70
Gujarat Titans,6,3,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,,,,72
Gujarat Titans,6,4,0.1,5.6,mandatory,JC Buttler,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,73
Gujarat Titans,6,5,0.1,5.6,mandatory,Shubman Gill,AR Patel,JC Buttler,4,0,4,,,,,,,,,,,,,,,,,,,,,77
Gujarat Titans,6,6,0.1,5.6,mandatory,Shubman Gill,AR Patel,JC Buttler,0,0,0,,,,,,,,,,,,,,,,,,,,,77
Gujarat Titans,7,1,0.1,5.6,mandatory,JC Buttler,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,78
Gujarat Titans,7,2,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,JC Buttler,1,0,1,,,,,,,,,,,,,,,,,,,,,79
Gujarat Titans,7,3,0.1,5.6,mandatory,JC Buttler,Kuldeep Yadav,Shubman Gill,0,0,0,,,,,,,,JC Buttler,bowled,,,,,,,,,,,,79
Gujarat Titans,7,4,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,80
Gujarat Titans,7,5,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,81
Gujarat Titans,7,6,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,85
Gujarat Titans,8,1,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,0,0,0,,,,,,,,,,,,,,,,,,,,,85
Gujarat Titans,8,2,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,86
Gujarat Titans,8,3,0.1,5.6,mandatory,Washington Sundar,T Natarajan,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,87
Gujarat Titans,8,4,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,88
Gujarat Titans,8,5,0.1,5.6,mandatory,Washington Sundar,T Natarajan,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,89
Gujarat Titans,8,6,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,90
Gujarat Titans,9,1,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,6,0,6,,,,,,,,,,,,,,,,,,,,,96
Gujarat Titans,9,2,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,97
Gujarat Titans,9,3,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,98
Gujarat Titans,9,4,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,99
Gujarat Titans,9,5,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,100
Gujarat Titans,9,6,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,101
Gujarat Titans,10,1,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,102
Gujarat Titans,10,2,0.1,5.6,mandatory,Washington Sundar,T Natarajan,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,103
Gujarat Titans,10,3,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,104
Gujarat Titans,10,4,0.1,5.6,mandatory,Washington Sundar,T Natarajan,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,108
Gujarat Titans,10,5,0.1,5.6,mandatory,Washington Sundar,T Natarajan,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,109
Gujarat Titans,10,6,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,110
Gujarat Titans,11,1,0.1,5.6,mandatory,Shubman Gill,V Nigam,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,111
Gujarat Titans,11,2,0.1,5.6,mandatory,Washington Sundar,V Nigam,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,115
Gujarat Titans,11,3,0.1,5.6,mandatory,Washington Sundar,V Nigam,Shubman Gill,4,1,5,,1.0,,,,,,,,,,,,,,,,,,,120
Gujarat Titans,11,4,0.1,5.6,mandatory,Washington Sundar,V Nigam,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,,126
Gujarat Titans,11,5,0.1,5.6,mandatory,Washington Sundar,V Nigam,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,127
Gujarat Titans,11,6,0.1,5.6,mandatory,Shubman Gill,V Nigam,Washington Sundar,6,0,6,,,,,,,,,,,,,,,,,,,,,133
Gujarat Titans,11,7,0.1,5.6,mandatory,Shubman Gill,V Nigam,Washington Sundar,0,0,0,,,,,,,,,,,,,,,,,,,,,133
Gujarat Titans,12,1,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,134
Gujarat Titans,12,2,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,0,0,0,,,,,,,,,,,,,,,,,,,,,134
Gujarat Titans,12,3,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,6,0,6,,,,,,,,,,,,,,,,,,,,,140
Gujarat Titans,12,4,0.1,5.6,mandatory,Shubman Gill,Kuldeep Yadav,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,141
Gujarat Titans,12,5,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,141
Gujarat Titans,12,6,0.1,5.6,mandatory,Washington Sundar,Kuldeep Yadav,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,142
Gujarat Titans,13,1,0.1,5.6,mandatory,Washington Sundar,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,143
Gujarat Titans,13,2,0.1,5.6,mandatory,Shubman Gill,AR Patel,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,144
Gujarat Titans,13,3,0.1,5.6,mandatory,Washington Sundar,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,145
Gujarat Titans,13,4,0.1,5.6,mandatory,Shubman Gill,AR Patel,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,146
Gujarat Titans,13,5,0.1,5.6,mandatory,Washington Sundar,AR Patel,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,,150
Gujarat Titans,13,6,0.1,5.6,mandatory,Washington Sundar,AR Patel,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,151
Gujarat Titans,13,7,0.1,5.6,mandatory,Washington Sundar,AR Patel,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,152
Gujarat Titans,14,1,0.1,5.6,mandatory,Washington Sundar,L Ngidi,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,,152
Gujarat Titans,14,2,0.1,5.6,mandatory,Washington Sundar,L Ngidi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,153
Gujarat Titans,14,3,0.1,5.6,mandatory,Shubman Gill,L Ngidi,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,154
Gujarat Titans,14,4,0.1,5.6,mandatory,Washington Sundar,L Ngidi,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,,155
Gujarat Titans,14,5,0.1,5.6,mandatory,Shubman Gill,L Ngidi,Washington Sundar,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,156
Gujarat Titans,14,6,0.1,5.6,mandatory,Shubman Gill,L Ngidi,Washington Sundar,4,0,4,,,,,,,,,,,,,,,,,,,,,160
Gujarat Titans,14,7,0.1,5.6,mandatory,Shubman Gill,L Ngidi,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,161
Gujarat Titans,15,1,0.1,5.6,mandatory,Shubman Gill,T Natarajan,Washington Sundar,1,0,1,,,,,,,,,,,,,,,,,,,,,162
