team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,0,1,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,FH Allen,1,0,1,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,2,0.1,5.6,mandatory,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,3,0.1,5.6,mandatory,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,4,0.1,5.6,mandatory,FH Allen,Mohammed Shami,AM Rahane,0,0,0,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,5,0.1,5.6,mandatory,FH Allen,Mohammed Shami,AM Rahane,1,0,1,,,,,,,,,,,,,,2
Kolkata Knight Riders,0,6,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,FH Allen,4,0,4,,,,,,,,,,,,,,6
Kolkata Knight Riders,1,1,0.1,5.6,mandatory,FH Allen,Prince Yadav,AM Rahane,0,1,1,1.0,,,,,,,,,,,,,7
Kolkata Knight Riders,1,2,0.1,5.6,mandatory,FH Allen,Prince Yadav,AM Rahane,4,0,4,,,,,,,,,,,,,,11
Kolkata Knight Riders,1,3,0.1,5.6,mandatory,FH Allen,Prince Yadav,AM Rahane,4,0,4,,,,,,,,,,,,,,15
Kolkata Knight Riders,1,4,0.1,5.6,mandatory,FH Allen,Prince Yadav,AM Rahane,0,0,0,,,,,,,,,,,,,,15
Kolkata Knight Riders,1,5,0.1,5.6,mandatory,FH Allen,Prince Yadav,AM Rahane,0,0,0,,,,,FH Allen,caught,,,,,DS Rathi,,,15
Kolkata Knight Riders,1,6,0.1,5.6,mandatory,A Raghuvanshi,Prince Yadav,AM Rahane,1,0,1,,,,,,,,,,,,,,16
Kolkata Knight Riders,1,7,0.1,5.6,mandatory,AM Rahane,Prince Yadav,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,16
Kolkata Knight Riders,2,1,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,,,,,,,,,,,,,16
Kolkata Knight Riders,2,2,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Shami,AM Rahane,0,0,0,,,,,,,,,,,,,,16
