team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,PD Salt,JC Archer,V Kohli,0,0,0,,,,,,,,,PD Salt,caught,,,,,Dhruv Jurel,,,0
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,D Padikkal,JC Archer,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,0
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,D Padikkal,JC Archer,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,4
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,D Padikkal,JC Archer,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,8
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,D Padikkal,JC Archer,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,9
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,JC Archer,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,13
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,D Padikkal,N Burger,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,17
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,D Padikkal,N Burger,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,18
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,V Kohli,N Burger,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,18
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,N Burger,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,22
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,V Kohli,N Burger,D Padikkal,0,5,5,5.0,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,V Kohli,N Burger,D Padikkal,0,4,4,,4.0,,,,,,,,,,,,,,,,31
Royal Challengers Bengaluru,1,7,0.1,5.6,mandatory,V Kohli,N Burger,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,32
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,V Kohli,JC Archer,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,36
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,V Kohli,JC Archer,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,36
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,V Kohli,JC Archer,D Padikkal,4,0,4,,,,,,,,,,,,,,,,,,40
