team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,byes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1.0,0,1,1,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,2,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,4,0,4,,,,,,,,,,,,,,,,,5
Sunrisers Hyderabad,0,3,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,1,0,1,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,0,4,0.1,5.7,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,1.0,0,1,1,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,5,0.1,5.7,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,6,0.1,5.7,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,7,0.1,5.7,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,,0,0,0,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,8,0.1,5.7,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,,2,0,2,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,1,1,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,4,0,4,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,1,2,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,0,1,1,1.0,,,,,,,,,,,,,,,,14
Sunrisers Hyderabad,1,3,0.1,5.7,mandatory,TM Head,XC Bartlett,Abhishek Sharma,,1,0,1,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,1,4,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,0,0,0,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,1,5,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,4,0,4,,,,,,,,,,,,,,,,,19
Sunrisers Hyderabad,1,6,0.1,5.7,mandatory,Abhishek Sharma,XC Bartlett,TM Head,,1,0,1,,,,,,,,,,,,,,,,,20
Sunrisers Hyderabad,2,1,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,4,0,4,,,,,,,,,,,,,,,,,24
Sunrisers Hyderabad,2,2,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,4,0,4,,,,,,,,,,,,,,,,,28
Sunrisers Hyderabad,2,3,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1.0,0,1,1,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,2,4,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,0,0,0,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,2,5,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1.0,0,1,1,,,,,,,,,,,,,,,,,30
Sunrisers Hyderabad,2,6,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1.0,0,1,1,,,,,,,,,,,,,,,,,31
Sunrisers Hyderabad,2,7,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1.0,0,1,1,,,,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,8,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,6,0,6,,,,,,,,,,,,,,,,,38
Sunrisers Hyderabad,2,9,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,6,0,6,,,,,,,,,,,,,,,,,44
Sunrisers Hyderabad,2,10,0.1,5.7,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,,0,0,0,,,,,,,,,,,,,,,,,44
