team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,3,0,3,,,,,,,,,,,,,,,,,,3
Chennai Super Kings,0,2,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,3
Chennai Super Kings,0,3,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,,9
Chennai Super Kings,0,7,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,10
Chennai Super Kings,1,1,0.1,5.6,mandatory,SV Samson,Mukesh Kumar,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,11
Chennai Super Kings,1,2,0.1,5.6,mandatory,RD Gaikwad,Mukesh Kumar,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,11
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,Mukesh Kumar,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,11
Chennai Super Kings,1,4,0.1,5.6,mandatory,RD Gaikwad,Mukesh Kumar,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,12
Chennai Super Kings,1,5,0.1,5.6,mandatory,SV Samson,Mukesh Kumar,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,16
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,Mukesh Kumar,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,20
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,21
Chennai Super Kings,2,2,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,2,3,0.1,5.6,mandatory,SV Samson,Auqib Nabi,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,26
Chennai Super Kings,2,4,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,26
Chennai Super Kings,2,5,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,26
Chennai Super Kings,2,6,0.1,5.6,mandatory,RD Gaikwad,Auqib Nabi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,27
Chennai Super Kings,3,1,0.1,5.6,mandatory,RD Gaikwad,AR Patel,SV Samson,4,0,4,,,,,,,,,,,,,,,,,,31
Chennai Super Kings,3,2,0.1,5.6,mandatory,RD Gaikwad,AR Patel,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,31
Chennai Super Kings,3,3,0.1,5.6,mandatory,RD Gaikwad,AR Patel,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,32
Chennai Super Kings,3,4,0.1,5.6,mandatory,SV Samson,AR Patel,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,36
Chennai Super Kings,3,5,0.1,5.6,mandatory,SV Samson,AR Patel,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,36
Chennai Super Kings,3,6,0.1,5.6,mandatory,SV Samson,AR Patel,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,40
Chennai Super Kings,4,1,0.1,5.6,mandatory,RD Gaikwad,T Natarajan,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,40
Chennai Super Kings,4,2,0.1,5.6,mandatory,RD Gaikwad,T Natarajan,SV Samson,3,0,3,,,,,,,,,,,,,,,,,,43
Chennai Super Kings,4,3,0.1,5.6,mandatory,SV Samson,T Natarajan,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,44
Chennai Super Kings,4,4,0.1,5.6,mandatory,RD Gaikwad,T Natarajan,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,45
Chennai Super Kings,4,5,0.1,5.6,mandatory,SV Samson,T Natarajan,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,49
Chennai Super Kings,4,6,0.1,5.6,mandatory,SV Samson,T Natarajan,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,49
Chennai Super Kings,5,1,0.1,5.6,mandatory,RD Gaikwad,L Ngidi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,50
Chennai Super Kings,5,2,0.1,5.6,mandatory,SV Samson,L Ngidi,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,54
Chennai Super Kings,5,3,0.1,5.6,mandatory,SV Samson,L Ngidi,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,55
Chennai Super Kings,5,4,0.1,5.6,mandatory,RD Gaikwad,L Ngidi,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,56
