team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.6,mandatory,AK Markram,Mohammed Siraj,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,0
Lucknow Super Giants,0,2,0.1,5.6,mandatory,AK Markram,Mohammed Siraj,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,0
Lucknow Super Giants,0,3,0.1,5.6,mandatory,AK Markram,Mohammed Siraj,MR Marsh,2,0,2,,,,,,,,,,,,,,,,,,2
Lucknow Super Giants,0,4,0.1,5.6,mandatory,AK Markram,Mohammed Siraj,MR Marsh,0,1,1,1.0,,,,,,,,,,,,,,,,,3
Lucknow Super Giants,0,5,0.1,5.6,mandatory,MR Marsh,Mohammed Siraj,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,4
Lucknow Super Giants,0,6,0.1,5.6,mandatory,AK Markram,Mohammed Siraj,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,4
Lucknow Super Giants,1,1,0.1,5.6,mandatory,MR Marsh,K Rabada,AK Markram,6,0,6,,,,,,,,,,,,,,,,,,10
Lucknow Super Giants,1,2,0.1,5.6,mandatory,MR Marsh,K Rabada,AK Markram,4,0,4,,,,,,,,,,,,,,,,,,14
Lucknow Super Giants,1,3,0.1,5.6,mandatory,MR Marsh,K Rabada,AK Markram,0,0,0,,,,,,,,,MR Marsh,caught,,,,,Shubman Gill,,,14
Lucknow Super Giants,1,4,0.1,5.6,mandatory,RR Pant,K Rabada,AK Markram,4,0,4,,,,,,,,,,,,,,,,,,18
Lucknow Super Giants,1,5,0.1,5.6,mandatory,RR Pant,K Rabada,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,19
Lucknow Super Giants,1,6,0.1,5.6,mandatory,AK Markram,K Rabada,RR Pant,4,0,4,,,,,,,,,,,,,,,,,,23
