team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,2,0.1,5.7,mandatory,V Kohli,TA Boult,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,3,0.1,5.7,mandatory,V Kohli,TA Boult,PD Salt,6,0,6,,,,,,,,,,,,,,,,,,,,,,7
Royal Challengers Bengaluru,0,4,0.1,5.7,mandatory,V Kohli,TA Boult,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,8
Royal Challengers Bengaluru,0,5,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,12
Royal Challengers Bengaluru,0,6,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,13
Royal Challengers Bengaluru,1,1,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,13
Royal Challengers Bengaluru,1,2,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,,,15
Royal Challengers Bengaluru,1,3,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,19
Royal Challengers Bengaluru,1,4,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,20
Royal Challengers Bengaluru,1,5,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,21
Royal Challengers Bengaluru,1,6,0.1,5.7,mandatory,V Kohli,HH Pandya,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,21
Royal Challengers Bengaluru,1,7,0.1,5.7,mandatory,V Kohli,HH Pandya,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,22
Royal Challengers Bengaluru,2,1,0.1,5.7,mandatory,V Kohli,TA Boult,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,,,,,26
Royal Challengers Bengaluru,2,2,0.1,5.7,mandatory,V Kohli,TA Boult,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,3,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,4,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,2,5,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,2,6,0.1,5.7,mandatory,PD Salt,TA Boult,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,3,1,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,3,2,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,,,,,37
Royal Challengers Bengaluru,3,3,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,38
Royal Challengers Bengaluru,3,4,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,,,40
Royal Challengers Bengaluru,3,5,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,41
Royal Challengers Bengaluru,3,6,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,2,0,2,,,,,,,,,,,,,,,,,,,,,,43
Royal Challengers Bengaluru,4,1,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,49
Royal Challengers Bengaluru,4,2,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,55
Royal Challengers Bengaluru,4,3,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,61
Royal Challengers Bengaluru,4,4,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,65
Royal Challengers Bengaluru,4,5,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,65
Royal Challengers Bengaluru,4,6,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,65
Royal Challengers Bengaluru,5,1,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,65
Royal Challengers Bengaluru,5,2,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,66
Royal Challengers Bengaluru,5,3,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,66
Royal Challengers Bengaluru,5,4,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,,,68
Royal Challengers Bengaluru,5,5,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,69
Royal Challengers Bengaluru,5,6,0.1,5.7,mandatory,PD Salt,JJ Bumrah,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,70
Royal Challengers Bengaluru,5,7,0.1,5.7,mandatory,V Kohli,JJ Bumrah,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,71
Royal Challengers Bengaluru,6,1,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,71
Royal Challengers Bengaluru,6,2,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,72
Royal Challengers Bengaluru,6,3,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,73
Royal Challengers Bengaluru,6,4,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,73
Royal Challengers Bengaluru,6,5,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,74
Royal Challengers Bengaluru,6,6,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,75
Royal Challengers Bengaluru,7,1,0.1,5.7,mandatory,PD Salt,M Markande,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,79
Royal Challengers Bengaluru,7,2,0.1,5.7,mandatory,PD Salt,M Markande,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,83
Royal Challengers Bengaluru,7,3,0.1,5.7,mandatory,PD Salt,M Markande,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,87
Royal Challengers Bengaluru,7,4,0.1,5.7,mandatory,PD Salt,M Markande,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,93
Royal Challengers Bengaluru,7,5,0.1,5.7,mandatory,PD Salt,M Markande,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,94
Royal Challengers Bengaluru,7,6,0.1,5.7,mandatory,V Kohli,M Markande,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,95
Royal Challengers Bengaluru,8,1,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,95
Royal Challengers Bengaluru,8,2,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,96
Royal Challengers Bengaluru,8,3,0.1,5.7,mandatory,PD Salt,MJ Santner,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,97
Royal Challengers Bengaluru,8,4,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,8,5,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,101
Royal Challengers Bengaluru,8,6,0.1,5.7,mandatory,V Kohli,MJ Santner,PD Salt,4,0,4,,,,,,,,,,,,,,,,,,,,,,105
Royal Challengers Bengaluru,9,1,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,2,0,2,,,,,,,,,,,,,,,,,,,,,,107
Royal Challengers Bengaluru,9,2,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,107
Royal Challengers Bengaluru,9,3,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,113
Royal Challengers Bengaluru,9,4,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,,,114
Royal Challengers Bengaluru,9,5,0.1,5.7,mandatory,V Kohli,HH Pandya,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,115
Royal Challengers Bengaluru,9,6,0.1,5.7,mandatory,PD Salt,HH Pandya,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,,,115
Royal Challengers Bengaluru,10,1,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,116
Royal Challengers Bengaluru,10,2,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,116
Royal Challengers Bengaluru,10,3,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,117
Royal Challengers Bengaluru,10,4,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,0,0,0,,,,,,,,,,,,,,,,,,,,,,117
Royal Challengers Bengaluru,10,5,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,2,0,2,,,,,,,,,,,,,,,,,,,,,,119
Royal Challengers Bengaluru,10,6,0.1,5.7,mandatory,V Kohli,SN Thakur,PD Salt,1,0,1,,,,,,,,,,,,,,,,,,,,,,120
Royal Challengers Bengaluru,10,7,0.1,5.7,mandatory,PD Salt,SN Thakur,V Kohli,0,0,0,,,,,,,,,PD Salt,caught,,,,,,,,,HH Pandya,,,120
Royal Challengers Bengaluru,10,8,0.1,5.7,mandatory,RM Patidar,SN Thakur,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,,,124
Royal Challengers Bengaluru,11,1,0.1,5.7,mandatory,V Kohli,M Markande,RM Patidar,1,0,1,,,,,,,,,,,,,,,,,,,,,,125
Royal Challengers Bengaluru,11,2,0.1,5.7,mandatory,RM Patidar,M Markande,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,,,131
