team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,overs_deliveries_runs.non_boundary,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,JC Archer,TM Head,0,0,0,,,,,,,,,Abhishek Sharma,caught,,,,,Ravi Bishnoi,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Ishan Kishan,JC Archer,TM Head,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,Ishan Kishan,JC Archer,TM Head,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,Ishan Kishan,JC Archer,TM Head,2,0,2,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Ishan Kishan,JC Archer,TM Head,0,0,0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Ishan Kishan,JC Archer,TM Head,0,0,0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,TM Head,N Burger,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,TM Head,N Burger,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,TM Head,N Burger,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,TM Head,N Burger,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,TM Head,N Burger,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,6
