team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,VG Arora,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,VG Arora,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,0,3,0.1,5.6,mandatory,SV Samson,VG Arora,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,,,,12
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,VG Arora,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,,,,13
Chennai Super Kings,0,5,0.1,5.6,mandatory,RD Gaikwad,VG Arora,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,VG Arora,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,,,,14
Chennai Super Kings,1,1,0.1,5.6,mandatory,RD Gaikwad,C Green,SV Samson,0,2,2,2.0,,,,,,,,,,,,,,,,,,,,16
Chennai Super Kings,1,2,0.1,5.6,mandatory,SV Samson,C Green,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,,,,17
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,C Green,SV Samson,4,0,4,,,,,,,,,,,,,,,,,,,,,21
Chennai Super Kings,1,4,0.1,5.6,mandatory,RD Gaikwad,C Green,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,22
Chennai Super Kings,1,5,0.1,5.6,mandatory,SV Samson,C Green,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,,,,22
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,C Green,RD Gaikwad,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,23
Chennai Super Kings,1,7,0.1,5.6,mandatory,RD Gaikwad,C Green,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,,,,24
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,AS Roy,SV Samson,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,2,2,0.1,5.6,mandatory,RD Gaikwad,AS Roy,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,AS Roy,SV Samson,0,0,0,,,,,,,,RD Gaikwad,caught,,,,,,,,,R Powell,,,25
