team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,byes,player_out,wicket_kind,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0
Lucknow Super Giants,0,2,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,4
Lucknow Super Giants,0,3,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,6
Lucknow Super Giants,0,4,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,7
Lucknow Super Giants,0,5,0.1,5.6,mandatory,AK Markram,B Kumar,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,8
Lucknow Super Giants,0,6,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,9
Lucknow Super Giants,1,1,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,9
Lucknow Super Giants,1,2,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,10
Lucknow Super Giants,1,3,0.1,5.6,mandatory,AK Markram,JR Hazlewood,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,11
Lucknow Super Giants,1,4,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,12
Lucknow Super Giants,1,5,0.1,5.6,mandatory,AK Markram,JR Hazlewood,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,13
Lucknow Super Giants,1,6,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,14
Lucknow Super Giants,2,1,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,14
Lucknow Super Giants,2,2,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,14
Lucknow Super Giants,2,3,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,15
Lucknow Super Giants,2,4,0.1,5.6,mandatory,AK Markram,B Kumar,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,16
Lucknow Super Giants,2,5,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16
Lucknow Super Giants,2,6,0.1,5.6,mandatory,MR Marsh,B Kumar,AK Markram,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,22
Lucknow Super Giants,3,1,0.1,5.6,mandatory,AK Markram,Rasikh Salam,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,23
Lucknow Super Giants,3,2,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,24
Lucknow Super Giants,3,3,0.1,5.6,mandatory,AK Markram,Rasikh Salam,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,30
Lucknow Super Giants,3,4,0.1,5.6,mandatory,AK Markram,Rasikh Salam,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,31
Lucknow Super Giants,3,5,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,AK Markram,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,32
Lucknow Super Giants,3,6,0.1,5.6,mandatory,AK Markram,Rasikh Salam,MR Marsh,0,0,0,,,,,,,,,,AK Markram,caught,,,,,,,,,D Padikkal,,,,32
Lucknow Super Giants,4,1,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,RR Pant,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,4,2,0.1,5.6,mandatory,RR Pant,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,4,3,0.1,5.6,mandatory,RR Pant,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,4,4,0.1,5.6,mandatory,RR Pant,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,4,5,0.1,5.6,mandatory,N Pooran,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,,,N Pooran,RR Pant,injury,batter,,,,,,,,,33
Lucknow Super Giants,4,6,0.1,5.6,mandatory,N Pooran,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,5,1,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,N Pooran,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,33
Lucknow Super Giants,5,2,0.1,5.6,mandatory,MR Marsh,Rasikh Salam,N Pooran,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,34
Lucknow Super Giants,5,3,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,34
Lucknow Super Giants,5,4,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,34
Lucknow Super Giants,5,5,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,34
Lucknow Super Giants,5,6,0.1,5.6,mandatory,N Pooran,Rasikh Salam,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,35
Lucknow Super Giants,6,1,0.1,5.6,mandatory,N Pooran,JR Hazlewood,MR Marsh,0,0,0,,,,,,,,,,N Pooran,bowled,,,,,,,,,,,,,35
Lucknow Super Giants,6,2,0.1,5.6,mandatory,A Badoni,JR Hazlewood,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,39
Lucknow Super Giants,6,3,0.1,5.6,mandatory,A Badoni,JR Hazlewood,MR Marsh,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,40
Lucknow Super Giants,6,4,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,40
Lucknow Super Giants,6,5,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,40
Lucknow Super Giants,6,6,0.1,5.6,mandatory,MR Marsh,JR Hazlewood,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,40
Lucknow Super Giants,7,1,0.1,5.6,mandatory,A Badoni,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,41
Lucknow Super Giants,7,2,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,42
Lucknow Super Giants,7,3,0.1,5.6,mandatory,A Badoni,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,43
Lucknow Super Giants,7,4,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,,,44
Lucknow Super Giants,7,5,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,48
Lucknow Super Giants,7,6,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,0,1,1,,1.0,,,,,,,,,,,,,,,,,,,,,,49
Lucknow Super Giants,7,7,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,49
Lucknow Super Giants,7,8,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,55
Lucknow Super Giants,8,1,0.1,5.6,mandatory,A Badoni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,56
Lucknow Super Giants,8,2,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,A Badoni,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,60
Lucknow Super Giants,8,3,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,A Badoni,0,0,0,,,Royal Challengers Bengaluru,AT Holdstock,MR Marsh,struck down,wicket,True,,,,,,,,,,,,,,,,60
Lucknow Super Giants,8,4,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,61
Lucknow Super Giants,8,5,0.1,5.6,mandatory,A Badoni,Suyash Sharma,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,62
Lucknow Super Giants,8,6,0.1,5.6,mandatory,MR Marsh,Suyash Sharma,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,63
Lucknow Super Giants,9,1,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,64
Lucknow Super Giants,9,2,0.1,5.6,mandatory,A Badoni,KH Pandya,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,64
Lucknow Super Giants,9,3,0.1,5.6,mandatory,A Badoni,KH Pandya,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,70
Lucknow Super Giants,9,4,0.1,5.6,mandatory,A Badoni,KH Pandya,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,71
Lucknow Super Giants,9,5,0.1,5.6,mandatory,MR Marsh,KH Pandya,A Badoni,0,0,0,,,,,,,,,,MR Marsh,bowled,,,,,,,,,,,,,71
Lucknow Super Giants,9,6,0.1,5.6,mandatory,Abdul Samad,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,71
Lucknow Super Giants,10,1,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,75
Lucknow Super Giants,10,2,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,77
Lucknow Super Giants,10,3,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,77
Lucknow Super Giants,10,4,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,81
Lucknow Super Giants,10,5,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,81
Lucknow Super Giants,10,6,0.1,5.6,mandatory,A Badoni,Suyash Sharma,Abdul Samad,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,82
Lucknow Super Giants,11,1,0.1,5.6,mandatory,A Badoni,KH Pandya,Abdul Samad,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,83
Lucknow Super Giants,11,2,0.1,5.6,mandatory,Abdul Samad,KH Pandya,A Badoni,0,0,0,,,,,,,,,,Abdul Samad,caught,,,,,,,,,RM Patidar,,,,83
Lucknow Super Giants,11,3,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,87
Lucknow Super Giants,11,4,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,88
Lucknow Super Giants,11,5,0.1,5.6,mandatory,A Badoni,KH Pandya,MD Choudhary,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,90
Lucknow Super Giants,11,6,0.1,5.6,mandatory,A Badoni,KH Pandya,MD Choudhary,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,90
Lucknow Super Giants,12,1,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,90
Lucknow Super Giants,12,2,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,90
Lucknow Super Giants,12,3,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,90
Lucknow Super Giants,12,4,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,12,5,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,12,6,0.1,5.6,mandatory,MD Choudhary,Suyash Sharma,A Badoni,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,13,1,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,13,2,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,13,3,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,13,4,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,13,5,0.1,5.6,mandatory,MD Choudhary,KH Pandya,A Badoni,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,101
