team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,0
Mumbai Indians,0,2,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,0
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,0
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,0
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,0
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,1,0,1,,,,,,,,,,,,,1
Mumbai Indians,1,1,0.1,5.6,mandatory,RD Rickelton,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,2
Mumbai Indians,1,2,0.1,5.6,mandatory,Q de Kock,M Jansen,RD Rickelton,6,0,6,,,,,,,,,,,,,8
Mumbai Indians,1,3,0.1,5.6,mandatory,Q de Kock,M Jansen,RD Rickelton,0,4,4,4.0,,,,,,,,,,,,12
Mumbai Indians,1,4,0.1,5.6,mandatory,Q de Kock,M Jansen,RD Rickelton,0,0,0,,,,,,,,,,,,,12
Mumbai Indians,1,5,0.1,5.6,mandatory,Q de Kock,M Jansen,RD Rickelton,0,0,0,,,,,,,,,,,,,12
Mumbai Indians,1,6,0.1,5.6,mandatory,Q de Kock,M Jansen,RD Rickelton,0,0,0,,,,,,,,,,,,,12
Mumbai Indians,2,1,0.1,5.6,mandatory,RD Rickelton,Arshdeep Singh,Q de Kock,0,0,0,,,,RD Rickelton,caught,,,,,Shashank Singh,,,12
Mumbai Indians,2,2,0.1,5.6,mandatory,SA Yadav,Arshdeep Singh,Q de Kock,0,0,0,,,,SA Yadav,caught,,,,,YS Chahal,,,12
Mumbai Indians,2,3,0.1,5.6,mandatory,Naman Dhir,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,12
Mumbai Indians,2,4,0.1,5.6,mandatory,Naman Dhir,Arshdeep Singh,Q de Kock,2,0,2,,,,,,,,,,,,,14
Mumbai Indians,2,5,0.1,5.6,mandatory,Naman Dhir,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,14
Mumbai Indians,2,6,0.1,5.6,mandatory,Naman Dhir,Arshdeep Singh,Q de Kock,1,0,1,,,,,,,,,,,,,15
Mumbai Indians,3,1,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,0,0,0,,,,,,,,,,,,,15
Mumbai Indians,3,2,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,4,0,4,,,,,,,,,,,,,19
Mumbai Indians,3,3,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,20
Mumbai Indians,3,4,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,2,0,2,,,,,,,,,,,,,22
Mumbai Indians,3,5,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,23
Mumbai Indians,3,6,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,2,0,2,,,,,,,,,,,,,25
Mumbai Indians,4,1,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,1,0,1,,,,,,,,,,,,,26
Mumbai Indians,4,2,0.1,5.6,mandatory,Naman Dhir,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,27
Mumbai Indians,4,3,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,0,0,0,,,,,,,,,,,,,27
Mumbai Indians,4,4,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,4,0,4,,,,,,,,,,,,,31
Mumbai Indians,4,5,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,1,0,1,,,,,,,,,,,,,32
Mumbai Indians,4,6,0.1,5.6,mandatory,Naman Dhir,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,33
Mumbai Indians,5,1,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,0,0,0,,,,,,,,,,,,,33
Mumbai Indians,5,2,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,4,0,4,,,,,,,,,,,,,37
Mumbai Indians,5,3,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,0,0,0,,,,,,,,,,,,,37
Mumbai Indians,5,4,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,4,0,4,,,,,,,,,,,,,41
Mumbai Indians,5,5,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,6,0,6,,,,,,,,,,,,,47
Mumbai Indians,5,6,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,1,0,1,,,,,,,,,,,,,48
Mumbai Indians,6,1,0.1,5.6,mandatory,Naman Dhir,YS Chahal,Q de Kock,6,0,6,,,,,,,,,,,,,54
Mumbai Indians,6,2,0.1,5.6,mandatory,Naman Dhir,YS Chahal,Q de Kock,1,0,1,,,,,,,,,,,,,55
Mumbai Indians,6,3,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,6,0,6,,,,,,,,,,,,,61
Mumbai Indians,6,4,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,4,0,4,,,,,,,,,,,,,65
Mumbai Indians,6,5,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,0,1,1,,1.0,,,,,,,,,,,66
Mumbai Indians,6,6,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,0,0,0,,,,,,,,,,,,,66
Mumbai Indians,6,7,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,1,0,1,,,,,,,,,,,,,67
Mumbai Indians,7,1,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,68
Mumbai Indians,7,2,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,69
Mumbai Indians,7,3,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,2,0,2,,,,,,,,,,,,,71
Mumbai Indians,7,4,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,72
Mumbai Indians,7,5,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,73
Mumbai Indians,7,6,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,74
Mumbai Indians,8,1,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,4,0,4,,,,,,,,,,,,,78
Mumbai Indians,8,2,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,0,1,1,,1.0,,,,,,,,,,,79
Mumbai Indians,8,3,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,0,0,0,,,,,,,,,,,,,79
Mumbai Indians,8,4,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,4,0,4,,,,,,,,,,,,,83
Mumbai Indians,8,5,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,1,0,1,,,,,,,,,,,,,84
Mumbai Indians,8,6,0.1,5.6,mandatory,Naman Dhir,Vijaykumar Vyshak,Q de Kock,1,0,1,,,,,,,,,,,,,85
Mumbai Indians,8,7,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Naman Dhir,1,0,1,,,,,,,,,,,,,86
Mumbai Indians,9,1,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,2,0,2,,,,,,,,,,,,,88
Mumbai Indians,9,2,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,0,0,0,,,,,,,,,,,,,88
Mumbai Indians,9,3,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,6,0,6,,,,,,,,,,,,,94
Mumbai Indians,9,4,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,1,0,1,,,,,,,,,,,,,95
Mumbai Indians,9,5,0.1,5.6,mandatory,Naman Dhir,YS Chahal,Q de Kock,1,0,1,,,,,,,,,,,,,96
Mumbai Indians,9,6,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,1,0,1,,,,,,,,,,,,,97
Mumbai Indians,10,1,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,0,0,0,,,,,,,,,,,,,97
Mumbai Indians,10,2,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,4,0,4,,,,,,,,,,,,,101
Mumbai Indians,10,3,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,6,0,6,,,,,,,,,,,,,107
Mumbai Indians,10,4,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,108
Mumbai Indians,10,5,0.1,5.6,mandatory,Naman Dhir,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,109
Mumbai Indians,10,6,0.1,5.6,mandatory,Q de Kock,XC Bartlett,Naman Dhir,1,0,1,,,,,,,,,,,,,110
Mumbai Indians,11,1,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,0,0,0,,,,,,,,,,,,,110
Mumbai Indians,11,2,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,6,0,6,,,,,,,,,,,,,116
Mumbai Indians,11,3,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,1,0,1,,,,,,,,,,,,,117
Mumbai Indians,11,4,0.1,5.6,mandatory,Naman Dhir,YS Chahal,Q de Kock,6,0,6,,,,,,,,,,,,,123
Mumbai Indians,11,5,0.1,5.6,mandatory,Naman Dhir,YS Chahal,Q de Kock,1,0,1,,,,,,,,,,,,,124
Mumbai Indians,11,6,0.1,5.6,mandatory,Q de Kock,YS Chahal,Naman Dhir,1,0,1,,,,,,,,,,,,,125
Mumbai Indians,12,1,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,1,0,1,,,,,,,,,,,,,126
Mumbai Indians,12,2,0.1,5.6,mandatory,Naman Dhir,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,127
Mumbai Indians,12,3,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,1,0,1,,,,,,,,,,,,,128
Mumbai Indians,12,4,0.1,5.6,mandatory,Naman Dhir,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,129
Mumbai Indians,12,5,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,0,1,1,,1.0,,,,,,,,,,,130
Mumbai Indians,12,6,0.1,5.6,mandatory,Q de Kock,M Jansen,Naman Dhir,1,0,1,,,,,,,,,,,,,131
Mumbai Indians,12,7,0.1,5.6,mandatory,Naman Dhir,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,132
Mumbai Indians,13,1,0.1,5.6,mandatory,Naman Dhir,Shashank Singh,Q de Kock,1,0,1,,,,,,,,,,,,,133
Mumbai Indians,13,2,0.1,5.6,mandatory,Q de Kock,Shashank Singh,Naman Dhir,1,0,1,,,,,,,,,,,,,134
Mumbai Indians,13,3,0.1,5.6,mandatory,Naman Dhir,Shashank Singh,Q de Kock,0,0,0,,,,,,,,,,,,,134
Mumbai Indians,13,4,0.1,5.6,mandatory,Naman Dhir,Shashank Singh,Q de Kock,0,0,0,,,,Naman Dhir,caught,,,,,XC Bartlett,,,134
Mumbai Indians,13,5,0.1,5.6,mandatory,HH Pandya,Shashank Singh,Q de Kock,1,0,1,,,,,,,,,,,,,135
Mumbai Indians,13,6,0.1,5.6,mandatory,Q de Kock,Shashank Singh,HH Pandya,1,0,1,,,,,,,,,,,,,136
Mumbai Indians,14,1,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,HH Pandya,4,0,4,,,,,,,,,,,,,140
Mumbai Indians,14,2,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,HH Pandya,0,1,1,,1.0,,,,,,,,,,,141
Mumbai Indians,14,3,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,HH Pandya,1,0,1,,,,,,,,,,,,,142
Mumbai Indians,14,4,0.1,5.6,mandatory,HH Pandya,Arshdeep Singh,Q de Kock,1,0,1,,,,,,,,,,,,,143
Mumbai Indians,14,5,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,HH Pandya,0,0,0,,,,,,,,,,,,,143
Mumbai Indians,14,6,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,HH Pandya,1,0,1,,,,,,,,,,,,,144
Mumbai Indians,14,7,0.1,5.6,mandatory,HH Pandya,Arshdeep Singh,Q de Kock,1,0,1,,,,,,,,,,,,,145
Mumbai Indians,15,1,0.1,5.6,mandatory,HH Pandya,Shashank Singh,Q de Kock,0,0,0,,,,,,,,,,,,,145
Mumbai Indians,15,2,0.1,5.6,mandatory,HH Pandya,Shashank Singh,Q de Kock,1,0,1,,,,,,,,,,,,,146
Mumbai Indians,15,3,0.1,5.6,mandatory,Q de Kock,Shashank Singh,HH Pandya,6,0,6,,,,,,,,,,,,,152
Mumbai Indians,15,4,0.1,5.6,mandatory,Q de Kock,Shashank Singh,HH Pandya,6,0,6,,,,,,,,,,,,,158
Mumbai Indians,15,5,0.1,5.6,mandatory,Q de Kock,Shashank Singh,HH Pandya,1,0,1,,,,,,,,,,,,,159
Mumbai Indians,15,6,0.1,5.6,mandatory,HH Pandya,Shashank Singh,Q de Kock,1,0,1,,,,,,,,,,,,,160
Mumbai Indians,16,1,0.1,5.6,mandatory,HH Pandya,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,161
Mumbai Indians,16,2,0.1,5.6,mandatory,Q de Kock,XC Bartlett,HH Pandya,1,0,1,,,,,,,,,,,,,162
Mumbai Indians,16,3,0.1,5.6,mandatory,HH Pandya,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,163
Mumbai Indians,16,4,0.1,5.6,mandatory,Q de Kock,XC Bartlett,HH Pandya,1,0,1,,,,,,,,,,,,,164
Mumbai Indians,16,5,0.1,5.6,mandatory,HH Pandya,XC Bartlett,Q de Kock,1,0,1,,,,,,,,,,,,,165
Mumbai Indians,16,6,0.1,5.6,mandatory,Q de Kock,XC Bartlett,HH Pandya,4,0,4,,,,,,,,,,,,,169
Mumbai Indians,17,1,0.1,5.6,mandatory,HH Pandya,M Jansen,Q de Kock,6,0,6,,,,,,,,,,,,,175
Mumbai Indians,17,2,0.1,5.6,mandatory,HH Pandya,M Jansen,Q de Kock,0,0,0,,,,,,,,,,,,,175
Mumbai Indians,17,3,0.1,5.6,mandatory,HH Pandya,M Jansen,Q de Kock,0,0,0,,,,HH Pandya,caught,,,,,XC Bartlett,,,175
Mumbai Indians,17,4,0.1,5.6,mandatory,SE Rutherford,M Jansen,Q de Kock,0,0,0,,,,,,,,,,,,,175
Mumbai Indians,17,5,0.1,5.6,mandatory,SE Rutherford,M Jansen,Q de Kock,1,0,1,,,,,,,,,,,,,176
Mumbai Indians,17,6,0.1,5.6,mandatory,Q de Kock,M Jansen,SE Rutherford,1,0,1,,,,,,,,,,,,,177
Mumbai Indians,18,1,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,SE Rutherford,4,0,4,,,,,,,,,,,,,181
Mumbai Indians,18,2,0.1,5.6,mandatory,Q de Kock,Arshdeep Singh,SE Rutherford,1,0,1,,,,,,,,,,,,,182
Mumbai Indians,18,3,0.1,5.6,mandatory,SE Rutherford,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,182
Mumbai Indians,18,4,0.1,5.6,mandatory,SE Rutherford,Arshdeep Singh,Q de Kock,0,0,0,,,,,,,,,,,,,182
Mumbai Indians,18,5,0.1,5.6,mandatory,SE Rutherford,Arshdeep Singh,Q de Kock,0,0,0,,,,SE Rutherford,bowled,,,,,,,,182
Mumbai Indians,18,6,0.1,5.6,mandatory,Tilak Varma,Arshdeep Singh,Q de Kock,4,0,4,,,,,,,,,,,,,186
Mumbai Indians,19,1,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Tilak Varma,0,0,0,,,,,,,,,,,,,186
Mumbai Indians,19,2,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Tilak Varma,2,0,2,,,,,,,,,,,,,188
Mumbai Indians,19,3,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Tilak Varma,1,0,1,,,,,,,,,,,,,189
Mumbai Indians,19,4,0.1,5.6,mandatory,Tilak Varma,Vijaykumar Vyshak,Q de Kock,4,0,4,,,,,,,,,,,,,193
Mumbai Indians,19,5,0.1,5.6,mandatory,Tilak Varma,Vijaykumar Vyshak,Q de Kock,0,0,0,,,,Tilak Varma,run out,,,,,Vijaykumar Vyshak,,,193
Mumbai Indians,19,6,0.1,5.6,mandatory,Q de Kock,Vijaykumar Vyshak,Mayank Rawat,2,0,2,,,,,,,,,,,,,195
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,1,0,1,,,,,,AM Ghazanfar,SA Yadav,Mumbai Indians,impact_player,,20.0,196.0,1
Punjab Kings,0,2,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,4,0,4,,,,,,,,,,,20.0,196.0,5
Punjab Kings,0,3,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,4,0,4,,,,,,,,,,,20.0,196.0,9
Punjab Kings,0,4,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,1,0,1,,,,,,,,,,,20.0,196.0,10
Punjab Kings,0,5,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,6,0,6,,,,,,,,,,,20.0,196.0,16
Punjab Kings,0,6,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,1,1,,1.0,,,,,,,,,20.0,196.0,17
Punjab Kings,0,7,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,21
Punjab Kings,1,1,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,1,0,1,,,,,,,,,,,20.0,196.0,22
Punjab Kings,1,2,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,3,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,4,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,5,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
Punjab Kings,1,6,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,20.0,196.0,26
