team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,0,1,0.1,5.6,mandatory,TL Seifert,Mohammed Siraj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,2,0.1,5.6,mandatory,TL Seifert,Mohammed Siraj,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,4
Kolkata Knight Riders,0,3,0.1,5.6,mandatory,TL Seifert,Mohammed Siraj,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,0,4,0.1,5.6,mandatory,AM Rahane,Mohammed Siraj,TL Seifert,0,0,0,,,,,,,,,,AM Rahane,caught,,,,,K Rabada,,,5
Kolkata Knight Riders,0,5,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Siraj,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,0,6,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Siraj,TL Seifert,4,0,4,,,,,,,,,,,,,,,,,,,9
Kolkata Knight Riders,1,1,0.1,5.6,mandatory,TL Seifert,K Rabada,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,,,9
Kolkata Knight Riders,1,2,0.1,5.6,mandatory,TL Seifert,K Rabada,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,,,9
Kolkata Knight Riders,1,3,0.1,5.6,mandatory,TL Seifert,K Rabada,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,15
Kolkata Knight Riders,1,4,0.1,5.6,mandatory,TL Seifert,K Rabada,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,16
