team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,0,0,0,,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,3
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,,,4
Sunrisers Hyderabad,0,7,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,4
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,6,0,6,,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,2,0,2,,,,,,,,,,,,,,,,,,,12
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,Abhishek Sharma,Mukesh Choudhary,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,,14
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,6,0,6,,,,,,,,,,,,,,,,,,,21
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,22
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,22
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,22
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,23
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,TM Head,A Kamboj,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,TM Head,A Kamboj,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,TM Head,A Kamboj,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,TM Head,A Kamboj,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,30
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,Abhishek Sharma,A Kamboj,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,34
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,Abhishek Sharma,A Kamboj,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,38
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,TM Head,MW Short,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,39
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,47
Sunrisers Hyderabad,4,4,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,51
Sunrisers Hyderabad,4,5,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,6,0,6,,,,,,,,,,,,,,,,,,,57
Sunrisers Hyderabad,4,6,0.1,5.6,mandatory,Abhishek Sharma,MW Short,TM Head,6,0,6,,,,,,,,,,,,,,,,,,,63
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,67
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,67
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,71
Sunrisers Hyderabad,5,4,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,75
Sunrisers Hyderabad,5,5,0.1,5.6,mandatory,TM Head,Mukesh Choudhary,Abhishek Sharma,0,0,0,,,,,,,,,,TM Head,caught,,,,,RD Gaikwad,,,75
Sunrisers Hyderabad,5,6,0.1,5.6,mandatory,Ishan Kishan,Mukesh Choudhary,Abhishek Sharma,0,0,0,,,,,,,,,,Ishan Kishan,caught,,,,,RD Gaikwad,,,75
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,0,4,4,,,4.0,,,,,,,,,,,,,,,,79
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,0,1,1,1.0,,,,,,,,,,,,,,,,,,80
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,81
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,81
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,82
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,Abhishek Sharma,Noor Ahmad,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,,83
Sunrisers Hyderabad,6,7,0.1,5.6,mandatory,H Klaasen,Noor Ahmad,Abhishek Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,,84
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,H Klaasen,J Overton,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,85
