team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,P Simran Singh,1.0,0,1,1,,,,,,,,,,,,,,,,,1
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,P Simran Singh,,0,0,0,,,,,,,,,,,,,,,,,1
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,P Simran Singh,1.0,0,1,1,,,,,,,,,,,,,,,,,2
Punjab Kings,0,4,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,P Simran Singh,,1,0,1,,,,,,,,,,,,,,,,,3
Punjab Kings,0,5,0.1,5.6,mandatory,P Simran Singh,Mohammed Shami,Priyansh Arya,,0,0,0,,,,,,,,P Simran Singh,caught,,,,,MR Marsh,,,3
Punjab Kings,0,6,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,3
Punjab Kings,0,7,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,3
Punjab Kings,0,8,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,4,0,4,,,,,,,,,,,,,,,,,7
Punjab Kings,1,1,0.1,5.6,mandatory,Priyansh Arya,Mohsin Khan,C Connolly,,6,0,6,,,,,,,,,,,,,,,,,13
Punjab Kings,1,2,0.1,5.6,mandatory,Priyansh Arya,Mohsin Khan,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,14
Punjab Kings,1,3,0.1,5.6,mandatory,C Connolly,Mohsin Khan,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,14
Punjab Kings,1,4,0.1,5.6,mandatory,C Connolly,Mohsin Khan,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,14
Punjab Kings,1,5,0.1,5.6,mandatory,C Connolly,Mohsin Khan,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,14
Punjab Kings,1,6,0.1,5.6,mandatory,C Connolly,Mohsin Khan,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,,,15
Punjab Kings,2,1,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,4,0,4,,,,,,,,,,,,,,,,,19
Punjab Kings,2,2,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,0,0,0,,,,,,,,,,,,,,,,,19
Punjab Kings,2,3,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,1,0,1,,,,,,,,,,,,,,,,,20
Punjab Kings,2,4,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,C Connolly,,4,0,4,,,,,,,,,,,,,,,,,24
Punjab Kings,2,5,0.1,5.6,mandatory,Priyansh Arya,Mohammed Shami,C Connolly,,1,0,1,,,,,,,,,,,,,,,,,25
Punjab Kings,2,6,0.1,5.6,mandatory,C Connolly,Mohammed Shami,Priyansh Arya,,0,1,1,1.0,,,,,,,,,,,,,,,,26
