team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,,,,,,,,,,,,,,,,,,,0
Mumbai Indians,0,2,0.1,5.6,mandatory,Q de Kock,Mohammed Siraj,DV Malewar,1,0,1,,,,,,,,,,,,,,,,,,,,1
Mumbai Indians,0,3,0.1,5.6,mandatory,DV Malewar,Mohammed Siraj,Q de Kock,0,0,0,,,,,,,,,,,,,,,,,,,,1
Mumbai Indians,0,4,0.1,5.6,mandatory,DV Malewar,Mohammed Siraj,Q de Kock,1,0,1,,,,,,,,,,,,,,,,,,,,2
Mumbai Indians,0,5,0.1,5.6,mandatory,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,,,,,,,,,,,,,,,,,,,2
Mumbai Indians,0,6,0.1,5.6,mandatory,Q de Kock,Mohammed Siraj,DV Malewar,0,0,0,,,,,,,,,,,,,,,,,,,,2
Mumbai Indians,1,1,0.1,5.6,mandatory,DV Malewar,K Rabada,Q de Kock,1,0,1,,,,,,,,,,,,,,,,,,,,3
Mumbai Indians,1,2,0.1,5.6,mandatory,Q de Kock,K Rabada,DV Malewar,6,0,6,,,,,,,,,,,,,,,,,,,,9
Mumbai Indians,1,3,0.1,5.6,mandatory,Q de Kock,K Rabada,DV Malewar,0,0,0,,,,,,,,,,,,,,,,,,,,9
Mumbai Indians,1,4,0.1,5.6,mandatory,Q de Kock,K Rabada,DV Malewar,1,0,1,,,,,,,,,,,,,,,,,,,,10
Mumbai Indians,1,5,0.1,5.6,mandatory,DV Malewar,K Rabada,Q de Kock,0,0,0,,,,,,,,,,DV Malewar,lbw,,,,,,,,,10
Mumbai Indians,1,6,0.1,5.6,mandatory,Naman Dhir,K Rabada,Q de Kock,1,0,1,,,,,,,,,,,,,,,,,,,,11
Mumbai Indians,2,1,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,Q de Kock,1,0,1,,,,,,,,,,,,,,,,,,,,12
Mumbai Indians,2,2,0.1,5.6,mandatory,Q de Kock,Mohammed Siraj,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,13
Mumbai Indians,2,3,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,Q de Kock,4,0,4,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,2,4,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,Q de Kock,4,0,4,,,,,,,,,,,,,,,,,,,,21
Mumbai Indians,2,5,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,Q de Kock,0,0,0,,,,,,,,,,,,,,,,,,,,21
Mumbai Indians,2,6,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,Q de Kock,0,0,0,,,,,,,,,,,,,,,,,,,,21
Mumbai Indians,3,1,0.1,5.6,mandatory,Q de Kock,K Rabada,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,21
Mumbai Indians,3,2,0.1,5.6,mandatory,Q de Kock,K Rabada,Naman Dhir,4,0,4,,,,,,,,,,,,,,,,,,,,25
Mumbai Indians,3,3,0.1,5.6,mandatory,Q de Kock,K Rabada,Naman Dhir,0,0,0,,,,,,,,,,Q de Kock,caught and bowled,,,,,,,,,25
Mumbai Indians,3,4,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,25
Mumbai Indians,3,5,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,0,1,1,1.0,,,,,,,,,,,,,,,,,,,26
Mumbai Indians,3,6,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,26
Mumbai Indians,3,7,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,27
Mumbai Indians,4,1,0.1,5.6,mandatory,SA Yadav,Mohammed Siraj,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,28
Mumbai Indians,4,2,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,SA Yadav,0,1,1,,1.0,,,,,,,,,,,,,,,,,,29
Mumbai Indians,4,3,0.1,5.6,mandatory,SA Yadav,Mohammed Siraj,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,30
Mumbai Indians,4,4,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,SA Yadav,0,1,1,,1.0,,,,,,,,,,,,,,,,,,31
Mumbai Indians,4,5,0.1,5.6,mandatory,SA Yadav,Mohammed Siraj,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,32
Mumbai Indians,4,6,0.1,5.6,mandatory,Naman Dhir,Mohammed Siraj,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,32
Mumbai Indians,5,1,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,6,0,6,,,,,,,,,,,,,,,,,,,,38
Mumbai Indians,5,2,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,4,0,4,,,,,,,,,,,,,,,,,,,,42
Mumbai Indians,5,3,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,43
Mumbai Indians,5,4,0.1,5.6,mandatory,Naman Dhir,K Rabada,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,44
Mumbai Indians,5,5,0.1,5.6,mandatory,SA Yadav,K Rabada,Naman Dhir,0,0,0,,,,,,,,,,SA Yadav,bowled,,,,,,,,,44
Mumbai Indians,5,6,0.1,5.6,mandatory,Tilak Varma,K Rabada,Naman Dhir,2,0,2,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,1,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,2,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,3,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,4,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,5,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,50
Mumbai Indians,6,6,0.1,5.6,mandatory,Naman Dhir,Ashok Sharma,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,54
Mumbai Indians,7,1,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,55
Mumbai Indians,7,2,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,56
Mumbai Indians,7,3,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,57
Mumbai Indians,7,4,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,57
Mumbai Indians,7,5,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,57
Mumbai Indians,7,6,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,58
Mumbai Indians,8,1,0.1,5.6,mandatory,Naman Dhir,M Prasidh Krishna,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,59
Mumbai Indians,8,2,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,Naman Dhir,2,0,2,,,,,,,,,,,,,,,,,,,,61
Mumbai Indians,8,3,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,61
Mumbai Indians,8,4,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,62
Mumbai Indians,8,5,0.1,5.6,mandatory,Naman Dhir,M Prasidh Krishna,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,66
Mumbai Indians,8,6,0.1,5.6,mandatory,Naman Dhir,M Prasidh Krishna,Tilak Varma,2,0,2,,,,,,,,,,,,,,,,,,,,68
Mumbai Indians,9,1,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,69
Mumbai Indians,9,2,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,0,1,1,,1.0,,,,,,,,,,,,,,,,,,70
Mumbai Indians,9,3,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,0,1,1,,1.0,,,,,,,,,,,,,,,,,,71
Mumbai Indians,9,4,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,72
Mumbai Indians,9,5,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,73
Mumbai Indians,9,6,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,2,0,2,,,,,,,,,,,,,,,,,,,,75
Mumbai Indians,10,1,0.1,5.6,mandatory,Tilak Varma,Washington Sundar,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,76
Mumbai Indians,10,2,0.1,5.6,mandatory,Naman Dhir,Washington Sundar,Tilak Varma,6,0,6,,,,,,,,,,,,,,,,,,,,82
Mumbai Indians,10,3,0.1,5.6,mandatory,Naman Dhir,Washington Sundar,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,86
Mumbai Indians,10,4,0.1,5.6,mandatory,Naman Dhir,Washington Sundar,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,87
Mumbai Indians,10,5,0.1,5.6,mandatory,Tilak Varma,Washington Sundar,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,87
Mumbai Indians,10,6,0.1,5.6,mandatory,Tilak Varma,Washington Sundar,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,88
Mumbai Indians,11,1,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,89
Mumbai Indians,11,2,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,90
Mumbai Indians,11,3,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,2,0,2,,,,,,,,,,,,,,,,,,,,92
Mumbai Indians,11,4,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,92
Mumbai Indians,11,5,0.1,5.6,mandatory,Tilak Varma,Rashid Khan,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,93
Mumbai Indians,11,6,0.1,5.6,mandatory,Naman Dhir,Rashid Khan,Tilak Varma,2,0,2,,,,,,,,,,,,,,,,,,,,95
Mumbai Indians,12,1,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,,,95
Mumbai Indians,12,2,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,,,96
Mumbai Indians,12,3,0.1,5.6,mandatory,Naman Dhir,M Prasidh Krishna,Tilak Varma,0,0,0,,,,,,,,,,Naman Dhir,caught,,,,,K Rabada,,,,96
Mumbai Indians,12,4,0.1,5.6,mandatory,HH Pandya,M Prasidh Krishna,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,97
Mumbai Indians,12,5,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,98
Mumbai Indians,12,6,0.1,5.6,mandatory,HH Pandya,M Prasidh Krishna,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,98
Mumbai Indians,13,1,0.1,5.6,mandatory,Tilak Varma,Ashok Sharma,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,98
Mumbai Indians,13,2,0.1,5.6,mandatory,Tilak Varma,Ashok Sharma,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,99
Mumbai Indians,13,3,0.1,5.6,mandatory,HH Pandya,Ashok Sharma,Tilak Varma,0,1,1,,,1.0,,,,,,,,,,,,,,,,,100
Mumbai Indians,13,4,0.1,5.6,mandatory,Tilak Varma,Ashok Sharma,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,101
Mumbai Indians,13,5,0.1,5.6,mandatory,HH Pandya,Ashok Sharma,Tilak Varma,2,0,2,,,,,,,,,,,,,,,,,,,,103
Mumbai Indians,13,6,0.1,5.6,mandatory,HH Pandya,Ashok Sharma,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,103
Mumbai Indians,14,1,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,6,0,6,,,,,,,,,,,,,,,,,,,,109
Mumbai Indians,14,2,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,4,0,4,,,,,,,,,,,,,,,,,,,,113
Mumbai Indians,14,3,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,4,0,4,,,,,,,,,,,,,,,,,,,,117
Mumbai Indians,14,4,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,2,0,2,,,,,,,,,,,,,,,,,,,,119
Mumbai Indians,14,5,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,0,1,1,1.0,,,,,,,,,,,,,,,,,,,120
Mumbai Indians,14,6,0.1,5.6,mandatory,Tilak Varma,M Prasidh Krishna,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,121
Mumbai Indians,14,7,0.1,5.6,mandatory,HH Pandya,M Prasidh Krishna,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,122
Mumbai Indians,15,1,0.1,5.6,mandatory,HH Pandya,K Rabada,Tilak Varma,2,0,2,,,,,,,,,,,,,,,,,,,,124
Mumbai Indians,15,2,0.1,5.6,mandatory,HH Pandya,K Rabada,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,124
Mumbai Indians,15,3,0.1,5.6,mandatory,HH Pandya,K Rabada,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,124
Mumbai Indians,15,4,0.1,5.6,mandatory,HH Pandya,K Rabada,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,124
Mumbai Indians,15,5,0.1,5.6,mandatory,HH Pandya,K Rabada,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,125
Mumbai Indians,15,6,0.1,5.6,mandatory,Tilak Varma,K Rabada,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,126
