team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.7,mandatory,Abhishek Sharma,Mukesh Kumar,TM Head,2,0,2,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,2,0.1,5.7,mandatory,Abhishek Sharma,Mukesh Kumar,TM Head,1,0,1,,,,,,,,,,,,,,,,,,3
Sunrisers Hyderabad,0,3,0.1,5.7,mandatory,TM Head,Mukesh Kumar,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,3
Sunrisers Hyderabad,0,4,0.1,5.7,mandatory,TM Head,Mukesh Kumar,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,5,0.1,5.7,mandatory,TM Head,Mukesh Kumar,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,6,0.1,5.7,mandatory,TM Head,Mukesh Kumar,Abhishek Sharma,2,0,2,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,1,1,0.1,5.7,mandatory,Abhishek Sharma,N Rana,TM Head,0,0,0,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,1,2,0.1,5.7,mandatory,Abhishek Sharma,N Rana,TM Head,1,0,1,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,1,3,0.1,5.7,mandatory,TM Head,N Rana,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,1,4,0.1,5.7,mandatory,TM Head,N Rana,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,10
