team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,wides,batter_runs,extra_runs,total_runs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,1.0,0,1,1,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,2,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,3,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,4,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,1.0,0,1,1,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,5,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,6,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,4,0,4,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,7,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,8,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,1,0,1,,,,,,,,,,,,,,,,,7
Rajasthan Royals,1,1,0.1,5.6,mandatory,YBK Jaiswal,Prince Yadav,V Suryavanshi,,5,0,5,,,,,,,,,,,,,,,,,12
Rajasthan Royals,1,2,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,YBK Jaiswal,,4,0,4,,,,,,,,,,,,,,,,,16
Rajasthan Royals,1,3,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,YBK Jaiswal,,4,0,4,,,,,,,,,,,,,,,,,20
Rajasthan Royals,1,4,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,YBK Jaiswal,,0,0,0,,,,,,,,,,,,,,,,,20
Rajasthan Royals,1,5,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,YBK Jaiswal,,0,0,0,,,,,,,,,,,,,,,,,20
Rajasthan Royals,1,6,0.1,5.6,mandatory,V Suryavanshi,Prince Yadav,YBK Jaiswal,,0,0,0,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,1,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,2,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,4,0,4,,,,,,,,,,,,,,,,,24
Rajasthan Royals,2,3,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,4,0,4,,,,,,,,,,,,,,,,,28
Rajasthan Royals,2,4,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,4,0,4,,,,,,,,,,,,,,,,,32
Rajasthan Royals,2,5,0.1,5.6,mandatory,YBK Jaiswal,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,YBK Jaiswal,caught,,,,,RR Pant,,,,32
Rajasthan Royals,2,6,0.1,5.6,mandatory,Dhruv Jurel,Mohammed Shami,V Suryavanshi,,0,0,0,,,,,,,Dhruv Jurel,caught,,,,,RR Pant,,,,32
Rajasthan Royals,3,1,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,2,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,3,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,4,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,5,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,32
Rajasthan Royals,3,6,0.1,5.6,mandatory,V Suryavanshi,Mohsin Khan,R Parag,,0,0,0,,,,,,,V Suryavanshi,caught,,,,,DS Rathi,,,,32
Rajasthan Royals,4,1,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,1.0,0,1,1,,,,,,,,,,,,,,,,,33
Rajasthan Royals,4,2,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,4,0,4,,,,,,,,,,,,,,,,,37
Rajasthan Royals,4,3,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,4,4,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,4,5,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,4,6,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,4,7,0.1,5.6,mandatory,R Parag,Mohammed Shami,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,5,1,0.1,5.6,mandatory,SO Hetmyer,Mohsin Khan,R Parag,,0,0,0,,,,,,,,,,,,,,,,,37
Rajasthan Royals,5,2,0.1,5.6,mandatory,SO Hetmyer,Mohsin Khan,R Parag,,1,0,1,,,,,,,,,,,,,,,,,38
Rajasthan Royals,5,3,0.1,5.6,mandatory,R Parag,Mohsin Khan,SO Hetmyer,,4,0,4,,,,,,,,,,,,,,,,,42
Rajasthan Royals,5,4,0.1,5.6,mandatory,R Parag,Mohsin Khan,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,42
Rajasthan Royals,5,5,0.1,5.6,mandatory,R Parag,Mohsin Khan,SO Hetmyer,,1,0,1,,,,,,,,,,,,,,,,,43
Rajasthan Royals,5,6,0.1,5.6,mandatory,SO Hetmyer,Mohsin Khan,R Parag,,1,0,1,,,,,,,,,,,,,,,,,44
Rajasthan Royals,6,1,0.1,5.6,mandatory,SO Hetmyer,MP Yadav,R Parag,,2,0,2,,,,,,,,,,,,,,,,,46
Rajasthan Royals,6,2,0.1,5.6,mandatory,SO Hetmyer,MP Yadav,R Parag,1.0,0,1,1,,,,,,,,,,,,,,,,,47
Rajasthan Royals,6,3,0.1,5.6,mandatory,SO Hetmyer,MP Yadav,R Parag,,0,0,0,,,,,,,,,,,,,,,,,47
Rajasthan Royals,6,4,0.1,5.6,mandatory,SO Hetmyer,MP Yadav,R Parag,,1,0,1,,,,,,,,,,,,,,,,,48
Rajasthan Royals,6,5,0.1,5.6,mandatory,R Parag,MP Yadav,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,48
Rajasthan Royals,6,6,0.1,5.6,mandatory,R Parag,MP Yadav,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,48
Rajasthan Royals,6,7,0.1,5.6,mandatory,R Parag,MP Yadav,SO Hetmyer,,6,0,6,,,,,,,,,,,,,,,,,54
Rajasthan Royals,7,1,0.1,5.6,mandatory,SO Hetmyer,DS Rathi,R Parag,,1,0,1,,,,,,,,,,,,,,,,,55
Rajasthan Royals,7,2,0.1,5.6,mandatory,R Parag,DS Rathi,SO Hetmyer,,2,0,2,,,,,,,,,,,,,,,,,57
Rajasthan Royals,7,3,0.1,5.6,mandatory,R Parag,DS Rathi,SO Hetmyer,,1,0,1,,,,,,,,,,,,,,,,,58
Rajasthan Royals,7,4,0.1,5.6,mandatory,SO Hetmyer,DS Rathi,R Parag,,1,0,1,,,,,,,,,,,,,,,,,59
Rajasthan Royals,7,5,0.1,5.6,mandatory,R Parag,DS Rathi,SO Hetmyer,,0,0,0,,,,,,,,,,,,,,,,,59
Rajasthan Royals,7,6,0.1,5.6,mandatory,R Parag,DS Rathi,SO Hetmyer,,1,0,1,,,,,,,,,,,,,,,,,60
Rajasthan Royals,8,1,0.1,5.6,mandatory,R Parag,Prince Yadav,SO Hetmyer,,1,0,1,,,,,,,,,,,,,,,,,61
Rajasthan Royals,8,2,0.1,5.6,mandatory,SO Hetmyer,Prince Yadav,R Parag,,0,0,0,,,,,,,,,,,,,,,,,61
Rajasthan Royals,8,3,0.1,5.6,mandatory,SO Hetmyer,Prince Yadav,R Parag,,0,0,0,,,,,,,,,,,,,,,,,61
Rajasthan Royals,8,4,0.1,5.6,mandatory,SO Hetmyer,Prince Yadav,R Parag,,1,0,1,,,,,,,,,,,,,,,,,62
