team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,noballs,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,,0
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,1,0,1,,,,,,,,,,,,,1
Chennai Super Kings,0,3,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,SV Samson,0,0,0,,,,,,,,,,,,,1
Chennai Super Kings,0,4,0.1,5.6,mandatory,RD Gaikwad,JJ Bumrah,SV Samson,0,1,1,1.0,,,,,,,,,,,,2
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,,2
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,4,1,5,,1.0,,,,,,,,,,,7
Chennai Super Kings,0,7,0.1,5.6,mandatory,SV Samson,JJ Bumrah,RD Gaikwad,0,0,0,,,,,,,,,,,,,7
Chennai Super Kings,1,1,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,2,0,2,,,,,,,,,,,,,9
Chennai Super Kings,1,2,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,0,0,0,,,,,,,,,,,,,9
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,4,1,5,,1.0,,,,,,,,,,,14
Chennai Super Kings,1,4,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,0,1,1,,,1.0,,,,,,,,,,15
Chennai Super Kings,1,5,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,4,0,4,,,,,,,,,,,,,19
Chennai Super Kings,1,6,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,6,0,6,,,,,,,,,,,,,25
Chennai Super Kings,1,7,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,0,0,0,,,,,,,,,,,,,25
Chennai Super Kings,1,8,0.1,5.6,mandatory,RD Gaikwad,HH Pandya,SV Samson,1,0,1,,,,,,,,,,,,,26
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,SV Samson,0,0,0,,,,,,,,,,,,,26
Chennai Super Kings,2,2,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,SV Samson,4,0,4,,,,,,,,,,,,,30
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,SV Samson,1,0,1,,,,,,,,,,,,,31
Chennai Super Kings,2,4,0.1,5.6,mandatory,SV Samson,AM Ghazanfar,RD Gaikwad,1,0,1,,,,,,,,,,,,,32
Chennai Super Kings,2,5,0.1,5.6,mandatory,RD Gaikwad,AM Ghazanfar,SV Samson,0,0,0,,,,,,,,,,,,,32
