team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,0,1,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,1
Gujarat Titans,0,2,0.1,5.6,mandatory,Shubman Gill,B Kumar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,1
Gujarat Titans,0,3,0.1,5.6,mandatory,Shubman Gill,B Kumar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,2
Gujarat Titans,0,4,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,4,0,4,,,,,,,,,,,,6
Gujarat Titans,0,5,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,6
Gujarat Titans,0,6,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,7
Gujarat Titans,1,1,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,0,0,,,,,,,,,,,,7
Gujarat Titans,1,2,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,0,0,,,,,,,,,,,,7
Gujarat Titans,1,3,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,2,0,2,,,,,,,,,,,,9
Gujarat Titans,1,4,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,1,1,1.0,,,,,,,,,,,10
Gujarat Titans,1,5,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,0,0,,,,,,,,,,,,10
Gujarat Titans,1,6,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,0,0,,,,,,,,,,,,10
Gujarat Titans,1,7,0.1,5.6,mandatory,B Sai Sudharsan,JR Hazlewood,Shubman Gill,0,1,1,,1.0,,,,,,,,,,11
Gujarat Titans,2,1,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,4,0,4,,,,,,,,,,,,15
Gujarat Titans,2,2,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,15
Gujarat Titans,2,3,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,15
Gujarat Titans,2,4,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,4,0,4,,,,,,,,,,,,19
Gujarat Titans,2,5,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,0,0,0,,,,,,,,,,,,19
Gujarat Titans,2,6,0.1,5.6,mandatory,B Sai Sudharsan,B Kumar,Shubman Gill,1,0,1,,,,,,,,,,,,20
Gujarat Titans,3,1,0.1,5.6,mandatory,B Sai Sudharsan,Rasikh Salam,Shubman Gill,0,0,0,,,,,,,,,,,,20
