team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,noballs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Delhi Capitals,0,1,0.1,5.6,mandatory,P Nissanka,Arshdeep Singh,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,0
Delhi Capitals,0,2,0.1,5.6,mandatory,P Nissanka,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,1
Delhi Capitals,0,3,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,,,2
Delhi Capitals,0,4,0.1,5.6,mandatory,P Nissanka,Arshdeep Singh,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,6
Delhi Capitals,0,5,0.1,5.6,mandatory,P Nissanka,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,7
Delhi Capitals,0,6,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,,,8
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,XC Bartlett,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,,,12
Delhi Capitals,1,2,0.1,5.6,mandatory,KL Rahul,XC Bartlett,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,,,16
Delhi Capitals,1,3,0.1,5.6,mandatory,KL Rahul,XC Bartlett,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,,,17
Delhi Capitals,1,4,0.1,5.6,mandatory,P Nissanka,XC Bartlett,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,18
Delhi Capitals,1,5,0.1,5.6,mandatory,KL Rahul,XC Bartlett,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,,,19
Delhi Capitals,1,6,0.1,5.6,mandatory,P Nissanka,XC Bartlett,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,23
Delhi Capitals,2,1,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,,,23
Delhi Capitals,2,2,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,,,27
Delhi Capitals,2,3,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,,,28
Delhi Capitals,2,4,0.1,5.6,mandatory,P Nissanka,Arshdeep Singh,KL Rahul,0,0,0,,,,,,,,,P Nissanka,caught,,,,,P Simran Singh,,,,28
Delhi Capitals,2,5,0.1,5.6,mandatory,N Rana,Arshdeep Singh,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,29
Delhi Capitals,2,6,0.1,5.6,mandatory,KL Rahul,Arshdeep Singh,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,35
Delhi Capitals,3,1,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,35
Delhi Capitals,3,2,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,39
Delhi Capitals,3,3,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,43
Delhi Capitals,3,4,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,,,45
Delhi Capitals,3,5,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,45
Delhi Capitals,3,6,0.1,5.6,mandatory,N Rana,M Jansen,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,45
Delhi Capitals,4,1,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,1,0,1,,,,,,,,,,,,,,,,,,,46
Delhi Capitals,4,2,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,46
Delhi Capitals,4,3,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,50
Delhi Capitals,4,4,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,54
Delhi Capitals,4,5,0.1,5.6,mandatory,N Rana,Vijaykumar Vyshak,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,55
Delhi Capitals,4,6,0.1,5.6,mandatory,KL Rahul,Vijaykumar Vyshak,N Rana,6,0,6,,,,,,,,,,,,,,,,,,,61
