team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,3,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,Mohammed Siraj,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,1
Chennai Super Kings,1,1,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,1
Chennai Super Kings,1,2,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,5
Chennai Super Kings,1,3,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,5
Chennai Super Kings,1,4,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,2,0,2,,,,,,,,,,,,,,,,,7
Chennai Super Kings,1,5,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,11
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,11
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,4,0,4,,,,,,,,,,,,,,,,,15
Chennai Super Kings,2,2,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,4,0,4,,,,,,,,,,,,,,,,,19
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,0,0,0,,,,,,,,,,,,,,,,,19
Chennai Super Kings,2,4,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,0,0,0,,,,,,,,,,,,,,,,,19
Chennai Super Kings,2,5,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,0,0,0,,,,,,,,,,,,,,,,,19
Chennai Super Kings,2,6,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SV Samson,2,0,2,,,,,,,,,,,,,,,,,21
Chennai Super Kings,3,1,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,21
Chennai Super Kings,3,2,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,21
Chennai Super Kings,3,3,0.1,5.6,mandatory,SV Samson,K Rabada,RD Gaikwad,0,0,0,,,,,,,,SV Samson,caught,,,,,JC Buttler,,,21
Chennai Super Kings,3,4,0.1,5.6,mandatory,Urvil Patel,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,21
Chennai Super Kings,3,5,0.1,5.6,mandatory,Urvil Patel,K Rabada,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,25
Chennai Super Kings,3,6,0.1,5.6,mandatory,Urvil Patel,K Rabada,RD Gaikwad,0,0,0,,,,,,,,Urvil Patel,caught,,,,,JO Holder,,,25
Chennai Super Kings,4,1,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SN Khan,0,0,0,,,,,,,,,,SN Khan,Urvil Patel,Chennai Super Kings,impact_player,,,,25
Chennai Super Kings,4,2,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SN Khan,0,0,0,,,,,,,,,,,,,,,,,25
Chennai Super Kings,4,3,0.1,5.6,mandatory,RD Gaikwad,Mohammed Siraj,SN Khan,1,0,1,,,,,,,,,,,,,,,,,26
Chennai Super Kings,4,4,0.1,5.6,mandatory,SN Khan,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,SN Khan,caught,,,,,JC Buttler,,,26
Chennai Super Kings,4,5,0.1,5.6,mandatory,D Brevis,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,26
Chennai Super Kings,4,6,0.1,5.6,mandatory,D Brevis,Mohammed Siraj,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,26
Chennai Super Kings,5,1,0.1,5.6,mandatory,RD Gaikwad,K Rabada,D Brevis,0,0,0,,,,,,,,,,,,,,,,,26
Chennai Super Kings,5,2,0.1,5.6,mandatory,RD Gaikwad,K Rabada,D Brevis,0,0,0,,,,,,,,,,,,,,,,,26
Chennai Super Kings,5,3,0.1,5.6,mandatory,RD Gaikwad,K Rabada,D Brevis,1,0,1,,,,,,,,,,,,,,,,,27
Chennai Super Kings,5,4,0.1,5.6,mandatory,D Brevis,K Rabada,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,27
Chennai Super Kings,5,5,0.1,5.6,mandatory,D Brevis,K Rabada,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,28
Chennai Super Kings,5,6,0.1,5.6,mandatory,RD Gaikwad,K Rabada,D Brevis,0,0,0,,,,,,,,,,,,,,,,,28
Chennai Super Kings,6,1,0.1,5.6,mandatory,D Brevis,MJ Suthar,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,29
Chennai Super Kings,6,2,0.1,5.6,mandatory,RD Gaikwad,MJ Suthar,D Brevis,0,0,0,,,,,,,,,,,,,,,,,29
