team,super_over,ball_number,over,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,1,1,1.0,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,,,0,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,TL Seifert,1,0,1,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,AM Rahane,Mohsin Khan,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,AM Rahane,Mohsin Khan,TL Seifert,0,0,0,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,AM Rahane,Mohsin Khan,TL Seifert,0,1,1,,1.0,Lucknow Super Giants,K Kelkar,AM Rahane,struck down,wicket,,,,,,,,,,,,3
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,TL Seifert,Mohsin Khan,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,3
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,TL Seifert,Mohsin Khan,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,3
Kolkata Knight Riders,,,1,0.1,5.6,mandatory,TL Seifert,Mohsin Khan,AM Rahane,0,0,0,,,,,,,,,,TL Seifert,caught,,,,,MD Choudhary,,,3
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,4
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Shami,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,11
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,,,11
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,AM Rahane,Mohammed Shami,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,12
Kolkata Knight Riders,,,2,0.1,5.6,mandatory,A Raghuvanshi,Mohammed Shami,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,13
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,A Raghuvanshi,Mohsin Khan,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,14
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,AM Rahane,Mohsin Khan,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,15
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,A Raghuvanshi,Mohsin Khan,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,16
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,AM Rahane,Mohsin Khan,A Raghuvanshi,0,0,0,,,,,,,,,,AM Rahane,caught,,,,,AK Markram,,,16
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,C Green,Mohsin Khan,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,17
Kolkata Knight Riders,,,3,0.1,5.6,mandatory,A Raghuvanshi,Mohsin Khan,C Green,4,0,4,,,,,,,,,,,,,,,,,,,21
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,C Green,Prince Yadav,A Raghuvanshi,0,1,1,1.0,,,,,,,,,,,,,,,,,,22
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,C Green,Prince Yadav,A Raghuvanshi,2,0,2,,,,,,,,,,,,,,,,,,,24
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,C Green,Prince Yadav,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,25
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,A Raghuvanshi,Prince Yadav,C Green,0,0,0,,,,,,,,,,,,,,,,,,,25
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,A Raghuvanshi,Prince Yadav,C Green,1,0,1,,,,,,,,,,,,,,,,,,,26
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,C Green,Prince Yadav,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,27
Kolkata Knight Riders,,,4,0.1,5.6,mandatory,A Raghuvanshi,Prince Yadav,C Green,0,0,0,,,,,,,,,,A Raghuvanshi,obstructing the field,,,,,,,,27
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,C Green,DS Rathi,R Powell,1,0,1,,,,,,,,,,,,,,,,,,,28
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,R Powell,DS Rathi,C Green,0,0,0,,,,,,,,,,,,,,,,,,,28
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,R Powell,DS Rathi,C Green,0,0,0,,,,,,,,,,,,,,,,,,,28
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,R Powell,DS Rathi,C Green,1,0,1,,,,,,,,,,,,,,,,,,,29
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,C Green,DS Rathi,R Powell,2,0,2,,,,,,,,,,,,,,,,,,,31
Kolkata Knight Riders,,,5,0.1,5.6,mandatory,C Green,DS Rathi,R Powell,0,0,0,,,,,,,,,,,,,,,,,,,31
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,R Powell,Mohsin Khan,C Green,0,0,0,,,,,,,,,,R Powell,caught,,,,,RR Pant,,,31
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,0,1,1,1.0,,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,0,0,0,,,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,0,0,0,,,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,4,0,4,,,,,,,,,,,,,,,,,,,36
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,1,0,1,,,,,,,,,,,,,,,,,,,37
Kolkata Knight Riders,,,6,0.1,5.6,mandatory,C Green,Mohsin Khan,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,37
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,RK Singh,DS Rathi,C Green,1,0,1,,,,,,,,,,,,,,,,,,,38
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,C Green,DS Rathi,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,38
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,C Green,DS Rathi,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,39
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,RK Singh,DS Rathi,C Green,2,0,2,,,,,,,,,,,,,,,,,,,41
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,RK Singh,DS Rathi,C Green,1,0,1,,,,,,,,,,,,,,,,,,,42
Kolkata Knight Riders,,,7,0.1,5.6,mandatory,C Green,DS Rathi,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,43
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,C Green,GF Linde,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,44
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,RK Singh,GF Linde,C Green,1,0,1,,,,,,,,,,,,,,,,,,,45
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,C Green,GF Linde,RK Singh,6,0,6,,,,,,,,,,,,,,,,,,,51
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,C Green,GF Linde,RK Singh,6,0,6,,,,,,,,,,,,,,,,,,,57
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,C Green,GF Linde,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,58
Kolkata Knight Riders,,,8,0.1,5.6,mandatory,RK Singh,GF Linde,C Green,1,0,1,,,,,,,,,,,,,,,,,,,59
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,RK Singh,AK Markram,C Green,1,0,1,,,,,,,,,,,,,,,,,,,60
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,C Green,AK Markram,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,61
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,RK Singh,AK Markram,C Green,1,0,1,,,,,,,,,,,,,,,,,,,62
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,C Green,AK Markram,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,63
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,RK Singh,AK Markram,C Green,0,0,0,,,,,,,,,,,,,,,,,,,63
Kolkata Knight Riders,,,9,0.1,5.6,mandatory,RK Singh,AK Markram,C Green,1,0,1,,,,,,,,,,,,,,,,,,,64
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,RK Singh,Mohsin Khan,C Green,1,0,1,,,,,,,,,,,,,,,,,,,65
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,C Green,Mohsin Khan,RK Singh,6,0,6,,,,,,,,,,,,,,,,,,,71
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,C Green,Mohsin Khan,RK Singh,2,0,2,,,,,,,,,,,,,,,,,,,73
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,C Green,Mohsin Khan,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,73
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,C Green,Mohsin Khan,RK Singh,0,0,0,,,,,,,,,,C Green,caught,,,,,RR Pant,,,73
Kolkata Knight Riders,,,10,0.1,5.6,mandatory,AS Roy,Mohsin Khan,RK Singh,0,0,0,,,,,,,,,,AS Roy,caught,,,,,A Badoni,,,73
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,RK Singh,AK Markram,Ramandeep Singh,0,0,0,,,,,,,,,,,,Himmat Singh,Mohsin Khan,Lucknow Super Giants,impact_player,,,,73
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,RK Singh,AK Markram,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,74
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,Ramandeep Singh,AK Markram,RK Singh,2,0,2,,,,,,,,,,,,,,,,,,,76
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,Ramandeep Singh,AK Markram,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,77
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,RK Singh,AK Markram,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,77
Kolkata Knight Riders,,,11,0.1,5.6,mandatory,RK Singh,AK Markram,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,77
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,Ramandeep Singh,Prince Yadav,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,78
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,RK Singh,Prince Yadav,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,78
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,RK Singh,Prince Yadav,Ramandeep Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,,79
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,RK Singh,Prince Yadav,Ramandeep Singh,0,1,1,1.0,,,,,,,,,,,,,,,,,,80
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,RK Singh,Prince Yadav,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,Ramandeep Singh,Prince Yadav,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,Ramandeep Singh,Prince Yadav,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,12,0.1,5.6,mandatory,Ramandeep Singh,Prince Yadav,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,RK Singh,DS Rathi,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,RK Singh,DS Rathi,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,81
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,RK Singh,DS Rathi,Ramandeep Singh,4,0,4,,,,,,,,,,,,,,,,,,,85
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,RK Singh,DS Rathi,Ramandeep Singh,4,0,4,,,,,,,,,,,,,,,,,,,89
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,RK Singh,DS Rathi,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,90
Kolkata Knight Riders,,,13,0.1,5.6,mandatory,Ramandeep Singh,DS Rathi,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,91
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,Ramandeep Singh,GF Linde,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,91
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,Ramandeep Singh,GF Linde,RK Singh,1,0,1,,,,,,,,,,,,,,,,,,,92
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,RK Singh,GF Linde,Ramandeep Singh,0,0,0,,,,,,,,,,,,,,,,,,,92
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,RK Singh,GF Linde,Ramandeep Singh,1,0,1,,,,,,,,,,,,,,,,,,,93
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,Ramandeep Singh,GF Linde,RK Singh,0,0,0,,,,,,,,,,,,,,,,,,,93
Kolkata Knight Riders,,,14,0.1,5.6,mandatory,Ramandeep Singh,GF Linde,RK Singh,0,0,0,,,,,,,,,,Ramandeep Singh,caught,,,,,MR Marsh,,,93
Kolkata Knight Riders,,,15,0.1,5.6,mandatory,RK Singh,Prince Yadav,SP Narine,4,0,4,,,,,,,,,,,,,,,,,,,97
