team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Delhi Capitals,0,1,0.1,5.6,mandatory,SU Parakh,B Kumar,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,0
Delhi Capitals,0,2,0.1,5.6,mandatory,SU Parakh,B Kumar,KL Rahul,0,0,0,,,,,,,,SU Parakh,bowled,,,,,,,,0
Delhi Capitals,0,3,0.1,5.6,mandatory,N Rana,B Kumar,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,1
Delhi Capitals,0,4,0.1,5.6,mandatory,KL Rahul,B Kumar,N Rana,0,0,0,,,,,,,,,,,,,,,,,1
Delhi Capitals,0,5,0.1,5.6,mandatory,KL Rahul,B Kumar,N Rana,1,0,1,,,,,,,,,,,,,,,,,2
Delhi Capitals,0,6,0.1,5.6,mandatory,N Rana,B Kumar,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,2
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,JR Hazlewood,N Rana,0,0,0,,,,,,,,KL Rahul,caught,,,,,JM Sharma,,,2
Delhi Capitals,1,2,0.1,5.6,mandatory,Sameer Rizvi,JR Hazlewood,N Rana,0,0,0,,,,,,,,Sameer Rizvi,caught,,,,,JM Sharma,,,2
Delhi Capitals,1,3,0.1,5.6,mandatory,T Stubbs,JR Hazlewood,N Rana,4,0,4,,,,,,,,,,,,,,,,,6
Delhi Capitals,1,4,0.1,5.6,mandatory,T Stubbs,JR Hazlewood,N Rana,1,0,1,,,,,,,,,,,,,,,,,7
Delhi Capitals,1,5,0.1,5.6,mandatory,N Rana,JR Hazlewood,T Stubbs,0,0,0,,,,,,,,,,,,,,,,,7
Delhi Capitals,1,6,0.1,5.6,mandatory,N Rana,JR Hazlewood,T Stubbs,0,0,0,,,,,,,,,,,,,,,,,7
Delhi Capitals,2,1,0.1,5.6,mandatory,T Stubbs,B Kumar,N Rana,0,0,0,,,,,,,,T Stubbs,caught,,,,,D Padikkal,,,7
Delhi Capitals,2,2,0.1,5.6,mandatory,AR Patel,B Kumar,N Rana,0,0,0,,,,,,,,,,,,,,,,,7
Delhi Capitals,2,3,0.1,5.6,mandatory,AR Patel,B Kumar,N Rana,0,0,0,Royal Challengers Bengaluru,AK Argal,AR Patel,struck down,wicket,,,,,,,,,,,,7
Delhi Capitals,2,4,0.1,5.6,mandatory,AR Patel,B Kumar,N Rana,0,0,0,,,,,,,,AR Patel,caught,,,,,JM Sharma,,,7
Delhi Capitals,2,5,0.1,5.6,mandatory,Abishek Porel,B Kumar,N Rana,0,0,0,,,,,,,,,,Abishek Porel,SU Parakh,Delhi Capitals,impact_player,,,,7
Delhi Capitals,2,6,0.1,5.6,mandatory,Abishek Porel,B Kumar,N Rana,0,1,1,,,,,,1.0,,,,,,,,,,,8
Delhi Capitals,2,7,0.1,5.6,mandatory,Abishek Porel,B Kumar,N Rana,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,3,1,0.1,5.6,mandatory,N Rana,JR Hazlewood,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,3,2,0.1,5.6,mandatory,N Rana,JR Hazlewood,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,3,3,0.1,5.6,mandatory,N Rana,JR Hazlewood,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,3,4,0.1,5.6,mandatory,N Rana,JR Hazlewood,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,3,5,0.1,5.6,mandatory,N Rana,JR Hazlewood,Abishek Porel,0,0,0,,,,,,,,N Rana,caught,,,,,D Padikkal,,,8
