team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,0,1,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,0
Punjab Kings,0,2,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,4
Punjab Kings,0,3,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,0,4,4,4.0,,,,,,,,,,,,,,,,,,8
Punjab Kings,0,4,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,8
Punjab Kings,0,5,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,8
Punjab Kings,0,6,0.1,5.6,mandatory,P Simran Singh,JC Archer,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,8
Punjab Kings,1,1,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,2,0,2,,,,,,,,,,,,,,,,,,,10
Punjab Kings,1,2,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,14
Punjab Kings,1,3,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,20
Punjab Kings,1,4,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,24
Punjab Kings,1,5,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,28
Punjab Kings,1,6,0.1,5.6,mandatory,Priyansh Arya,N Burger,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,29
Punjab Kings,2,1,0.1,5.6,mandatory,Priyansh Arya,JC Archer,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,33
Punjab Kings,2,2,0.1,5.6,mandatory,Priyansh Arya,JC Archer,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,33
Punjab Kings,2,3,0.1,5.6,mandatory,Priyansh Arya,JC Archer,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,33
Punjab Kings,2,4,0.1,5.6,mandatory,Priyansh Arya,JC Archer,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,37
Punjab Kings,2,5,0.1,5.6,mandatory,Priyansh Arya,JC Archer,P Simran Singh,0,0,0,,,,,,,,,,Priyansh Arya,caught,,,,,N Burger,,,37
Punjab Kings,2,6,0.1,5.6,mandatory,C Connolly,JC Archer,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,37
Punjab Kings,3,1,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,37
Punjab Kings,3,2,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,2,0,2,,,,,,,,,,,,,,,,,,,39
Punjab Kings,3,3,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,39
Punjab Kings,3,4,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,4,0,4,,,,,,,,,,,,,,,,,,,43
Punjab Kings,3,5,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,4,0,4,,,,,,,,,,,,,,,,,,,47
Punjab Kings,3,6,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,48
Punjab Kings,4,1,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,48
Punjab Kings,4,2,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,49
Punjab Kings,4,3,0.1,5.6,mandatory,C Connolly,Brijesh Sharma,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,49
Punjab Kings,4,4,0.1,5.6,mandatory,C Connolly,Brijesh Sharma,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,49
Punjab Kings,4,5,0.1,5.6,mandatory,C Connolly,Brijesh Sharma,P Simran Singh,0,1,1,,1.0,,,,,,,,,,,,,,,,,50
Punjab Kings,4,6,0.1,5.6,mandatory,C Connolly,Brijesh Sharma,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,51
Punjab Kings,4,7,0.1,5.6,mandatory,P Simran Singh,Brijesh Sharma,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,52
Punjab Kings,5,1,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,6,0,6,,,,,,,,,,,,,,,,,,,58
Punjab Kings,5,2,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,59
Punjab Kings,5,3,0.1,5.6,mandatory,C Connolly,N Burger,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,60
Punjab Kings,5,4,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,60
Punjab Kings,5,5,0.1,5.6,mandatory,P Simran Singh,N Burger,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,61
Punjab Kings,5,6,0.1,5.6,mandatory,C Connolly,N Burger,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,65
Punjab Kings,6,1,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,66
Punjab Kings,6,2,0.1,5.6,mandatory,C Connolly,Yash Raj Punja,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,72
Punjab Kings,6,3,0.1,5.6,mandatory,C Connolly,Yash Raj Punja,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,78
Punjab Kings,6,4,0.1,5.6,mandatory,C Connolly,Yash Raj Punja,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,79
Punjab Kings,6,5,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,80
Punjab Kings,6,6,0.1,5.6,mandatory,C Connolly,Yash Raj Punja,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,80
Punjab Kings,7,1,0.1,5.6,mandatory,P Simran Singh,RA Jadeja,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,81
Punjab Kings,7,2,0.1,5.6,mandatory,C Connolly,RA Jadeja,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,82
Punjab Kings,7,3,0.1,5.6,mandatory,P Simran Singh,RA Jadeja,C Connolly,2,0,2,,,,,,,,,,,,,,,,,,,84
Punjab Kings,7,4,0.1,5.6,mandatory,P Simran Singh,RA Jadeja,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,85
Punjab Kings,7,5,0.1,5.6,mandatory,C Connolly,RA Jadeja,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,91
Punjab Kings,7,6,0.1,5.6,mandatory,C Connolly,RA Jadeja,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,95
Punjab Kings,8,1,0.1,5.6,mandatory,P Simran Singh,Yash Raj Punja,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,96
Punjab Kings,8,2,0.1,5.6,mandatory,C Connolly,Yash Raj Punja,P Simran Singh,0,0,0,,,,,,,,,,C Connolly,caught,,,,,D Ferreira,,,96
Punjab Kings,8,3,0.1,5.6,mandatory,SS Iyer,Yash Raj Punja,P Simran Singh,0,0,0,,,Rajasthan Royals,Nitin Menon,SS Iyer,struck down,wicket,,,,,,,,,,,,96
