team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,2,0.1,5.6,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,3,0.1,5.6,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,YBK Jaiswal,caught and bowled,,,,,,,,6
Rajasthan Royals,0,4,0.1,5.6,mandatory,Dhruv Jurel,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,5,0.1,5.6,mandatory,Dhruv Jurel,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,6
Rajasthan Royals,0,6,0.1,5.6,mandatory,Dhruv Jurel,MA Starc,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,7
Rajasthan Royals,1,1,0.1,5.6,mandatory,Dhruv Jurel,KA Jamieson,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,7
Rajasthan Royals,1,2,0.1,5.6,mandatory,Dhruv Jurel,KA Jamieson,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,7
Rajasthan Royals,1,3,0.1,5.6,mandatory,Dhruv Jurel,KA Jamieson,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,8
Rajasthan Royals,1,4,0.1,5.6,mandatory,V Suryavanshi,KA Jamieson,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,,12
