team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,byes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,WG Jacks,Mukesh Choudhary,RD Rickelton,0,0,0,,,,,,,,,,,,,,0
Mumbai Indians,0,2,0.1,5.6,mandatory,WG Jacks,Mukesh Choudhary,RD Rickelton,0,0,0,,,,,,,,,,,,,,0
Mumbai Indians,0,3,0.1,5.6,mandatory,WG Jacks,Mukesh Choudhary,RD Rickelton,1,0,1,,,,,,,,,,,,,,1
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,WG Jacks,0,0,0,,,,,,,,,,,,,,1
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,WG Jacks,0,0,0,,,,,,,,,,,,,,1
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,WG Jacks,0,0,0,,,,,,,,,,,,,,1
Mumbai Indians,1,1,0.1,5.6,mandatory,WG Jacks,A Kamboj,RD Rickelton,0,0,0,,,,,,,,,,,,,,1
Mumbai Indians,1,2,0.1,5.6,mandatory,WG Jacks,A Kamboj,RD Rickelton,0,0,0,,,,WG Jacks,caught,,,,,RS Ghosh,,,,1
Mumbai Indians,1,3,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,0,0,0,,,,,,,,,,,,,,1
Mumbai Indians,1,4,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,4,0,4,,,,,,,,,,,,,,5
Mumbai Indians,1,5,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,0,0,0,,,,,,,,,,,,,,5
Mumbai Indians,1,6,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,0,0,0,,,,,,,,,,,,,,5
Mumbai Indians,2,1,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,0,0,0,,,,,,,,,,,,,,5
Mumbai Indians,2,2,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,6,0,6,,,,,,,,,,,,,,11
Mumbai Indians,2,3,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,6,0,6,,,,,,,,,,,,,,17
Mumbai Indians,2,4,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,0,0,0,,,,,,,,,,,,,,17
Mumbai Indians,2,5,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,1,0,1,,,,,,,,,,,,,,18
Mumbai Indians,2,6,0.1,5.6,mandatory,Naman Dhir,Mukesh Choudhary,RD Rickelton,2,0,2,,,,,,,,,,,,,,20
Mumbai Indians,3,1,0.1,5.6,mandatory,RD Rickelton,A Kamboj,Naman Dhir,1,0,1,,,,,,,,,,,,,,21
Mumbai Indians,3,2,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,6,0,6,,,,,,,,,,,,,,27
Mumbai Indians,3,3,0.1,5.6,mandatory,Naman Dhir,A Kamboj,RD Rickelton,1,0,1,,,,,,,,,,,,,,28
Mumbai Indians,3,4,0.1,5.6,mandatory,RD Rickelton,A Kamboj,Naman Dhir,0,0,0,,,,,,,,,,,,,,28
Mumbai Indians,3,5,0.1,5.6,mandatory,RD Rickelton,A Kamboj,Naman Dhir,0,0,0,,,,,,,,,,,,,,28
Mumbai Indians,3,6,0.1,5.6,mandatory,RD Rickelton,A Kamboj,Naman Dhir,1,0,1,,,,,,,,,,,,,,29
Mumbai Indians,4,1,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,0,0,0,,,,,,,,,,,,,,29
Mumbai Indians,4,2,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,0,0,0,,,,,,,,,,,,,,29
Mumbai Indians,4,3,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,6,0,6,,,,,,,,,,,,,,35
Mumbai Indians,4,4,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,0,0,0,,,,,,,,,,,,,,35
Mumbai Indians,4,5,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,6,0,6,,,,,,,,,,,,,,41
Mumbai Indians,4,6,0.1,5.6,mandatory,RD Rickelton,PR Veer,Naman Dhir,6,0,6,,,,,,,,,,,,,,47
Mumbai Indians,5,1,0.1,5.6,mandatory,Naman Dhir,Mukesh Choudhary,RD Rickelton,0,0,0,,,,,,,,,,,,,,47
Mumbai Indians,5,2,0.1,5.6,mandatory,Naman Dhir,Mukesh Choudhary,RD Rickelton,6,0,6,,,,,,,,,,,,,,53
Mumbai Indians,5,3,0.1,5.6,mandatory,Naman Dhir,Mukesh Choudhary,RD Rickelton,0,1,1,1.0,,,,,,,,,,,,,54
Mumbai Indians,5,4,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,2,0,2,,,,,,,,,,,,,,56
Mumbai Indians,5,5,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,0,0,0,,,,,,,,,,,,,,56
Mumbai Indians,5,6,0.1,5.6,mandatory,RD Rickelton,Mukesh Choudhary,Naman Dhir,1,0,1,,,,,,,,,,,,,,57
Mumbai Indians,6,1,0.1,5.6,mandatory,RD Rickelton,Noor Ahmad,Naman Dhir,1,0,1,,,,,,,,,,,,,,58
Mumbai Indians,6,2,0.1,5.6,mandatory,Naman Dhir,Noor Ahmad,RD Rickelton,1,0,1,,,,,,,,,,,,,,59
