team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,1,0,1,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,6,0,6,,,,,,,,,,,,,,,,,,8
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,0,0,0,,,,,,,,,,,,,,,,,,8
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,1,0,1,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,Abhishek Sharma,VG Arora,TM Head,1,0,1,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,14
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,TM Head,VG Arora,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,14
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,18
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,22
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,TM Head,VG Arora,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,26
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,Abhishek Sharma,SP Narine,TM Head,1,0,1,,,,,,,,,,,,,,,,,,27
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,27
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,27
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,,,,,33
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,37
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,TM Head,SP Narine,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,37
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,Abhishek Sharma,Kartik Tyagi,TM Head,4,0,4,,,,,,,,,,,,,,,,,,41
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,Abhishek Sharma,Kartik Tyagi,TM Head,1,0,1,,,,,,,,,,,,,,,,,,42
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,TM Head,Kartik Tyagi,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,44
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,Abhishek Sharma,Kartik Tyagi,TM Head,0,0,0,,,,,,,,,Abhishek Sharma,caught,,,,,C Green,,,44
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,Ishan Kishan,Kartik Tyagi,TM Head,0,0,0,,,,,,,,,,,,,,,,,,44
Sunrisers Hyderabad,3,7,0.1,5.6,mandatory,Ishan Kishan,Kartik Tyagi,TM Head,1,0,1,,,,,,,,,,,,,,,,,,45
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,Ishan Kishan,C Green,TM Head,0,0,0,,,,,,,,,,,,,,,,,,45
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,Ishan Kishan,C Green,TM Head,1,0,1,,,,,,,,,,,,,,,,,,46
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,TM Head,C Green,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,50
Sunrisers Hyderabad,4,4,0.1,5.6,mandatory,TM Head,C Green,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,54
Sunrisers Hyderabad,4,5,0.1,5.6,mandatory,TM Head,C Green,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,58
Sunrisers Hyderabad,4,6,0.1,5.6,mandatory,TM Head,C Green,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,59
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,TM Head,Kartik Tyagi,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,59
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,TM Head,Kartik Tyagi,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,60
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,Ishan Kishan,Kartik Tyagi,TM Head,6,0,6,,,,,,,,,,,,,,,,,,66
