team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,Mohammed Siraj,P Simran Singh,2,0,2,,,,,,,,,,,,,,,,,2
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,Priyansh Arya,caught,,,,,N Sindhu,,,2
Punjab Kings,0,3,0.1,5.6,mandatory,C Connolly,Mohammed Siraj,P Simran Singh,0,0,0,Punjab Kings,KN Ananthapadmanabhan,C Connolly,struck down,wicket,,,C Connolly,caught,,,,,JC Buttler,,,2
Punjab Kings,0,4,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,2
Punjab Kings,0,5,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,6
Punjab Kings,0,6,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,6
Punjab Kings,1,1,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,4,0,4,,,,,,,,,,,,,,,,,10
Punjab Kings,1,2,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,4,0,4,,,,,,,,,,,,,,,,,14
Punjab Kings,1,3,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,2,0,2,,,,,,,,,,,,,,,,,16
Punjab Kings,1,4,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,16
Punjab Kings,1,5,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,1,1,,,,,,1.0,,,,,,,,,,,17
Punjab Kings,1,6,0.1,5.6,mandatory,SS Iyer,K Rabada,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,17
Punjab Kings,2,1,0.1,5.6,mandatory,P Simran Singh,Mohammed Siraj,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,17
Punjab Kings,2,2,0.1,5.6,mandatory,P Simran Singh,Mohammed Siraj,SS Iyer,2,0,2,,,,,,,,,,,,,,,,,19
Punjab Kings,2,3,0.1,5.6,mandatory,P Simran Singh,Mohammed Siraj,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,20
Punjab Kings,2,4,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,21
Punjab Kings,2,5,0.1,5.6,mandatory,P Simran Singh,Mohammed Siraj,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,22
Punjab Kings,2,6,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,23
Punjab Kings,3,1,0.1,5.6,mandatory,SS Iyer,K Rabada,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,23
Punjab Kings,3,2,0.1,5.6,mandatory,SS Iyer,K Rabada,P Simran Singh,0,2,2,,,,,,,2.0,,,,,,,,,,25
Punjab Kings,3,3,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,25
Punjab Kings,3,4,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,25
Punjab Kings,3,5,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,26
Punjab Kings,3,6,0.1,5.6,mandatory,SS Iyer,K Rabada,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,26
Punjab Kings,3,7,0.1,5.6,mandatory,SS Iyer,K Rabada,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,27
Punjab Kings,4,1,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,27
Punjab Kings,4,2,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,31
Punjab Kings,4,3,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,31
Punjab Kings,4,4,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,31
Punjab Kings,4,5,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,31
Punjab Kings,4,6,0.1,5.6,mandatory,SS Iyer,Mohammed Siraj,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,35
Punjab Kings,5,1,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,35
Punjab Kings,5,2,0.1,5.6,mandatory,P Simran Singh,K Rabada,SS Iyer,0,0,0,,,,,,,,P Simran Singh,caught,,,,,MJ Suthar,,,35
Punjab Kings,5,3,0.1,5.6,mandatory,N Wadhera,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,35
Punjab Kings,5,4,0.1,5.6,mandatory,N Wadhera,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,35
Punjab Kings,5,5,0.1,5.6,mandatory,N Wadhera,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,35
Punjab Kings,5,6,0.1,5.6,mandatory,N Wadhera,K Rabada,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,35
Punjab Kings,6,1,0.1,5.6,mandatory,SS Iyer,JO Holder,N Wadhera,1,0,1,,,,,,,,,,,,,,,,,36
Punjab Kings,6,2,0.1,5.6,mandatory,N Wadhera,JO Holder,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,36
Punjab Kings,6,3,0.1,5.6,mandatory,N Wadhera,JO Holder,SS Iyer,0,0,0,,,,,,,,N Wadhera,caught,,,,,JC Buttler,,,36
Punjab Kings,6,4,0.1,5.6,mandatory,Suryansh Shedge,JO Holder,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,37
Punjab Kings,6,5,0.1,5.6,mandatory,SS Iyer,JO Holder,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,38
Punjab Kings,6,6,0.1,5.6,mandatory,Suryansh Shedge,JO Holder,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,39
Punjab Kings,7,1,0.1,5.6,mandatory,Suryansh Shedge,Arshad Khan,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,39
Punjab Kings,7,2,0.1,5.6,mandatory,Suryansh Shedge,Arshad Khan,SS Iyer,4,0,4,,,,,,,,,,,,,,,,,43
Punjab Kings,7,3,0.1,5.6,mandatory,Suryansh Shedge,Arshad Khan,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,44
Punjab Kings,7,4,0.1,5.6,mandatory,SS Iyer,Arshad Khan,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,45
Punjab Kings,7,5,0.1,5.6,mandatory,Suryansh Shedge,Arshad Khan,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,45
Punjab Kings,7,6,0.1,5.6,mandatory,Suryansh Shedge,Arshad Khan,SS Iyer,0,0,0,,,,,,,,,,,,,,,,,45
Punjab Kings,8,1,0.1,5.6,mandatory,SS Iyer,JO Holder,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,45
Punjab Kings,8,2,0.1,5.6,mandatory,SS Iyer,JO Holder,Suryansh Shedge,1,0,1,,,,,,,,,,,,,,,,,46
Punjab Kings,8,3,0.1,5.6,mandatory,Suryansh Shedge,JO Holder,SS Iyer,1,0,1,,,,,,,,,,,,,,,,,47
Punjab Kings,8,4,0.1,5.6,mandatory,SS Iyer,JO Holder,Suryansh Shedge,0,0,0,,,,,,,,SS Iyer,bowled,,,,,,,,47
Punjab Kings,8,5,0.1,5.6,mandatory,MP Stoinis,JO Holder,Suryansh Shedge,0,0,0,Gujarat Titans,KN Ananthapadmanabhan,MP Stoinis,struck down,wicket,,,,,,,,,,,,47
Punjab Kings,8,6,0.1,5.6,mandatory,MP Stoinis,JO Holder,Suryansh Shedge,0,0,0,,,,,,,,,,,,,,,,,47
