team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Delhi Capitals,0,1,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,4
Delhi Capitals,0,2,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,4
Delhi Capitals,0,3,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,4
Delhi Capitals,0,4,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,4
Delhi Capitals,0,5,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,8
Delhi Capitals,0,6,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,Mukesh Choudhary,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,8
Delhi Capitals,1,2,0.1,5.6,mandatory,KL Rahul,Mukesh Choudhary,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,12
Delhi Capitals,1,3,0.1,5.6,mandatory,KL Rahul,Mukesh Choudhary,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,12
Delhi Capitals,1,4,0.1,5.6,mandatory,KL Rahul,Mukesh Choudhary,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,13
Delhi Capitals,1,5,0.1,5.6,mandatory,P Nissanka,Mukesh Choudhary,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,13
Delhi Capitals,1,6,0.1,5.6,mandatory,P Nissanka,Mukesh Choudhary,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,13
Delhi Capitals,2,1,0.1,5.6,mandatory,KL Rahul,AJ Hosein,P Nissanka,1,0,1,,,,,,,,,,,,,,,,,14
Delhi Capitals,2,2,0.1,5.6,mandatory,P Nissanka,AJ Hosein,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,15
Delhi Capitals,2,3,0.1,5.6,mandatory,KL Rahul,AJ Hosein,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,15
Delhi Capitals,2,4,0.1,5.6,mandatory,KL Rahul,AJ Hosein,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,15
Delhi Capitals,2,5,0.1,5.6,mandatory,KL Rahul,AJ Hosein,P Nissanka,0,0,0,,,,,,,,,,,,,,,,,15
Delhi Capitals,2,6,0.1,5.6,mandatory,KL Rahul,AJ Hosein,P Nissanka,4,0,4,,,,,,,,,,,,,,,,,19
