team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,legbyes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,0,0,0,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,6,0,6,,,,,,,,,,,,,,6
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,0,0,0,,,,,,,,,,,,,,6
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,1,0,1,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,0,1,1,1.0,,,,,,,,,,,,,8
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,9
Sunrisers Hyderabad,0,7,0.1,5.6,mandatory,Abhishek Sharma,Arshdeep Singh,TM Head,2,0,2,,,,,,,,,,,,,,11
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,TM Head,M Jansen,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,12
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,Abhishek Sharma,M Jansen,TM Head,6,0,6,,,,,,,,,,,,,,18
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,Abhishek Sharma,M Jansen,TM Head,4,0,4,,,,,,,,,,,,,,22
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,Abhishek Sharma,M Jansen,TM Head,6,0,6,,,,,,,,,,,,,,28
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,Abhishek Sharma,M Jansen,TM Head,0,0,0,,,,,,,,,,,,,,28
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,Abhishek Sharma,M Jansen,TM Head,4,0,4,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,38
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,6,0,6,,,,,,,,,,,,,,44
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,44
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,TM Head,Arshdeep Singh,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,48
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,Abhishek Sharma,LH Ferguson,TM Head,0,0,0,,,,,,,,,,,,,,48
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,Abhishek Sharma,LH Ferguson,TM Head,6,0,6,,,,,,,,,,,,,,54
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,Abhishek Sharma,LH Ferguson,TM Head,0,0,0,,,,,Abhishek Sharma,caught,,,,,SS Iyer,,,54
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,0,0,0,,,,,,,,,,,,,,54
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,0,0,0,,,,,,,,,,,,,,54
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,0,0,0,,,,,,,,,,,,,,54
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,0,0,0,,,,,,,,,,,,,,54
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,55
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,4,0,4,,,,,,,,,,,,,,59
Sunrisers Hyderabad,4,4,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,4,0,4,,,,,,,,,,,,,,63
Sunrisers Hyderabad,4,5,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,1,0,1,,,,,,,,,,,,,,64
Sunrisers Hyderabad,4,6,0.1,5.6,mandatory,Ishan Kishan,M Jansen,TM Head,1,0,1,,,,,,,,,,,,,,65
Sunrisers Hyderabad,4,7,0.1,5.6,mandatory,TM Head,M Jansen,Ishan Kishan,0,0,0,,,,,,,,,,,,,,65
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,1,0,1,,,,,,,,,,,,,,66
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,TM Head,LH Ferguson,Ishan Kishan,6,0,6,,,,,,,,,,,,,,72
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,TM Head,LH Ferguson,Ishan Kishan,1,0,1,,,,,,,,,,,,,,73
Sunrisers Hyderabad,5,4,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,4,0,4,,,,,,,,,,,,,,77
Sunrisers Hyderabad,5,5,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,TM Head,1,0,1,,,,,,,,,,,,,,78
Sunrisers Hyderabad,5,6,0.1,5.6,mandatory,TM Head,LH Ferguson,Ishan Kishan,1,0,1,,,,,,,,,,,,,,79
Sunrisers Hyderabad,6,1,0.1,5.6,mandatory,TM Head,YS Chahal,Ishan Kishan,2,0,2,,,,,,,,,,,,,,81
Sunrisers Hyderabad,6,2,0.1,5.6,mandatory,TM Head,YS Chahal,Ishan Kishan,1,0,1,,,,,,,,,,,,,,82
Sunrisers Hyderabad,6,3,0.1,5.6,mandatory,Ishan Kishan,YS Chahal,TM Head,1,0,1,,,,,,,,,,,,,,83
Sunrisers Hyderabad,6,4,0.1,5.6,mandatory,TM Head,YS Chahal,Ishan Kishan,0,1,1,1.0,,,,,,,,,,,,,84
Sunrisers Hyderabad,6,5,0.1,5.6,mandatory,TM Head,YS Chahal,Ishan Kishan,0,0,0,,,,,TM Head,caught,,,,,M Jansen,,,84
Sunrisers Hyderabad,6,6,0.1,5.6,mandatory,H Klaasen,YS Chahal,Ishan Kishan,1,0,1,,,,,,,,,,,,,,85
Sunrisers Hyderabad,6,7,0.1,5.6,mandatory,Ishan Kishan,YS Chahal,H Klaasen,1,0,1,,,,,,,,,,,,,,86
Sunrisers Hyderabad,7,1,0.1,5.6,mandatory,Ishan Kishan,LH Ferguson,H Klaasen,1,0,1,,,,,,,,,,,,,,87
Sunrisers Hyderabad,7,2,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Ishan Kishan,0,0,0,,,,,,,,,,,,,,87
Sunrisers Hyderabad,7,3,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Ishan Kishan,0,0,0,,,,,,,,,,,,,,87
Sunrisers Hyderabad,7,4,0.1,5.6,mandatory,H Klaasen,LH Ferguson,Ishan Kishan,1,0,1,,,,,,,,,,,,,,88
