team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Delhi Capitals,0,1,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,0,0,0,,,,,,,,,,,,,,,,0
Delhi Capitals,0,2,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,4,0,4,,,,,,,,,,,,,,,,4
Delhi Capitals,0,3,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,1,0,1,,,,,,,,,,,,,,,,5
Delhi Capitals,0,4,0.1,5.6,mandatory,KL Rahul,AS Roy,P Nissanka,0,0,0,,,,,,,,,,,,,,,,5
Delhi Capitals,0,5,0.1,5.6,mandatory,KL Rahul,AS Roy,P Nissanka,1,0,1,,,,,,,,,,,,,,,,6
Delhi Capitals,0,6,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,1,0,1,,,,,,,,,,,,,,,,7
Delhi Capitals,1,1,0.1,5.6,mandatory,P Nissanka,VG Arora,KL Rahul,0,0,0,,,,,,,,,,,,,,,,7
Delhi Capitals,1,2,0.1,5.6,mandatory,P Nissanka,VG Arora,KL Rahul,1,0,1,,,,,,,,,,,,,,,,8
Delhi Capitals,1,3,0.1,5.6,mandatory,KL Rahul,VG Arora,P Nissanka,1,0,1,,,,,,,,,,,,,,,,9
Delhi Capitals,1,4,0.1,5.6,mandatory,P Nissanka,VG Arora,KL Rahul,6,0,6,,,,,,,,,,,,,,,,15
Delhi Capitals,1,5,0.1,5.6,mandatory,P Nissanka,VG Arora,KL Rahul,1,0,1,,,,,,,,,,,,,,,,16
Delhi Capitals,1,6,0.1,5.6,mandatory,KL Rahul,VG Arora,P Nissanka,1,0,1,,,,,,,,,,,,,,,,17
Delhi Capitals,2,1,0.1,5.6,mandatory,KL Rahul,AS Roy,P Nissanka,0,0,0,,,,,,,,,,,,,,,,17
Delhi Capitals,2,2,0.1,5.6,mandatory,KL Rahul,AS Roy,P Nissanka,4,0,4,,,,,,,,,,,,,,,,21
Delhi Capitals,2,3,0.1,5.6,mandatory,KL Rahul,AS Roy,P Nissanka,1,0,1,,,,,,,,,,,,,,,,22
Delhi Capitals,2,4,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,0,0,0,,,,,,,,,,,,,,,,22
Delhi Capitals,2,5,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,0,0,0,,,,,,,,,,,,,,,,22
Delhi Capitals,2,6,0.1,5.6,mandatory,P Nissanka,AS Roy,KL Rahul,6,0,6,,,,,,,,,,,,,,,,28
Delhi Capitals,3,1,0.1,5.6,mandatory,KL Rahul,SP Narine,P Nissanka,1,0,1,,,,,,,,,,,,,,,,29
Delhi Capitals,3,2,0.1,5.6,mandatory,P Nissanka,SP Narine,KL Rahul,4,0,4,,,,,,,,,,,,,,,,33
Delhi Capitals,3,3,0.1,5.6,mandatory,P Nissanka,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,33
Delhi Capitals,3,4,0.1,5.6,mandatory,P Nissanka,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,34
