team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,byes,legbyes,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,0,1,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,4
Gujarat Titans,0,2,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,3,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,4,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,1,1,2,,1.0,,,,,,,,,,,,,,,,,,7
Gujarat Titans,0,5,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,5,5,5.0,,,,,,,,,,,,,,,,,,,12
Gujarat Titans,0,6,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,,,13
Gujarat Titans,0,7,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,,,,,,,,,14
Gujarat Titans,0,8,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,14
Gujarat Titans,0,9,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,15
Gujarat Titans,0,10,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,2,0,2,,,,,,,,,,,,,,,,,,,,17
Gujarat Titans,0,11,0.1,5.6,mandatory,B Sai Sudharsan,JC Archer,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,18
Gujarat Titans,1,1,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,18
Gujarat Titans,1,2,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,19
Gujarat Titans,1,3,0.1,5.6,mandatory,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,20
Gujarat Titans,1,4,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,21
Gujarat Titans,1,5,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,25
Gujarat Titans,1,6,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,25
Gujarat Titans,1,7,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,26
Gujarat Titans,2,1,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,26
Gujarat Titans,2,2,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,1,1,1.0,,,,,,,,,,,,,,,,,,,27
Gujarat Titans,2,3,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,27
Gujarat Titans,2,4,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,31
Gujarat Titans,2,5,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,31
Gujarat Titans,2,6,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,37
Gujarat Titans,2,7,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,37
Gujarat Titans,3,1,0.1,5.6,mandatory,Shubman Gill,TU Deshpande,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,41
Gujarat Titans,3,2,0.1,5.6,mandatory,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,42
Gujarat Titans,3,3,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,,,Rajasthan Royals,HAS Khalid,B Sai Sudharsan,struck down,wicket,,,,,,,,,,,,,42
Gujarat Titans,3,4,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,,,42
Gujarat Titans,3,5,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,6,0,6,,,,,,,,,,,,,,,,,,,,48
Gujarat Titans,3,6,0.1,5.6,mandatory,B Sai Sudharsan,TU Deshpande,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,52
Gujarat Titans,4,1,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,56
Gujarat Titans,4,2,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,56
Gujarat Titans,4,3,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,6,0,6,,,,,,,,,,,,,,,,,,,,62
Gujarat Titans,4,4,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,,,62
Gujarat Titans,4,5,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,66
Gujarat Titans,4,6,0.1,5.6,mandatory,Shubman Gill,JC Archer,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,67
Gujarat Titans,5,1,0.1,5.6,mandatory,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,71
Gujarat Titans,5,2,0.1,5.6,mandatory,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,72
Gujarat Titans,5,3,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,,,76
Gujarat Titans,5,4,0.1,5.6,mandatory,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,77
Gujarat Titans,5,5,0.1,5.6,mandatory,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,81
Gujarat Titans,5,6,0.1,5.6,mandatory,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,82
Gujarat Titans,6,1,0.1,5.6,mandatory,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,83
Gujarat Titans,6,2,0.1,5.6,mandatory,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,0,1,1,,,,,,,,1.0,,,,,,,,,,,,84
Gujarat Titans,6,3,0.1,5.6,mandatory,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,,,85
Gujarat Titans,6,4,0.1,5.6,mandatory,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,,,86
Gujarat Titans,6,5,0.1,5.6,mandatory,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,,,90
