team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.8,mandatory,JP Inglis,AJ Hosein,MR Marsh,1,0,1,,,,,,,,,,,,,,,,,,,,1
Lucknow Super Giants,0,2,0.1,5.8,mandatory,MR Marsh,AJ Hosein,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,1
Lucknow Super Giants,0,3,0.1,5.8,mandatory,MR Marsh,AJ Hosein,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,,,2
Lucknow Super Giants,0,4,0.1,5.8,mandatory,JP Inglis,AJ Hosein,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,,,8
Lucknow Super Giants,0,5,0.1,5.8,mandatory,JP Inglis,AJ Hosein,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,,,12
Lucknow Super Giants,0,6,0.1,5.8,mandatory,JP Inglis,AJ Hosein,MR Marsh,4,0,4,,,,,,,,,,,,,,,,,,,,16
Lucknow Super Giants,1,1,0.1,5.8,mandatory,MR Marsh,Mukesh Choudhary,JP Inglis,0,1,1,1.0,,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,2,0.1,5.8,mandatory,MR Marsh,Mukesh Choudhary,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,3,0.1,5.8,mandatory,MR Marsh,Mukesh Choudhary,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,4,0.1,5.8,mandatory,MR Marsh,Mukesh Choudhary,JP Inglis,0,0,0,,,,,,,,,,,,,,,,,,,,17
Lucknow Super Giants,1,5,0.1,5.8,mandatory,MR Marsh,Mukesh Choudhary,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,,,18
Lucknow Super Giants,1,6,0.1,5.8,mandatory,JP Inglis,Mukesh Choudhary,MR Marsh,6,0,6,,,,,,,,,,,,,,,,,,,,24
Lucknow Super Giants,1,7,0.1,5.8,mandatory,JP Inglis,Mukesh Choudhary,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,24
Lucknow Super Giants,2,1,0.1,5.8,mandatory,MR Marsh,A Kamboj,JP Inglis,6,0,6,,,,,,,,,,,,,,,,,,,,30
Lucknow Super Giants,2,2,0.1,5.8,mandatory,MR Marsh,A Kamboj,JP Inglis,1,0,1,,,,,,,,,,,,,,,,,,,,31
Lucknow Super Giants,2,3,0.1,5.8,mandatory,JP Inglis,A Kamboj,MR Marsh,0,0,0,,,,,,,,,,,,,,,,,,,,31
