team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,1
Mumbai Indians,0,2,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,2
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,3
Mumbai Indians,0,4,0.1,5.6,mandatory,RG Sharma,B Kumar,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,4
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,4
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,B Kumar,RG Sharma,0,0,0,,,,,,,,,RD Rickelton,caught,,,,,RM Patidar,,,4
Mumbai Indians,1,1,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,4
Mumbai Indians,1,2,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,4,0,4,,,,,,,,,,,,,,,,,,8
Mumbai Indians,1,3,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,0,2,2,2.0,,,,,,,,,,,,,,,,,10
Mumbai Indians,1,4,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,10
Mumbai Indians,1,5,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,6,0,6,,,,,,,,,,,,,,,,,,16
Mumbai Indians,1,6,0.1,5.6,mandatory,RG Sharma,JR Hazlewood,Naman Dhir,6,0,6,,,,,,,,,,,,,,,,,,22
Mumbai Indians,2,1,0.1,5.6,mandatory,Naman Dhir,B Kumar,RG Sharma,0,1,1,,1.0,,,,,,,,,,,,,,,,23
Mumbai Indians,2,2,0.1,5.6,mandatory,Naman Dhir,B Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,23
Mumbai Indians,2,3,0.1,5.6,mandatory,Naman Dhir,B Kumar,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,23
Mumbai Indians,2,4,0.1,5.6,mandatory,Naman Dhir,B Kumar,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,24
Mumbai Indians,2,5,0.1,5.6,mandatory,RG Sharma,B Kumar,Naman Dhir,4,0,4,,,,,,,,,,,,,,,,,,28
Mumbai Indians,2,6,0.1,5.6,mandatory,RG Sharma,B Kumar,Naman Dhir,0,0,0,,,,,,,,,RG Sharma,caught,,,,,JM Sharma,,,28
Mumbai Indians,2,7,0.1,5.6,mandatory,SA Yadav,B Kumar,Naman Dhir,0,0,0,,,,,,,,,SA Yadav,caught,,,,,V Kohli,,,28
Mumbai Indians,3,1,0.1,5.6,mandatory,Naman Dhir,JR Hazlewood,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,28
Mumbai Indians,3,2,0.1,5.6,mandatory,Naman Dhir,JR Hazlewood,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,28
Mumbai Indians,3,3,0.1,5.6,mandatory,Naman Dhir,JR Hazlewood,Tilak Varma,0,1,1,1.0,,,,,,,,,,,,,,,,,29
Mumbai Indians,3,4,0.1,5.6,mandatory,Tilak Varma,JR Hazlewood,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,30
Mumbai Indians,3,5,0.1,5.6,mandatory,Naman Dhir,JR Hazlewood,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,34
Mumbai Indians,3,6,0.1,5.6,mandatory,Naman Dhir,JR Hazlewood,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,34
Mumbai Indians,4,1,0.1,5.6,mandatory,Tilak Varma,B Kumar,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,34
Mumbai Indians,4,2,0.1,5.6,mandatory,Tilak Varma,B Kumar,Naman Dhir,0,0,0,,,,,,,,,,,,,,,,,,34
Mumbai Indians,4,3,0.1,5.6,mandatory,Tilak Varma,B Kumar,Naman Dhir,2,0,2,,,,,,,,,,,,,,,,,,36
Mumbai Indians,4,4,0.1,5.6,mandatory,Tilak Varma,B Kumar,Naman Dhir,1,0,1,,,,,,,,,,,,,,,,,,37
Mumbai Indians,4,5,0.1,5.6,mandatory,Naman Dhir,B Kumar,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,41
