team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,6,0,6,,,,,,,,,,,,,,6
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,0,0,0,,,,,,,,,,,,,,6
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,0,0,0,,,,,,,,,,,,,,6
Punjab Kings,0,4,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,0,5,5,5.0,,,,,,,,,,,,,11
Punjab Kings,0,5,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,6,0,6,,,,,,,,,,,,,,17
Punjab Kings,0,6,0.1,5.6,mandatory,Priyansh Arya,MA Starc,P Simran Singh,1,0,1,,,,,,,,,,,,,,18
Punjab Kings,0,7,0.1,5.6,mandatory,P Simran Singh,MA Starc,Priyansh Arya,4,0,4,,,,,,,,,,,,,,22
Punjab Kings,1,1,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,0,0,0,,,,,,,,,,,,,,22
Punjab Kings,1,2,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,6,0,6,,,,,,,,,,,,,,28
Punjab Kings,1,3,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,0,1,1,,1.0,,,,,,,,,,,,29
Punjab Kings,1,4,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,2,0,2,,,,,,,,,,,,,,31
Punjab Kings,1,5,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,1,0,1,,,,,,,,,,,,,,32
Punjab Kings,1,6,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,1,0,1,,,,,,,,,,,,,,33
Punjab Kings,1,7,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,1,0,1,,,,,,,,,,,,,,34
Punjab Kings,2,1,0.1,5.6,mandatory,Priyansh Arya,L Ngidi,P Simran Singh,6,0,6,,,,,,,,,,,,,,40
Punjab Kings,2,2,0.1,5.6,mandatory,Priyansh Arya,L Ngidi,P Simran Singh,6,0,6,,,,,,,,,,,,,,46
Punjab Kings,2,3,0.1,5.6,mandatory,Priyansh Arya,L Ngidi,P Simran Singh,0,0,0,,,,,,,,,,,,,,46
Punjab Kings,2,4,0.1,5.6,mandatory,Priyansh Arya,L Ngidi,P Simran Singh,4,0,4,,,,,,,,,,,,,,50
Punjab Kings,2,5,0.1,5.6,mandatory,Priyansh Arya,L Ngidi,P Simran Singh,1,0,1,,,,,,,,,,,,,,51
Punjab Kings,2,6,0.1,5.6,mandatory,P Simran Singh,L Ngidi,Priyansh Arya,0,0,0,,,,,,,,,,,,,,51
Punjab Kings,3,1,0.1,5.6,mandatory,Priyansh Arya,Auqib Nabi,P Simran Singh,1,0,1,,,,,,,,,,,,,,52
Punjab Kings,3,2,0.1,5.6,mandatory,P Simran Singh,Auqib Nabi,Priyansh Arya,4,1,5,,1.0,,,,,,,,,,,,57
