team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,legbyes,wides,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Kolkata Knight Riders,0,1,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,0,0,0,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,2,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,0,0,0,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,3,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,0,0,0,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,4,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,0,0,0,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,5,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,0,0,0,,,,,,,,,,,,,,,,,0
Kolkata Knight Riders,0,6,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,4,0,4,,,,,,,,,,,,,,,,,4
Kolkata Knight Riders,1,1,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,4
Kolkata Knight Riders,1,2,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,4
Kolkata Knight Riders,1,3,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,8
Kolkata Knight Riders,1,4,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,14
Kolkata Knight Riders,1,5,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,18
Kolkata Knight Riders,1,6,0.1,5.6,mandatory,FH Allen,JA Duffy,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,18
Kolkata Knight Riders,2,1,0.1,5.6,mandatory,AM Rahane,B Kumar,FH Allen,1,0,1,,,,,,,,,,,,,,,,,19
Kolkata Knight Riders,2,2,0.1,5.6,mandatory,FH Allen,B Kumar,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,23
Kolkata Knight Riders,2,3,0.1,5.6,mandatory,FH Allen,B Kumar,AM Rahane,0,0,0,,,,,,,,FH Allen,caught,,,,,JM Sharma,,,23
Kolkata Knight Riders,2,4,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,23
Kolkata Knight Riders,2,5,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,23
Kolkata Knight Riders,2,6,0.1,5.6,mandatory,A Raghuvanshi,B Kumar,AM Rahane,3,0,3,,,,,,,,,,,,,,,,,26
Kolkata Knight Riders,3,1,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,3,2,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,3,3,0.1,5.6,mandatory,A Raghuvanshi,JA Duffy,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,33
Kolkata Knight Riders,3,4,0.1,5.6,mandatory,AM Rahane,JA Duffy,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,33
Kolkata Knight Riders,3,5,0.1,5.6,mandatory,AM Rahane,JA Duffy,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,37
Kolkata Knight Riders,3,6,0.1,5.6,mandatory,AM Rahane,JA Duffy,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,43
