team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Punjab Kings,0,1,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,0
Punjab Kings,0,2,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,4
Punjab Kings,0,3,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,4
Punjab Kings,0,4,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,5
Punjab Kings,0,5,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,,,6
Punjab Kings,0,6,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,7
Punjab Kings,1,1,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,8
Punjab Kings,1,2,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,12
Punjab Kings,1,3,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,12
Punjab Kings,1,4,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,16
Punjab Kings,1,5,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,16
Punjab Kings,1,6,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,16
Punjab Kings,2,1,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,20
Punjab Kings,2,2,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,21
Punjab Kings,2,3,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,21
Punjab Kings,2,4,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,21
Punjab Kings,2,5,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,21
Punjab Kings,2,6,0.1,5.6,mandatory,P Simran Singh,DL Chahar,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,21
Punjab Kings,3,1,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,25
Punjab Kings,3,2,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,25
Punjab Kings,3,3,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,26
Punjab Kings,3,4,0.1,5.6,mandatory,P Simran Singh,JJ Bumrah,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,,,27
Punjab Kings,3,5,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,4,0,4,,,,,,,,,,,,,,,,,,,31
Punjab Kings,3,6,0.1,5.6,mandatory,Priyansh Arya,JJ Bumrah,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,31
Punjab Kings,4,1,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,1,0,1,,,,,,,,,,,,,,,,,,,32
Punjab Kings,4,2,0.1,5.6,mandatory,Priyansh Arya,SN Thakur,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,33
Punjab Kings,4,3,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,37
Punjab Kings,4,4,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,0,1,1,1.0,,,,,,,,,,,,,,,,,,38
Punjab Kings,4,5,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,42
Punjab Kings,4,6,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,0,0,0,,,,,,,,,,,,,,,,,,,42
Punjab Kings,4,7,0.1,5.6,mandatory,P Simran Singh,SN Thakur,Priyansh Arya,4,0,4,,,,,,,,,,,,,,,,,,,46
Punjab Kings,5,1,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,46
Punjab Kings,5,2,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,4,4,,4.0,,,,,,,,,,,,,,,,,50
Punjab Kings,5,3,0.1,5.6,mandatory,Priyansh Arya,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,Priyansh Arya,bowled,,,,,,,,50
Punjab Kings,5,4,0.1,5.6,mandatory,C Connolly,DL Chahar,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,50
Punjab Kings,5,5,0.1,5.6,mandatory,C Connolly,DL Chahar,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,51
Punjab Kings,5,6,0.1,5.6,mandatory,P Simran Singh,DL Chahar,C Connolly,4,0,4,,,,,,,,,,,,,,,,,,,55
Punjab Kings,6,1,0.1,5.6,mandatory,C Connolly,C Bosch,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,56
Punjab Kings,6,2,0.1,5.6,mandatory,P Simran Singh,C Bosch,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,57
Punjab Kings,6,3,0.1,5.6,mandatory,C Connolly,C Bosch,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,57
Punjab Kings,6,4,0.1,5.6,mandatory,C Connolly,C Bosch,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,58
Punjab Kings,6,5,0.1,5.6,mandatory,P Simran Singh,C Bosch,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,58
Punjab Kings,6,6,0.1,5.6,mandatory,P Simran Singh,C Bosch,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,58
Punjab Kings,7,1,0.1,5.6,mandatory,C Connolly,Raghu Sharma,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,58
Punjab Kings,7,2,0.1,5.6,mandatory,C Connolly,Raghu Sharma,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,59
Punjab Kings,7,3,0.1,5.6,mandatory,P Simran Singh,Raghu Sharma,C Connolly,1,0,1,,,,,,,,,,,,,,,,,,,60
Punjab Kings,7,4,0.1,5.6,mandatory,C Connolly,Raghu Sharma,P Simran Singh,6,0,6,,,,,,,,,,,,,,,,,,,66
Punjab Kings,7,5,0.1,5.6,mandatory,C Connolly,Raghu Sharma,P Simran Singh,1,0,1,,,,,,,,,,,,,,,,,,,67
Punjab Kings,7,6,0.1,5.6,mandatory,P Simran Singh,Raghu Sharma,C Connolly,0,0,0,,,,,,,,,,,,,,,,,,,67
Punjab Kings,8,1,0.1,5.6,mandatory,C Connolly,WG Jacks,P Simran Singh,0,0,0,,,,,,,,,,,,,,,,,,,67
