team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,0
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,3,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,4
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,8
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,4,0,4,,,,,,,,,,,,,,,,,,12
Chennai Super Kings,0,6,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,1,1,1.0,,,,,,,,,,,,,,,,,13
Chennai Super Kings,0,7,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,13
Chennai Super Kings,1,1,0.1,5.6,mandatory,RD Gaikwad,Akash Singh,SV Samson,0,0,0,,,,,,,,,,,,,,,,,,13
Chennai Super Kings,1,2,0.1,5.6,mandatory,RD Gaikwad,Akash Singh,SV Samson,4,0,4,,,,,,,,,,,,,,,,,,17
Chennai Super Kings,1,3,0.1,5.6,mandatory,RD Gaikwad,Akash Singh,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,18
Chennai Super Kings,1,4,0.1,5.6,mandatory,SV Samson,Akash Singh,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,19
Chennai Super Kings,1,5,0.1,5.6,mandatory,RD Gaikwad,Akash Singh,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,20
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,Akash Singh,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,20
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,21
Chennai Super Kings,2,2,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,1,0,1,,,,,,,,,,,,,,,,,,22
Chennai Super Kings,2,3,0.1,5.6,mandatory,RD Gaikwad,Mohammed Shami,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,23
Chennai Super Kings,2,4,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,2,0,2,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,2,5,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,2,6,0.1,5.6,mandatory,SV Samson,Mohammed Shami,RD Gaikwad,0,0,0,,,,,,,,,,,,,,,,,,25
Chennai Super Kings,3,1,0.1,5.6,mandatory,RD Gaikwad,Akash Singh,SV Samson,1,0,1,,,,,,,,,,,,,,,,,,26
Chennai Super Kings,3,2,0.1,5.6,mandatory,SV Samson,Akash Singh,RD Gaikwad,0,0,0,,Lucknow Super Giants,UV Gandhe,SV Samson,struck down,wicket,,,,,,,,,,,,26
