team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,noballs,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,overs_deliveries_replacements.role_in,overs_deliveries_replacements.role_out,overs_deliveries_replacements.role_reason,overs_deliveries_replacements.role_role,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Kolkata Knight Riders,0,1,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Kolkata Knight Riders,0,2,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,0,3,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,0,4,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2
Kolkata Knight Riders,0,5,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,3
Kolkata Knight Riders,0,6,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,1,1,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,1,2,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,1,3,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolkata Knight Riders,1,4,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,11
Kolkata Knight Riders,1,5,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,12
Kolkata Knight Riders,1,6,0.1,5.7,mandatory,FH Allen,K Rabada,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,13
Kolkata Knight Riders,2,1,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,15
Kolkata Knight Riders,2,2,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15
Kolkata Knight Riders,2,3,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15
Kolkata Knight Riders,2,4,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,19
Kolkata Knight Riders,2,5,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,23
Kolkata Knight Riders,2,6,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,25
Kolkata Knight Riders,3,1,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,26
Kolkata Knight Riders,3,2,0.1,5.7,mandatory,FH Allen,K Rabada,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,32
Kolkata Knight Riders,3,3,0.1,5.7,mandatory,FH Allen,K Rabada,AM Rahane,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,38
Kolkata Knight Riders,3,4,0.1,5.7,mandatory,FH Allen,K Rabada,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,39
Kolkata Knight Riders,3,5,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,39
Kolkata Knight Riders,3,6,0.1,5.7,mandatory,AM Rahane,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,39
Kolkata Knight Riders,4,1,0.1,5.7,mandatory,FH Allen,Mohammed Siraj,AM Rahane,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,40
Kolkata Knight Riders,4,2,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,44
Kolkata Knight Riders,4,3,0.1,5.7,mandatory,AM Rahane,Mohammed Siraj,FH Allen,0,0,0,,,,,,,,,,,AM Rahane,bowled,,,,,,,,,,,,,44
Kolkata Knight Riders,4,4,0.1,5.7,mandatory,A Raghuvanshi,Mohammed Siraj,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,44
Kolkata Knight Riders,4,5,0.1,5.7,mandatory,A Raghuvanshi,Mohammed Siraj,FH Allen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,45
Kolkata Knight Riders,4,6,0.1,5.7,mandatory,A Raghuvanshi,Mohammed Siraj,FH Allen,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,46
Kolkata Knight Riders,4,7,0.1,5.7,mandatory,A Raghuvanshi,Mohammed Siraj,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,46
Kolkata Knight Riders,4,8,0.1,5.7,mandatory,A Raghuvanshi,Mohammed Siraj,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,47
Kolkata Knight Riders,5,1,0.1,5.7,mandatory,A Raghuvanshi,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,47
Kolkata Knight Riders,5,2,0.1,5.7,mandatory,A Raghuvanshi,K Rabada,FH Allen,0,1,1,,1.0,Gujarat Titans,K Swaroopanand,A Raghuvanshi,struck down,wicket,True,,,,,,,,,,,,,,,,,48
Kolkata Knight Riders,5,3,0.1,5.7,mandatory,FH Allen,K Rabada,A Raghuvanshi,0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,49
Kolkata Knight Riders,5,4,0.1,5.7,mandatory,FH Allen,K Rabada,A Raghuvanshi,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,49
Kolkata Knight Riders,5,5,0.1,5.7,mandatory,FH Allen,K Rabada,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,50
Kolkata Knight Riders,5,6,0.1,5.7,mandatory,A Raghuvanshi,K Rabada,FH Allen,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,56
Kolkata Knight Riders,5,7,0.1,5.7,mandatory,A Raghuvanshi,K Rabada,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,56
Kolkata Knight Riders,6,1,0.1,5.7,mandatory,FH Allen,JO Holder,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,57
Kolkata Knight Riders,6,2,0.1,5.7,mandatory,A Raghuvanshi,JO Holder,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,58
Kolkata Knight Riders,6,3,0.1,5.7,mandatory,FH Allen,JO Holder,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,59
Kolkata Knight Riders,6,4,0.1,5.7,mandatory,A Raghuvanshi,JO Holder,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,60
Kolkata Knight Riders,6,5,0.1,5.7,mandatory,FH Allen,JO Holder,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,61
Kolkata Knight Riders,6,6,0.1,5.7,mandatory,A Raghuvanshi,JO Holder,FH Allen,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,67
Kolkata Knight Riders,7,1,0.1,5.7,mandatory,FH Allen,Rashid Khan,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,73
Kolkata Knight Riders,7,2,0.1,5.7,mandatory,FH Allen,Rashid Khan,A Raghuvanshi,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,79
Kolkata Knight Riders,7,3,0.1,5.7,mandatory,FH Allen,Rashid Khan,A Raghuvanshi,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,83
Kolkata Knight Riders,7,4,0.1,5.7,mandatory,FH Allen,Rashid Khan,A Raghuvanshi,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,84
Kolkata Knight Riders,7,5,0.1,5.7,mandatory,A Raghuvanshi,Rashid Khan,FH Allen,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,84
Kolkata Knight Riders,7,6,0.1,5.7,mandatory,A Raghuvanshi,Rashid Khan,FH Allen,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,85
