team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Royal Challengers Bengaluru,0,1,0.1,5.6,mandatory,JG Bethell,Arshdeep Singh,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,2,0.1,5.6,mandatory,V Kohli,Arshdeep Singh,JG Bethell,0,0,0,,,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,3,0.1,5.6,mandatory,V Kohli,Arshdeep Singh,JG Bethell,0,0,0,,,,,,,,,,,,,,,,,,,,1
Royal Challengers Bengaluru,0,4,0.1,5.6,mandatory,V Kohli,Arshdeep Singh,JG Bethell,1,0,1,,,,,,,,,,,,,,,,,,,,2
Royal Challengers Bengaluru,0,5,0.1,5.6,mandatory,JG Bethell,Arshdeep Singh,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,3
Royal Challengers Bengaluru,0,6,0.1,5.6,mandatory,V Kohli,Arshdeep Singh,JG Bethell,1,0,1,,,,,,,,,,,,,,,,,,,,4
Royal Challengers Bengaluru,1,1,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,JG Bethell,0,0,0,,,,,,,,,,,,,,,,,,,,4
Royal Challengers Bengaluru,1,2,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,JG Bethell,6,0,6,,,,,,,,,,,,,,,,,,,,10
Royal Challengers Bengaluru,1,3,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,JG Bethell,0,1,1,1.0,,,,,,,,,,,,,,,,,,,11
Royal Challengers Bengaluru,1,4,0.1,5.6,mandatory,V Kohli,Azmatullah Omarzai,JG Bethell,1,0,1,,,,,,,,,,,,,,,,,,,,12
Royal Challengers Bengaluru,1,5,0.1,5.6,mandatory,JG Bethell,Azmatullah Omarzai,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,16
Royal Challengers Bengaluru,1,6,0.1,5.6,mandatory,JG Bethell,Azmatullah Omarzai,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,16
Royal Challengers Bengaluru,1,7,0.1,5.6,mandatory,JG Bethell,Azmatullah Omarzai,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,17
Royal Challengers Bengaluru,2,1,0.1,5.6,mandatory,JG Bethell,Harpreet Brar,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,21
Royal Challengers Bengaluru,2,2,0.1,5.6,mandatory,JG Bethell,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,JG Bethell,bowled,,,,,,,,21
Royal Challengers Bengaluru,2,3,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,6,0,6,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,4,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,5,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,2,6,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,27
Royal Challengers Bengaluru,3,1,0.1,5.6,mandatory,V Kohli,LH Ferguson,D Padikkal,6,0,6,,,,,,,,,,,,,,,,,,,,33
Royal Challengers Bengaluru,3,2,0.1,5.6,mandatory,V Kohli,LH Ferguson,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,34
Royal Challengers Bengaluru,3,3,0.1,5.6,mandatory,D Padikkal,LH Ferguson,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,35
Royal Challengers Bengaluru,3,4,0.1,5.6,mandatory,D Padikkal,LH Ferguson,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,39
Royal Challengers Bengaluru,3,5,0.1,5.6,mandatory,D Padikkal,LH Ferguson,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,39
Royal Challengers Bengaluru,3,6,0.1,5.6,mandatory,D Padikkal,LH Ferguson,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,40
Royal Challengers Bengaluru,3,7,0.1,5.6,mandatory,V Kohli,LH Ferguson,D Padikkal,0,0,0,,,,,,,,,,,,,,,,,,,,40
Royal Challengers Bengaluru,4,1,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,4,0,4,,,,,,,,,,,,,,,,,,,,44
Royal Challengers Bengaluru,4,2,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,1,1,1.0,,,,,,,,,,,,,,,,,,,45
Royal Challengers Bengaluru,4,3,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,0,0,0,,,,,,,,,,,,,,,,,,,,45
Royal Challengers Bengaluru,4,4,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,46
Royal Challengers Bengaluru,4,5,0.1,5.6,mandatory,V Kohli,Harpreet Brar,D Padikkal,1,0,1,,,,,,,,,,,,,,,,,,,,47
Royal Challengers Bengaluru,4,6,0.1,5.6,mandatory,D Padikkal,Harpreet Brar,V Kohli,1,0,1,,,,,,,,,,,,,,,,,,,,48
