team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,0
Rajasthan Royals,0,2,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,4
Rajasthan Royals,0,3,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,8
Rajasthan Royals,0,4,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,8
Rajasthan Royals,0,5,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,12
Rajasthan Royals,0,6,0.1,5.7,mandatory,YBK Jaiswal,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,12
Rajasthan Royals,1,1,0.1,5.7,mandatory,V Suryavanshi,L Ngidi,YBK Jaiswal,6,0,6,,,,,,,,,,,,,,,,,,18
Rajasthan Royals,1,2,0.1,5.7,mandatory,V Suryavanshi,L Ngidi,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,19
Rajasthan Royals,1,3,0.1,5.7,mandatory,YBK Jaiswal,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,19
Rajasthan Royals,1,4,0.1,5.7,mandatory,YBK Jaiswal,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,19
Rajasthan Royals,1,5,0.1,5.7,mandatory,YBK Jaiswal,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,YBK Jaiswal,caught,,,,,MA Starc,,,19
Rajasthan Royals,1,6,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,19
Rajasthan Royals,2,1,0.1,5.7,mandatory,V Suryavanshi,MA Starc,Dhruv Jurel,0,1,1,1.0,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,2,0.1,5.7,mandatory,V Suryavanshi,MA Starc,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,24
Rajasthan Royals,2,3,0.1,5.7,mandatory,V Suryavanshi,MA Starc,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,24
Rajasthan Royals,2,4,0.1,5.7,mandatory,V Suryavanshi,MA Starc,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,30
Rajasthan Royals,2,5,0.1,5.7,mandatory,V Suryavanshi,MA Starc,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,31
Rajasthan Royals,2,6,0.1,5.7,mandatory,Dhruv Jurel,MA Starc,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,35
Rajasthan Royals,2,7,0.1,5.7,mandatory,Dhruv Jurel,MA Starc,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,35
Rajasthan Royals,3,1,0.1,5.7,mandatory,V Suryavanshi,L Ngidi,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,3,2,0.1,5.7,mandatory,V Suryavanshi,L Ngidi,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,3,3,0.1,5.7,mandatory,V Suryavanshi,L Ngidi,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,40
Rajasthan Royals,3,4,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,40
Rajasthan Royals,3,5,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,40
Rajasthan Royals,3,6,0.1,5.7,mandatory,Dhruv Jurel,L Ngidi,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,40
Rajasthan Royals,4,1,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,44
Rajasthan Royals,4,2,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,44
Rajasthan Royals,4,3,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,48
Rajasthan Royals,4,4,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,48
Rajasthan Royals,4,5,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,52
Rajasthan Royals,4,6,0.1,5.7,mandatory,V Suryavanshi,T Vijay,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,58
Rajasthan Royals,5,1,0.1,5.7,mandatory,Dhruv Jurel,Mukesh Kumar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,59
Rajasthan Royals,5,2,0.1,5.7,mandatory,V Suryavanshi,Mukesh Kumar,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,60
Rajasthan Royals,5,3,0.1,5.7,mandatory,Dhruv Jurel,Mukesh Kumar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,64
Rajasthan Royals,5,4,0.1,5.7,mandatory,Dhruv Jurel,Mukesh Kumar,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,70
Rajasthan Royals,5,5,0.1,5.7,mandatory,Dhruv Jurel,Mukesh Kumar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,74
Rajasthan Royals,5,6,0.1,5.7,mandatory,Dhruv Jurel,Mukesh Kumar,V Suryavanshi,0,1,1,1.0,,,,,,,,,,,,,,,,,75
