team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,noballs,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Chennai Super Kings,0,1,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,1.0,0,1,1,,,,,,,,,,,,,,,,1
Chennai Super Kings,0,2,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,7
Chennai Super Kings,0,3,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,11
Chennai Super Kings,0,4,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,11
Chennai Super Kings,0,5,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,12
Chennai Super Kings,0,6,0.1,5.6,mandatory,RD Gaikwad,Nithish Kumar Reddy,SV Samson,,1,0,1,,,,,,,,,,,,,,,,13
Chennai Super Kings,0,7,0.1,5.6,mandatory,SV Samson,Nithish Kumar Reddy,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,17
Chennai Super Kings,1,1,0.1,5.6,mandatory,RD Gaikwad,PP Hinge,SV Samson,,1,0,1,,,,,,,,,,,,,,,,18
Chennai Super Kings,1,2,0.1,5.6,mandatory,SV Samson,PP Hinge,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,18
Chennai Super Kings,1,3,0.1,5.6,mandatory,SV Samson,PP Hinge,RD Gaikwad,,0,0,0,Sunrisers Hyderabad,Nitin Menon,SV Samson,struck down,wicket,,,,,,,,,,,18
Chennai Super Kings,1,4,0.1,5.6,mandatory,SV Samson,PP Hinge,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,22
Chennai Super Kings,1,5,0.1,5.6,mandatory,SV Samson,PP Hinge,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,26
Chennai Super Kings,1,6,0.1,5.6,mandatory,SV Samson,PP Hinge,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,30
Chennai Super Kings,2,1,0.1,5.6,mandatory,RD Gaikwad,PJ Cummins,SV Samson,,1,0,1,,,,,,,,,,,,,,,,31
Chennai Super Kings,2,2,0.1,5.6,mandatory,SV Samson,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,31
Chennai Super Kings,2,3,0.1,5.6,mandatory,SV Samson,PJ Cummins,RD Gaikwad,,0,0,0,Chennai Super Kings,TM Srivastava,SV Samson,struck down,wicket,,SV Samson,caught,,,,,Ishan Kishan,,,31
Chennai Super Kings,2,4,0.1,5.6,mandatory,Urvil Patel,PJ Cummins,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,31
Chennai Super Kings,2,5,0.1,5.6,mandatory,Urvil Patel,PJ Cummins,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,37
Chennai Super Kings,2,6,0.1,5.6,mandatory,Urvil Patel,PJ Cummins,RD Gaikwad,,6,0,6,,,,,,,,,,,,,,,,43
Chennai Super Kings,3,1,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Urvil Patel,,0,0,0,,,,,,,,,,,,,,,,43
Chennai Super Kings,3,2,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Urvil Patel,,1,0,1,,,,,,,,,,,,,,,,44
Chennai Super Kings,3,3,0.1,5.6,mandatory,Urvil Patel,E Malinga,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,45
Chennai Super Kings,3,4,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Urvil Patel,,1,0,1,,,,,,,,,,,,,,,,46
Chennai Super Kings,3,5,0.1,5.6,mandatory,Urvil Patel,E Malinga,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,46
Chennai Super Kings,3,6,0.1,5.6,mandatory,Urvil Patel,E Malinga,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,46
Chennai Super Kings,4,1,0.1,5.6,mandatory,RD Gaikwad,Sakib Hussain,Urvil Patel,,1,0,1,,,,,,,,,,,,,,,,47
Chennai Super Kings,4,2,0.1,5.6,mandatory,Urvil Patel,Sakib Hussain,RD Gaikwad,,0,1,1,,,,,,1.0,,,,,,,,,,48
Chennai Super Kings,4,3,0.1,5.6,mandatory,Urvil Patel,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,48
Chennai Super Kings,4,4,0.1,5.6,mandatory,Urvil Patel,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,Urvil Patel,bowled,,,,,,,,48
Chennai Super Kings,4,5,0.1,5.6,mandatory,Kartik Sharma,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,48
Chennai Super Kings,4,6,0.1,5.6,mandatory,Kartik Sharma,Sakib Hussain,RD Gaikwad,,0,0,0,,,,,,,,,,,,,,,,48
Chennai Super Kings,4,7,0.1,5.6,mandatory,Kartik Sharma,Sakib Hussain,RD Gaikwad,,4,0,4,,,,,,,,,,,,,,,,52
Chennai Super Kings,5,1,0.1,5.6,mandatory,RD Gaikwad,E Malinga,Kartik Sharma,,1,0,1,,,,,,,,,,,,,,,,53
Chennai Super Kings,5,2,0.1,5.6,mandatory,Kartik Sharma,E Malinga,RD Gaikwad,,1,0,1,,,,,,,,,,,,,,,,54
