team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,legbyes,batter_runs,extra_runs,total_runs,wides,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,1.0,0,1,1,,,,,,,,,,,,,,,,,1
Lucknow Super Giants,0,2,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,1
Lucknow Super Giants,0,3,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,1
Lucknow Super Giants,0,4,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,2
Lucknow Super Giants,0,5,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,,4,0,4,,,,,,,,,,,,,,,,,6
Lucknow Super Giants,0,6,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,,6,0,6,,,,,,,,,,,,,,,,,12
Lucknow Super Giants,1,1,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,13
Lucknow Super Giants,1,2,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,6,0,6,,,,,,,,,,,,,,,,,19
Lucknow Super Giants,1,3,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,20
Lucknow Super Giants,1,4,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,20
Lucknow Super Giants,1,5,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,20
Lucknow Super Giants,1,6,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,20
Lucknow Super Giants,1,7,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,24
Lucknow Super Giants,1,8,0.1,5.6,mandatory,JP Inglis,SS Mishra,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,25
Lucknow Super Giants,2,1,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,29
Lucknow Super Giants,2,2,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,3,0,3,,,,,,,,,,,,,,,,,32
Lucknow Super Giants,2,3,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,,4,0,4,,,,,,,,,,,,,,,,,36
Lucknow Super Giants,2,4,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,36
Lucknow Super Giants,2,5,0.1,5.6,mandatory,MR Marsh,JC Archer,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,37
Lucknow Super Giants,2,6,0.1,5.6,mandatory,JP Inglis,JC Archer,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,38
Lucknow Super Giants,3,1,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,42
Lucknow Super Giants,3,2,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,46
Lucknow Super Giants,3,3,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,6,0,6,,,,,,,,,,,,,,,,,52
Lucknow Super Giants,3,4,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,53
Lucknow Super Giants,3,5,0.1,5.6,mandatory,MR Marsh,Sandeep Sharma,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,54
Lucknow Super Giants,3,6,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,54
Lucknow Super Giants,4,1,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,4,0,4,,,,,,,,,,,,,,,,,58
Lucknow Super Giants,4,2,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,4,0,4,,,,,,,,,,,,,,,,,62
Lucknow Super Giants,4,3,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,62
Lucknow Super Giants,4,4,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,6,0,6,,,,,,,,,,,,,,,,,68
Lucknow Super Giants,4,5,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,68
Lucknow Super Giants,4,6,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,68
Lucknow Super Giants,5,1,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,69
Lucknow Super Giants,5,2,0.1,5.6,mandatory,MR Marsh,Sandeep Sharma,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,70
Lucknow Super Giants,5,3,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,6,0,6,,,,,,,,,,,,,,,,,76
Lucknow Super Giants,5,4,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,80
Lucknow Super Giants,5,5,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,2,0,2,,,,,,,,,,,,,,,,,82
Lucknow Super Giants,5,6,0.1,5.6,mandatory,JP Inglis,Sandeep Sharma,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,83
Lucknow Super Giants,6,1,0.1,5.6,mandatory,JP Inglis,Yash Raj Punja,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,87
Lucknow Super Giants,6,2,0.1,5.6,mandatory,JP Inglis,Yash Raj Punja,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,88
Lucknow Super Giants,6,3,0.1,5.6,mandatory,MR Marsh,Yash Raj Punja,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,88
Lucknow Super Giants,6,4,0.1,5.6,mandatory,MR Marsh,Yash Raj Punja,JP Inglis,,6,0,6,,,,,,,,,,,,,,,,,94
Lucknow Super Giants,6,5,0.1,5.6,mandatory,MR Marsh,Yash Raj Punja,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,6,6,0.1,5.6,mandatory,JP Inglis,Yash Raj Punja,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,95
Lucknow Super Giants,7,1,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,96
Lucknow Super Giants,7,2,0.1,5.6,mandatory,JP Inglis,Brijesh Sharma,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,97
Lucknow Super Giants,7,3,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,0,0,0,,,,,,,,,,,,,,,,,97
Lucknow Super Giants,7,4,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,1,0,1,,,,,,,,,,,,,,,,,98
Lucknow Super Giants,7,5,0.1,5.6,mandatory,JP Inglis,Brijesh Sharma,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,99
Lucknow Super Giants,7,6,0.1,5.6,mandatory,MR Marsh,Brijesh Sharma,JP Inglis,,6,0,6,,,,,,,,,,,,,,,,,105
Lucknow Super Giants,8,1,0.1,5.6,mandatory,JP Inglis,Yash Raj Punja,MR Marsh,,4,0,4,,,,,,,,,,,,,,,,,109
Lucknow Super Giants,8,2,0.1,5.6,mandatory,JP Inglis,Yash Raj Punja,MR Marsh,,0,0,0,,,,,,,,JP Inglis,bowled,,,,,,,,109
Lucknow Super Giants,8,3,0.1,5.6,mandatory,N Pooran,Yash Raj Punja,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,109
Lucknow Super Giants,8,4,0.1,5.6,mandatory,N Pooran,Yash Raj Punja,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,109
Lucknow Super Giants,8,5,0.1,5.6,mandatory,N Pooran,Yash Raj Punja,MR Marsh,,6,0,6,,,,,,,,,,,,,,,,,115
Lucknow Super Giants,8,6,0.1,5.6,mandatory,N Pooran,Yash Raj Punja,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,116
Lucknow Super Giants,9,1,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,117
Lucknow Super Giants,9,2,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,118
Lucknow Super Giants,9,3,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,119
Lucknow Super Giants,9,4,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,1.0,0,1,1,,,,,,,,,,,,,,,,,120
Lucknow Super Giants,9,5,0.1,5.6,mandatory,MR Marsh,SS Mishra,N Pooran,,0,0,0,,,,,,,,,,,,,,,,,120
Lucknow Super Giants,9,6,0.1,5.6,mandatory,MR Marsh,SS Mishra,N Pooran,,1,0,1,,,,,,,,,,,,,,,,,121
Lucknow Super Giants,9,7,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,6,0,6,,,,,,,,,,,,,,,,,127
Lucknow Super Giants,9,8,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,127
Lucknow Super Giants,9,9,0.1,5.6,mandatory,N Pooran,SS Mishra,MR Marsh,,0,0,0,,,,,,,,,,,,,,,,,127
Lucknow Super Giants,10,1,0.1,5.6,mandatory,MR Marsh,MD Shanaka,N Pooran,,2,0,2,,,,,,,,,,,,,,,,,129
Lucknow Super Giants,10,2,0.1,5.6,mandatory,MR Marsh,MD Shanaka,N Pooran,,4,0,4,,,,,,,,,,,,,,,,,133
Lucknow Super Giants,10,3,0.1,5.6,mandatory,MR Marsh,MD Shanaka,N Pooran,,0,0,0,,,,,,,,,,,,,,,,,133
Lucknow Super Giants,10,4,0.1,5.6,mandatory,MR Marsh,MD Shanaka,N Pooran,,1,0,1,,,,,,,,,,,,,,,,,134
Lucknow Super Giants,10,5,0.1,5.6,mandatory,N Pooran,MD Shanaka,MR Marsh,,0,1,1,1.0,,,,,,,,,,,,,,,,135
Lucknow Super Giants,10,6,0.1,5.6,mandatory,N Pooran,MD Shanaka,MR Marsh,,1,0,1,,,,,,,,,,,,,,,,,136
Lucknow Super Giants,10,7,0.1,5.6,mandatory,MR Marsh,MD Shanaka,N Pooran,,1,0,1,,,,,,,,,,,,,,,,,137
Lucknow Super Giants,11,1,0.1,5.6,mandatory,MR Marsh,SS Mishra,N Pooran,,0,0,0,,,,,,,,,,,,,,,,,137
Lucknow Super Giants,11,2,0.1,5.6,mandatory,MR Marsh,SS Mishra,N Pooran,,4,0,4,,,,,,,,,,,,,,,,,141
Lucknow Super Giants,11,3,0.1,5.6,mandatory,MR Marsh,SS Mishra,N Pooran,,0,0,0,,,,,,,,,,,,,,,,,141
