team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,review_by,review_umpire,review_batter,review_decision,review_type,byes,umpires_call,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Mumbai Indians,0,1,0.1,5.6,mandatory,RD Rickelton,AS Roy,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,1
Mumbai Indians,0,2,0.1,5.6,mandatory,RG Sharma,AS Roy,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,2
Mumbai Indians,0,3,0.1,5.6,mandatory,RD Rickelton,AS Roy,RG Sharma,4,0,4,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,0,4,0.1,5.6,mandatory,RD Rickelton,AS Roy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,0,5,0.1,5.6,mandatory,RD Rickelton,AS Roy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,0,6,0.1,5.6,mandatory,RD Rickelton,AS Roy,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,1,1,0.1,5.6,mandatory,RG Sharma,SR Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,1,2,0.1,5.6,mandatory,RG Sharma,SR Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,6
Mumbai Indians,1,3,0.1,5.6,mandatory,RG Sharma,SR Dubey,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,7
Mumbai Indians,1,4,0.1,5.6,mandatory,RD Rickelton,SR Dubey,RG Sharma,0,1,1,1.0,,,,,,,,,,,,,,,,,,,8
Mumbai Indians,1,5,0.1,5.6,mandatory,RD Rickelton,SR Dubey,RG Sharma,1,0,1,,,,,,,,,,,,,,,,,,,,9
Mumbai Indians,1,6,0.1,5.6,mandatory,RG Sharma,SR Dubey,RD Rickelton,0,0,0,,,,,,,,,,,,,,,,,,,,9
Mumbai Indians,1,7,0.1,5.6,mandatory,RG Sharma,SR Dubey,RD Rickelton,0,1,1,,1.0,,,,,,,,,,,,,,,,,,10
Mumbai Indians,2,1,0.1,5.6,mandatory,RG Sharma,C Green,RD Rickelton,6,0,6,,,,,,,,,,,,,,,,,,,,16
Mumbai Indians,2,2,0.1,5.6,mandatory,RG Sharma,C Green,RD Rickelton,1,0,1,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,2,3,0.1,5.6,mandatory,RD Rickelton,C Green,RG Sharma,0,0,0,,,,,,,,,,,RD Rickelton,caught,,,,,MK Pandey,,,17
Mumbai Indians,2,4,0.1,5.6,mandatory,Naman Dhir,C Green,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,2,5,0.1,5.6,mandatory,Naman Dhir,C Green,RG Sharma,0,0,0,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,2,6,0.1,5.6,mandatory,Naman Dhir,C Green,RG Sharma,0,0,0,,,Kolkata Knight Riders,HAS Khalid,Naman Dhir,upheld,wicket,,,,Naman Dhir,caught,,,,,A Raghuvanshi,,,17
Mumbai Indians,3,1,0.1,5.6,mandatory,RG Sharma,SR Dubey,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,3,2,0.1,5.6,mandatory,RG Sharma,SR Dubey,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,17
Mumbai Indians,3,3,0.1,5.6,mandatory,RG Sharma,SR Dubey,SA Yadav,6,0,6,,,,,,,,,,,,,,,,,,,,23
Mumbai Indians,3,4,0.1,5.6,mandatory,RG Sharma,SR Dubey,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,23
Mumbai Indians,3,5,0.1,5.6,mandatory,RG Sharma,SR Dubey,SA Yadav,0,0,0,,,,,,,,,,,RG Sharma,caught,,,,,C Green,,,23
Mumbai Indians,3,6,0.1,5.6,mandatory,Tilak Varma,SR Dubey,SA Yadav,0,1,1,1.0,,,,,,,,,,,,,,,,,,,24
Mumbai Indians,3,7,0.1,5.6,mandatory,Tilak Varma,SR Dubey,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,24
Mumbai Indians,4,1,0.1,5.6,mandatory,SA Yadav,C Green,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,28
Mumbai Indians,4,2,0.1,5.6,mandatory,SA Yadav,C Green,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,32
Mumbai Indians,4,3,0.1,5.6,mandatory,SA Yadav,C Green,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,33
Mumbai Indians,4,4,0.1,5.6,mandatory,Tilak Varma,C Green,SA Yadav,0,0,0,,,,,,,,,,,,,,,,,,,,33
Mumbai Indians,4,5,0.1,5.6,mandatory,Tilak Varma,C Green,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,34
Mumbai Indians,4,6,0.1,5.6,mandatory,SA Yadav,C Green,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,34
Mumbai Indians,5,1,0.1,5.6,mandatory,Tilak Varma,SR Dubey,SA Yadav,1,0,1,,,,,,,,,,,,,,,,,,,,35
Mumbai Indians,5,2,0.1,5.6,mandatory,SA Yadav,SR Dubey,Tilak Varma,6,0,6,,,,,,,,,,,,,,,,,,,,41
Mumbai Indians,5,3,0.1,5.6,mandatory,SA Yadav,SR Dubey,Tilak Varma,0,0,0,,,,,,,,,,,SA Yadav,bowled,,,,,,,,41
Mumbai Indians,5,4,0.1,5.6,mandatory,HH Pandya,SR Dubey,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,41
Mumbai Indians,5,5,0.1,5.6,mandatory,HH Pandya,SR Dubey,Tilak Varma,4,0,4,,,,,,,,,,,,,,,,,,,,45
Mumbai Indians,5,6,0.1,5.6,mandatory,HH Pandya,SR Dubey,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,1,0.1,5.6,mandatory,HH Pandya,Kartik Tyagi,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,46
Mumbai Indians,6,2,0.1,5.6,mandatory,HH Pandya,Kartik Tyagi,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,47
Mumbai Indians,6,3,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,47
Mumbai Indians,6,4,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,2,0,2,,,,,,,,,,,,,,,,,,,,49
Mumbai Indians,6,5,0.1,5.6,mandatory,Tilak Varma,Kartik Tyagi,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,50
Mumbai Indians,6,6,0.1,5.6,mandatory,HH Pandya,Kartik Tyagi,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,50
Mumbai Indians,7,1,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,50
Mumbai Indians,7,2,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,51
Mumbai Indians,7,3,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,52
Mumbai Indians,7,4,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,4,4,,,,,,,,4.0,,,,,,,,,,,,56
Mumbai Indians,7,5,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,56
Mumbai Indians,7,6,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,57
Mumbai Indians,8,1,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,57
Mumbai Indians,8,2,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,2,0,2,,,,,,,,,,,,,,,,,,,,59
Mumbai Indians,8,3,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,59
Mumbai Indians,8,4,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,59
Mumbai Indians,8,5,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,60
Mumbai Indians,8,6,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,61
Mumbai Indians,9,1,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,62
Mumbai Indians,9,2,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,62
Mumbai Indians,9,3,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,62
Mumbai Indians,9,4,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,63
Mumbai Indians,9,5,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,63
Mumbai Indians,9,6,0.1,5.6,mandatory,HH Pandya,SP Narine,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,64
Mumbai Indians,10,1,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,65
Mumbai Indians,10,2,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,65
Mumbai Indians,10,3,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,66
Mumbai Indians,10,4,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,67
Mumbai Indians,10,5,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,1,0,1,,,,,,,,,,,,,,,,,,,,68
Mumbai Indians,10,6,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,68
Mumbai Indians,11,1,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,68
Mumbai Indians,11,2,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,6,0,6,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,11,3,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,11,4,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,11,5,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,11,6,0.1,5.6,mandatory,Tilak Varma,SP Narine,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,12,1,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,0,0,0,,,,,,,,,,,,,,,,,,,,74
Mumbai Indians,12,2,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,6,0,6,,,,,,,,,,,,,,,,,,,,80
Mumbai Indians,12,3,0.1,5.6,mandatory,HH Pandya,CV Varun,Tilak Varma,1,0,1,,,,,,,,,,,,,,,,,,,,81
Mumbai Indians,12,4,0.1,5.6,mandatory,Tilak Varma,CV Varun,HH Pandya,0,0,0,,,,,,,,,,,,,,,,,,,,81
