team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Gujarat Titans,0,1,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,1
Gujarat Titans,0,2,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,1
Gujarat Titans,0,3,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,1
Gujarat Titans,0,4,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,5,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,5
Gujarat Titans,0,6,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,3,0,3,,,,,,,,,,,,,,,,,,8
Gujarat Titans,1,1,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,12
Gujarat Titans,1,2,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,13
Gujarat Titans,1,3,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,0,5,5,5.0,,,,,,,,,,,,,,,,,18
Gujarat Titans,1,4,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,19
Gujarat Titans,1,5,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,23
Gujarat Titans,1,6,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,23
Gujarat Titans,1,7,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,0,0,0,,,,,,,,,,,,,,,,,,23
Gujarat Titans,2,1,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,24
Gujarat Titans,2,2,0.1,5.6,mandatory,Shubman Gill,Mukesh Choudhary,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,25
Gujarat Titans,2,3,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,29
Gujarat Titans,2,4,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,29
Gujarat Titans,2,5,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,0,0,0,,,,,,,,,,,,,,,,,,29
Gujarat Titans,2,6,0.1,5.6,mandatory,B Sai Sudharsan,Mukesh Choudhary,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,30
Gujarat Titans,3,1,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,4,0,4,,,,,,,,,,,,,,,,,,34
Gujarat Titans,3,2,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,35
Gujarat Titans,3,3,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,1,0,1,,,,,,,,,,,,,,,,,,36
Gujarat Titans,3,4,0.1,5.6,mandatory,B Sai Sudharsan,SH Johnson,Shubman Gill,1,0,1,,,,,,,,,,,,,,,,,,37
Gujarat Titans,3,5,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,41
Gujarat Titans,3,6,0.1,5.6,mandatory,Shubman Gill,SH Johnson,B Sai Sudharsan,4,0,4,,,,,,,,,,,,,,,,,,45
