team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,review_by,review_umpire,review_batter,review_decision,review_type,noballs,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,0,0,,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,2,2,2.0,,,,,,,,,,,,,,,,,,2
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,6
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,6,0,6,,,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,0,7,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,0,0,,,,,,,,,,,,,,,,,,,13
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,TM Head,JR Hazlewood,Abhishek Sharma,2,0,2,,,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,TM Head,JR Hazlewood,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,15
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,TM Head,JR Hazlewood,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,16
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,Abhishek Sharma,JR Hazlewood,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,17
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,TM Head,JR Hazlewood,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,17
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,TM Head,JR Hazlewood,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,21
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,25
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,4,0,4,,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,30
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,31
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,1,0,1,,,,,,,,,,,,,,,,,,,32
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,33
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,37
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,41
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,41
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,,45
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,,45
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,TM Head,Rasikh Salam,Abhishek Sharma,0,0,0,,,,,,,,,TM Head,bowled,,,,,,,,,45
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,Abhishek Sharma,JR Hazlewood,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,,45
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,Abhishek Sharma,JR Hazlewood,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,,46
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,Ishan Kishan,JR Hazlewood,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,,47
