team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Lucknow Super Giants,0,1,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,4,0,4,,,,,,,,,,,,,4
Lucknow Super Giants,0,2,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,0,0,0,,,,,,,,,,,,,4
Lucknow Super Giants,0,3,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,0,0,0,,,,,,,,,,,,,4
Lucknow Super Giants,0,4,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,4,0,4,,,,,,,,,,,,,8
Lucknow Super Giants,0,5,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,4,0,4,,,,,,,,,,,,,12
Lucknow Super Giants,0,6,0.1,5.7,mandatory,JP Inglis,Arshdeep Singh,AA Kulkarni,4,0,4,,,,,,,,,,,,,16
Lucknow Super Giants,1,1,0.1,5.7,mandatory,AA Kulkarni,Azmatullah Omarzai,JP Inglis,0,0,0,,,AA Kulkarni,caught,,,,,P Simran Singh,,,,16
Lucknow Super Giants,1,2,0.1,5.7,mandatory,N Pooran,Azmatullah Omarzai,JP Inglis,0,0,0,,,,,,,,,,,,,16
Lucknow Super Giants,1,3,0.1,5.7,mandatory,N Pooran,Azmatullah Omarzai,JP Inglis,0,0,0,,,,,,,,,,,,,16
Lucknow Super Giants,1,4,0.1,5.7,mandatory,N Pooran,Azmatullah Omarzai,JP Inglis,0,0,0,,,,,,,,,,,,,16
Lucknow Super Giants,1,5,0.1,5.7,mandatory,N Pooran,Azmatullah Omarzai,JP Inglis,0,0,0,,,,,,,,,,,,,16
Lucknow Super Giants,1,6,0.1,5.7,mandatory,N Pooran,Azmatullah Omarzai,JP Inglis,1,0,1,,,,,,,,,,,,,17
Lucknow Super Giants,2,1,0.1,5.7,mandatory,N Pooran,M Jansen,JP Inglis,1,0,1,,,,,,,,,,,,,18
Lucknow Super Giants,2,2,0.1,5.7,mandatory,JP Inglis,M Jansen,N Pooran,0,1,1,1.0,,,,,,,,,,,,19
Lucknow Super Giants,2,3,0.1,5.7,mandatory,JP Inglis,M Jansen,N Pooran,0,0,0,,,,,,,,,,,,,19
