team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,umpires_call,wides,legbyes,noballs,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Rajasthan Royals,0,1,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,0
Rajasthan Royals,0,2,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,1
Rajasthan Royals,0,3,0.1,5.6,mandatory,V Suryavanshi,DL Chahar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,4,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,2
Rajasthan Royals,0,5,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,,8
Rajasthan Royals,0,6,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,9
Rajasthan Royals,1,1,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,10
Rajasthan Royals,1,2,0.1,5.6,mandatory,V Suryavanshi,WG Jacks,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,11
Rajasthan Royals,1,3,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,11
Rajasthan Royals,1,4,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,0,0,0,Mumbai Indians,R Pandit,YBK Jaiswal,struck down,wicket,True,,,,,,,,,,,,,11
Rajasthan Royals,1,5,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,12
Rajasthan Royals,1,6,0.1,5.6,mandatory,V Suryavanshi,WG Jacks,YBK Jaiswal,0,1,1,,,,,,,1.0,,,,,,,,,,,,13
Rajasthan Royals,1,7,0.1,5.6,mandatory,V Suryavanshi,WG Jacks,YBK Jaiswal,0,0,0,,,,,,,,,,,,,,,,,,,13
Rajasthan Royals,2,1,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,,19
Rajasthan Royals,2,2,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,1,0,1,,,,,,,,,,,,,,,,,,,20
Rajasthan Royals,2,3,0.1,5.6,mandatory,V Suryavanshi,DL Chahar,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,21
Rajasthan Royals,2,4,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,4,0,4,,,,,,,,,,,,,,,,,,,25
Rajasthan Royals,2,5,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,25
Rajasthan Royals,2,6,0.1,5.6,mandatory,YBK Jaiswal,DL Chahar,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,25
Rajasthan Royals,3,1,0.1,5.6,mandatory,V Suryavanshi,WG Jacks,YBK Jaiswal,0,1,1,,,,,,,1.0,,,,,,,,,,,,26
Rajasthan Royals,3,2,0.1,5.6,mandatory,V Suryavanshi,WG Jacks,YBK Jaiswal,1,0,1,,,,,,,,,,,,,,,,,,,27
Rajasthan Royals,3,3,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,6,0,6,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,3,4,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,3,5,0.1,5.6,mandatory,YBK Jaiswal,WG Jacks,V Suryavanshi,0,0,0,,,,,,,,,,YBK Jaiswal,caught,,,,,C Bosch,,,33
Rajasthan Royals,3,6,0.1,5.6,mandatory,Dhruv Jurel,WG Jacks,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,3,7,0.1,5.6,mandatory,Dhruv Jurel,WG Jacks,V Suryavanshi,0,0,0,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,4,1,0.1,5.6,mandatory,V Suryavanshi,DL Chahar,Dhruv Jurel,0,0,0,,,,,,,,,,V Suryavanshi,caught,,,,,Naman Dhir,,,33
Rajasthan Royals,4,2,0.1,5.6,mandatory,R Parag,DL Chahar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,4,3,0.1,5.6,mandatory,R Parag,DL Chahar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,33
Rajasthan Royals,4,4,0.1,5.6,mandatory,R Parag,DL Chahar,Dhruv Jurel,6,0,6,,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,4,5,0.1,5.6,mandatory,R Parag,DL Chahar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,4,6,0.1,5.6,mandatory,R Parag,DL Chahar,Dhruv Jurel,0,0,0,,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,5,1,0.1,5.6,mandatory,Dhruv Jurel,AM Ghazanfar,R Parag,0,0,0,,,,,,,,,,,,,,,,,,,39
Rajasthan Royals,5,2,0.1,5.6,mandatory,Dhruv Jurel,AM Ghazanfar,R Parag,6,0,6,,,,,,,,,,,,,,,,,,,45
Rajasthan Royals,5,3,0.1,5.6,mandatory,Dhruv Jurel,AM Ghazanfar,R Parag,1,0,1,,,,,,,,,,,,,,,,,,,46
Rajasthan Royals,5,4,0.1,5.6,mandatory,R Parag,AM Ghazanfar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,,50
Rajasthan Royals,5,5,0.1,5.6,mandatory,R Parag,AM Ghazanfar,Dhruv Jurel,4,0,4,,,,,,,,,,,,,,,,,,,54
Rajasthan Royals,5,6,0.1,5.6,mandatory,R Parag,AM Ghazanfar,Dhruv Jurel,0,0,0,,,,,,,,,,R Parag,caught,,,,,Tilak Varma,,,54
Rajasthan Royals,6,1,0.1,5.6,mandatory,Dhruv Jurel,Raghu Sharma,MD Shanaka,0,0,0,,,,,,,,,,,,,,,,,,,54
Rajasthan Royals,6,2,0.1,5.6,mandatory,Dhruv Jurel,Raghu Sharma,MD Shanaka,1,0,1,,,,,,,,,,,,,,,,,,,55
Rajasthan Royals,6,3,0.1,5.6,mandatory,MD Shanaka,Raghu Sharma,Dhruv Jurel,1,0,1,,,,,,,,,,,,,,,,,,,56
Rajasthan Royals,6,4,0.1,5.6,mandatory,Dhruv Jurel,Raghu Sharma,MD Shanaka,2,0,2,,,,,,,,,,,,,,,,,,,58
Rajasthan Royals,6,5,0.1,5.6,mandatory,Dhruv Jurel,Raghu Sharma,MD Shanaka,1,0,1,,,,,,,,,,,,,,,,,,,59
