team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,wides,legbyes,noballs,byes,review_by,review_umpire,review_batter,review_decision,review_type,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,overs_deliveries_wickets_fielders_substitute,target_overs,target_runs,current_team_total
Delhi Capitals,0,1,0.1,5.6,mandatory,Abishek Porel,AS Roy,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,0
Delhi Capitals,0,2,0.1,5.6,mandatory,Abishek Porel,AS Roy,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,0
Delhi Capitals,0,3,0.1,5.6,mandatory,Abishek Porel,AS Roy,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,4
Delhi Capitals,0,4,0.1,5.6,mandatory,Abishek Porel,AS Roy,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,8
Delhi Capitals,0,5,0.1,5.6,mandatory,Abishek Porel,AS Roy,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,9
Delhi Capitals,0,6,0.1,5.6,mandatory,KL Rahul,AS Roy,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,,,,,10
Delhi Capitals,1,1,0.1,5.6,mandatory,KL Rahul,SR Dubey,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,,,,10
Delhi Capitals,1,2,0.1,5.6,mandatory,KL Rahul,SR Dubey,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,,,,,11
Delhi Capitals,1,3,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,11
Delhi Capitals,1,4,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,11
Delhi Capitals,1,5,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,1,1,1.0,,,,,,,,,,,,,,,,,,,12
Delhi Capitals,1,6,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,12
Delhi Capitals,1,7,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,12
Delhi Capitals,2,1,0.1,5.6,mandatory,KL Rahul,C Green,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,,,,,13
Delhi Capitals,2,2,0.1,5.6,mandatory,Abishek Porel,C Green,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,14
Delhi Capitals,2,3,0.1,5.6,mandatory,KL Rahul,C Green,Abishek Porel,0,0,0,,,,,,,,,,,,,,,,,,,,14
Delhi Capitals,2,4,0.1,5.6,mandatory,KL Rahul,C Green,Abishek Porel,6,0,6,,,,,,,,,,,,,,,,,,,,20
Delhi Capitals,2,5,0.1,5.6,mandatory,KL Rahul,C Green,Abishek Porel,4,0,4,,,,,,,,,,,,,,,,,,,,24
Delhi Capitals,2,6,0.1,5.6,mandatory,KL Rahul,C Green,Abishek Porel,2,0,2,,,,,,,,,,,,,,,,,,,,26
Delhi Capitals,3,1,0.1,5.6,mandatory,Abishek Porel,Kartik Tyagi,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,30
Delhi Capitals,3,2,0.1,5.6,mandatory,Abishek Porel,Kartik Tyagi,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,34
Delhi Capitals,3,3,0.1,5.6,mandatory,Abishek Porel,Kartik Tyagi,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,34
Delhi Capitals,3,4,0.1,5.6,mandatory,Abishek Porel,Kartik Tyagi,KL Rahul,3,0,3,,,,,,,,,,,,,,,,,,,,37
Delhi Capitals,3,5,0.1,5.6,mandatory,KL Rahul,Kartik Tyagi,Abishek Porel,1,0,1,,,,,,,,,,,,,,,,,,,,38
Delhi Capitals,3,6,0.1,5.6,mandatory,Abishek Porel,Kartik Tyagi,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,39
Delhi Capitals,4,1,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,39
Delhi Capitals,4,2,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,1,1,1.0,,,,,,,,,,,,,,,,,,,40
Delhi Capitals,4,3,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,40
Delhi Capitals,4,4,0.1,5.6,mandatory,Abishek Porel,SR Dubey,KL Rahul,0,0,0,,,,,,,,,,Abishek Porel,caught,,,,,T Dahiya,,,,40
Delhi Capitals,4,5,0.1,5.6,mandatory,SU Parakh,SR Dubey,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,41
Delhi Capitals,4,6,0.1,5.6,mandatory,KL Rahul,SR Dubey,SU Parakh,0,0,0,,,,,,,,,,,,,,,,,,,,41
Delhi Capitals,4,7,0.1,5.6,mandatory,KL Rahul,SR Dubey,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,42
Delhi Capitals,5,1,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,43
Delhi Capitals,5,2,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,43
Delhi Capitals,5,3,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,6,0,6,,,,,,,,,,,,,,,,,,,,49
Delhi Capitals,5,4,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,49
Delhi Capitals,5,5,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,49
Delhi Capitals,5,6,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,53
Delhi Capitals,6,1,0.1,5.6,mandatory,KL Rahul,CV Varun,SU Parakh,0,0,0,,,,,,,,,,,,,,,,,,,,53
Delhi Capitals,6,2,0.1,5.6,mandatory,KL Rahul,CV Varun,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,54
Delhi Capitals,6,3,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,54
Delhi Capitals,6,4,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,55
Delhi Capitals,6,5,0.1,5.6,mandatory,KL Rahul,CV Varun,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,56
Delhi Capitals,6,6,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,57
Delhi Capitals,7,1,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,58
Delhi Capitals,7,2,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,6,0,6,,,,,,,,,,,,,,,,,,,,64
Delhi Capitals,7,3,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,4,0,4,,,,,,,,,,,,,,,,,,,,68
Delhi Capitals,7,4,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,69
Delhi Capitals,7,5,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,70
Delhi Capitals,7,6,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,0,0,0,,,,,,,,,,,,,,,,,,,,70
Delhi Capitals,8,1,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,70
Delhi Capitals,8,2,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,74
Delhi Capitals,8,3,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,74
Delhi Capitals,8,4,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,78
Delhi Capitals,8,5,0.1,5.6,mandatory,SU Parakh,CV Varun,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,79
Delhi Capitals,8,6,0.1,5.6,mandatory,KL Rahul,CV Varun,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,80
Delhi Capitals,9,1,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,6,0,6,,,,,,,,,,,,,,,,,,,,86
Delhi Capitals,9,2,0.1,5.6,mandatory,KL Rahul,SP Narine,SU Parakh,1,0,1,,,,,,,,,,,,,,,,,,,,87
Delhi Capitals,9,3,0.1,5.6,mandatory,SU Parakh,SP Narine,KL Rahul,0,0,0,,,,,,,,,,SU Parakh,caught,,,,,AM Rahane,,,,87
Delhi Capitals,9,4,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,87
Delhi Capitals,9,5,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,87
Delhi Capitals,9,6,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,88
Delhi Capitals,10,1,0.1,5.6,mandatory,AR Patel,Kartik Tyagi,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,89
Delhi Capitals,10,2,0.1,5.6,mandatory,KL Rahul,Kartik Tyagi,AR Patel,4,0,4,,,,,,,,,,,,,,,,,,,,93
Delhi Capitals,10,3,0.1,5.6,mandatory,KL Rahul,Kartik Tyagi,AR Patel,6,0,6,,,,,,,,,,,,,,,,,,,,99
Delhi Capitals,10,4,0.1,5.6,mandatory,KL Rahul,Kartik Tyagi,AR Patel,1,0,1,,,,,,,,,,,,,,,,,,,,100
Delhi Capitals,10,5,0.1,5.6,mandatory,AR Patel,Kartik Tyagi,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,104
Delhi Capitals,10,6,0.1,5.6,mandatory,AR Patel,Kartik Tyagi,KL Rahul,4,0,4,,,,,,,,,,,,,,,,,,,,108
Delhi Capitals,11,1,0.1,5.6,mandatory,KL Rahul,SP Narine,AR Patel,1,0,1,,,,,,,,,,,,,,,,,,,,109
Delhi Capitals,11,2,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,2,0,2,,,,,,,,,,,,,,,,,,,,111
Delhi Capitals,11,3,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,0,0,0,,,,,,,,,,,,,,,,,,,,111
Delhi Capitals,11,4,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,112
Delhi Capitals,11,5,0.1,5.6,mandatory,KL Rahul,SP Narine,AR Patel,1,0,1,,,,,,,,,,,,,,,,,,,,113
Delhi Capitals,11,6,0.1,5.6,mandatory,AR Patel,SP Narine,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,114
Delhi Capitals,12,1,0.1,5.6,mandatory,AR Patel,AS Roy,KL Rahul,1,0,1,,,,,,,,,,,,,,,,,,,,115
Delhi Capitals,12,2,0.1,5.6,mandatory,KL Rahul,AS Roy,AR Patel,0,1,1,1.0,,,,,,,,,,,,,,,,,,,116
